Date,Low,Open,Volume,High,Close,Adjusted Close
27-10-1994,9.1875,9.25,333000,9.25,9.25,2.801546335220337
28-10-1994,9.25,9.25,257200,9.3125,9.3125,2.8204779624938965
31-10-1994,9.25,9.3125,133400,9.3125,9.25,2.801546335220337
01-11-1994,9.1875,9.3125,44200,9.3125,9.1875,2.7826180458068848
02-11-1994,9.0625,9.125,724600,9.125,9.0625,2.7492477893829346
03-11-1994,9.0,9.125,117800,9.125,9.0625,2.7492477893829346
04-11-1994,9.0625,9.0625,6600,9.0625,9.0625,2.7492477893829346
07-11-1994,8.9375,9.0,43000,9.0,8.9375,2.711326837539673
08-11-1994,9.0,9.0,40200,9.125,9.125,2.7682080268859863
09-11-1994,9.125,9.1875,71800,9.1875,9.1875,2.7871689796447754
10-11-1994,9.125,9.1875,55200,9.1875,9.125,2.7682080268859863
11-11-1994,9.0625,9.125,10800,9.125,9.0625,2.7492477893829346
14-11-1994,9.125,9.125,22400,9.1875,9.125,2.7682080268859863
15-11-1994,9.125,9.1875,98400,9.1875,9.1875,2.7871689796447754
16-11-1994,9.0625,9.1875,2400,9.1875,9.0625,2.7492477893829346
17-11-1994,9.0625,9.125,4800,9.125,9.0625,2.7492477893829346
18-11-1994,8.9375,9.125,264600,9.125,9.0,2.730288505554199
21-11-1994,8.9375,9.0,60200,9.0,8.9375,2.711326837539673
22-11-1994,8.875,9.0,132200,9.0,8.875,2.6923677921295166
23-11-1994,9.0,9.0,22400,9.25,9.25,2.8061277866363525
25-11-1994,9.3125,9.3125,6400,9.375,9.375,2.844050407409668
28-11-1994,9.25,9.375,6200,9.375,9.25,2.8061277866363525
29-11-1994,9.1875,9.1875,13400,9.3125,9.3125,2.825090169906616
30-11-1994,9.1875,9.25,89400,9.3125,9.25,2.8061277866363525
01-12-1994,9.125,9.25,35200,9.25,9.1875,2.7871689796447754
02-12-1994,9.125,9.125,26400,9.25,9.25,2.8061277866363525
05-12-1994,9.3125,9.3125,32000,9.5625,9.4375,2.863009214401245
06-12-1994,9.25,9.4375,88400,9.4375,9.25,2.8061277866363525
07-12-1994,9.1875,9.1875,7200,9.25,9.25,2.8061277866363525
08-12-1994,9.125,9.1875,2600,9.1875,9.1875,2.7871689796447754
