Date,Low,Open,Volume,High,Close,Adjusted Close
04-10-1989,2.4375,2.46875,20636000,2.546875,2.5,1.786060094833374
05-10-1989,2.5,2.515625,6453600,2.625,2.578125,1.8418759107589722
06-10-1989,2.546875,2.59375,2755200,2.625,2.546875,1.8195494413375854
09-10-1989,2.5,2.546875,1084000,2.546875,2.546875,1.8195494413375854
10-10-1989,2.5,2.5625,1493600,2.5625,2.53125,1.8083851337432861
11-10-1989,2.46875,2.5,1260000,2.515625,2.515625,1.7972229719161987
12-10-1989,2.515625,2.515625,602400,2.546875,2.53125,1.8083851337432861
13-10-1989,2.46875,2.53125,3970400,2.53125,2.484375,1.7748981714248657
16-10-1989,2.375,2.375,3924800,2.46875,2.46875,1.7637356519699097
17-10-1989,2.4375,2.4375,1843200,2.5,2.5,1.786060094833374
18-10-1989,2.484375,2.5,1128000,2.5625,2.546875,1.8195494413375854
19-10-1989,2.53125,2.53125,1040000,2.546875,2.546875,1.8195494413375854
20-10-1989,2.515625,2.53125,237600,2.53125,2.53125,1.8083851337432861
23-10-1989,2.546875,2.546875,87200,2.5625,2.546875,1.8195494413375854
24-10-1989,2.53125,2.546875,689600,2.5625,2.5625,1.8307119607925415
25-10-1989,2.515625,2.546875,608000,2.578125,2.546875,1.8195494413375854
26-10-1989,2.546875,2.546875,228800,2.5625,2.546875,1.8195494413375854
27-10-1989,2.5,2.546875,456000,2.546875,2.515625,1.7972229719161987
30-10-1989,2.5,2.515625,250400,2.515625,2.5,1.786060094833374
31-10-1989,2.5,2.5,424800,2.515625,2.5,1.786060094833374
01-11-1989,2.515625,2.515625,715200,2.5625,2.5625,1.8307119607925415
02-11-1989,2.59375,2.59375,130400,2.640625,2.640625,1.8865259885787964
03-11-1989,2.625,2.625,1118400,2.75,2.734375,1.9535040855407715
06-11-1989,2.578125,2.71875,264800,2.71875,2.578125,1.8418759107589722
07-11-1989,2.5,2.546875,727200,2.6875,2.6875,1.9200149774551392
08-11-1989,2.671875,2.6875,236800,2.71875,2.71875,1.9423407316207886
09-11-1989,2.6875,2.71875,60800,2.71875,2.6875,1.9200149774551392
10-11-1989,2.546875,2.6875,210400,2.6875,2.5625,1.8307119607925415
13-11-1989,2.515625,2.5625,92800,2.5625,2.546875,1.8195494413375854
14-11-1989,2.484375,2.578125,428000,2.578125,2.53125,1.8083851337432861
15-11-1989,2.53125,2.546875,176000,2.578125,2.5625,1.8307119607925415
16-11-1989,2.546875,2.546875,301600,2.59375,2.59375,1.8530365228652954
17-11-1989,2.59375,2.59375,249600,2.640625,2.640625,1.8865259885787964
20-11-1989,2.609375,2.65625,43200,2.65625,2.609375,1.864201307296753
21-11-1989,2.59375,2.59375,108800,2.671875,2.671875,1.9088515043258667
22-11-1989,2.6875,2.6875,255200,2.75,2.75,1.9646655321121216
24-11-1989,2.78125,2.78125,572000,2.953125,2.921875,2.0874578952789307
27-11-1989,2.859375,2.90625,253600,2.9375,2.875,2.053969621658325
28-11-1989,2.828125,2.875,560000,2.875,2.828125,2.0204806327819824
29-11-1989,2.78125,2.8125,60800,2.8125,2.796875,1.9981549978256226
30-11-1989,2.8125,2.8125,712800,2.90625,2.890625,2.065131902694702
01-12-1989,2.890625,2.890625,356800,2.953125,2.90625,2.0762956142425537
04-12-1989,2.875,2.9375,172000,2.984375,2.984375,2.1321098804473877
05-12-1989,2.90625,2.953125,93600,2.984375,2.90625,2.0762956142425537
06-12-1989,2.90625,2.90625,668800,3.0,2.984375,2.1321098804473877
07-12-1989,2.921875,2.984375,215200,2.984375,2.953125,2.1097843647003174
08-12-1989,2.921875,2.921875,122400,2.953125,2.953125,2.1097843647003174
11-12-1989,2.9375,2.96875,306400,3.03125,3.0,2.1432735919952393
12-12-1989,2.984375,3.015625,1119200,3.03125,3.015625,2.154435396194458
13-12-1989,2.984375,3.0,400000,3.15625,3.15625,2.254901885986328
14-12-1989,3.109375,3.125,391200,3.140625,3.125,2.2325751781463623
15-12-1989,3.09375,3.140625,155200,3.140625,3.109375,2.221411943435669
18-12-1989,3.03125,3.078125,224000,3.125,3.03125,2.165598154067993
19-12-1989,3.03125,3.03125,215200,3.0625,3.0625,2.18792462348938
20-12-1989,3.046875,3.0625,166400,3.109375,3.078125,2.1990861892700195
21-12-1989,3.0625,3.109375,174400,3.125,3.109375,2.221411943435669
22-12-1989,3.109375,3.125,173600,3.125,3.125,2.2325751781463623
26-12-1989,3.078125,3.109375,97600,3.109375,3.078125,2.1990861892700195
27-12-1989,3.03125,3.0625,144000,3.0625,3.03125,2.165598154067993
28-12-1989,3.03125,3.046875,11200,3.046875,3.03125,2.165598154067993
29-12-1989,3.015625,3.03125,219200,3.15625,3.15625,2.254901885986328
02-01-1990,3.03125,3.125,194400,3.125,3.046875,2.1767609119415283
03-01-1990,3.03125,3.0625,361600,3.0625,3.03125,2.165598154067993
04-01-1990,2.953125,3.03125,166400,3.0625,2.953125,2.1097843647003174
05-01-1990,2.859375,2.9375,100800,2.9375,2.90625,2.0762956142425537
08-01-1990,2.84375,2.875,880800,2.890625,2.859375,2.0428054332733154
09-01-1990,2.8125,2.828125,282400,2.84375,2.8125,2.0093183517456055
10-01-1990,2.6875,2.765625,784000,2.765625,2.703125,1.9354791641235352
11-01-1990,2.703125,2.71875,347200,2.765625,2.75,1.969041109085083
12-01-1990,2.6875,2.71875,159200,2.734375,2.71875,1.9466663599014282
15-01-1990,2.71875,2.734375,25600,2.734375,2.71875,1.9466663599014282
16-01-1990,2.625,2.6875,172800,2.703125,2.703125,1.9354791641235352
17-01-1990,2.71875,2.71875,216000,2.8125,2.71875,1.9466663599014282
18-01-1990,2.6875,2.6875,157600,2.71875,2.703125,1.9354791641235352
19-01-1990,2.734375,2.734375,8800,2.75,2.75,1.969041109085083
22-01-1990,2.71875,2.734375,56800,2.75,2.734375,1.9578546285629272
23-01-1990,2.734375,2.765625,101600,2.765625,2.75,1.969041109085083
24-01-1990,2.6875,2.734375,26400,2.734375,2.6875,1.9242914915084839
25-01-1990,2.671875,2.6875,249600,2.71875,2.71875,1.9466663599014282
26-01-1990,2.671875,2.703125,45600,2.71875,2.671875,1.9131028652191162
29-01-1990,2.625,2.6875,444000,2.6875,2.640625,1.8907275199890137
30-01-1990,2.578125,2.625,548000,2.65625,2.65625,1.9019155502319336
31-01-1990,2.6875,2.6875,757600,2.859375,2.859375,2.0473551750183105
01-02-1990,2.84375,2.875,149600,2.875,2.859375,2.0473551750183105
02-02-1990,2.875,2.875,720000,2.90625,2.875,2.058544635772705
05-02-1990,2.875,2.90625,163200,2.90625,2.875,2.058544635772705
06-02-1990,2.84375,2.875,99200,2.90625,2.890625,2.0697319507598877
07-02-1990,2.90625,2.90625,32800,2.9375,2.9375,2.103295087814331
08-02-1990,2.96875,2.96875,346400,3.125,3.046875,2.1816089153289795
09-02-1990,2.96875,3.078125,179200,3.125,3.0,2.1480464935302734
12-02-1990,2.90625,3.0,28000,3.0,2.90625,2.0809192657470703
13-02-1990,2.9375,2.9375,26400,2.953125,2.953125,2.114483118057251
14-02-1990,2.9375,2.953125,32800,2.96875,2.9375,2.103295087814331
15-02-1990,2.953125,2.953125,152000,2.96875,2.953125,2.114483118057251
16-02-1990,2.96875,2.96875,32000,2.96875,2.96875,2.1256697177886963
20-02-1990,2.953125,2.984375,23200,2.984375,2.953125,2.114483118057251
21-02-1990,2.90625,2.953125,553600,2.953125,2.90625,2.0809192657470703
22-02-1990,2.84375,2.90625,148000,2.90625,2.84375,2.0361685752868652
23-02-1990,2.6875,2.78125,575200,2.78125,2.71875,1.9466663599014282
26-02-1990,2.734375,2.734375,477600,2.75,2.75,1.969041109085083
27-02-1990,2.765625,2.765625,357600,2.84375,2.84375,2.0361685752868652
28-02-1990,2.796875,2.8125,145600,2.828125,2.796875,2.002605676651001
01-03-1990,2.75,2.796875,225600,2.796875,2.75,1.969041109085083
02-03-1990,2.6875,2.75,931200,2.78125,2.703125,1.9354791641235352
05-03-1990,2.65625,2.671875,146400,2.703125,2.671875,1.9131028652191162
06-03-1990,2.625,2.671875,258400,2.734375,2.734375,1.9578546285629272
07-03-1990,2.703125,2.734375,174400,2.75,2.75,1.969041109085083
08-03-1990,2.734375,2.75,146400,2.796875,2.78125,1.9914181232452393
09-03-1990,2.734375,2.75,194400,2.78125,2.734375,1.9578546285629272
12-03-1990,2.625,2.703125,1072800,2.71875,2.6875,1.9242914915084839
13-03-1990,2.671875,2.671875,662400,2.6875,2.6875,1.9242914915084839
14-03-1990,2.671875,2.671875,298400,2.765625,2.765625,1.9802294969558716
15-03-1990,2.71875,2.78125,192000,2.796875,2.71875,1.9466663599014282
16-03-1990,2.734375,2.75,271200,2.78125,2.78125,1.9914181232452393
19-03-1990,2.75,2.75,476000,2.765625,2.765625,1.9802294969558716
20-03-1990,2.75,2.75,898400,2.90625,2.796875,2.002605676651001
21-03-1990,2.796875,2.796875,102400,2.8125,2.796875,2.002605676651001
22-03-1990,2.75,2.75,177600,2.765625,2.765625,1.9802294969558716
23-03-1990,2.796875,2.796875,320000,2.796875,2.796875,2.002605676651001
26-03-1990,2.75,2.78125,37600,2.78125,2.75,1.969041109085083
27-03-1990,2.734375,2.734375,24000,2.75,2.75,1.969041109085083
28-03-1990,2.84375,2.84375,706400,2.9375,2.921875,2.0921072959899902
29-03-1990,2.890625,2.921875,361600,2.9375,2.90625,2.0809192657470703
30-03-1990,2.921875,2.921875,161600,2.921875,2.921875,2.0921072959899902
02-04-1990,2.84375,2.921875,184800,2.921875,2.875,2.058544635772705
03-04-1990,2.875,2.875,358400,3.03125,2.984375,2.1368579864501953
04-04-1990,2.90625,2.984375,364800,2.984375,2.90625,2.0809192657470703
05-04-1990,2.90625,2.9375,373600,2.953125,2.90625,2.0809192657470703
06-04-1990,2.78125,2.921875,810400,2.921875,2.78125,1.9914181232452393
09-04-1990,2.734375,2.734375,336800,2.765625,2.734375,1.9622644186019897
10-04-1990,2.71875,2.75,426400,2.8125,2.765625,1.984688639640808
11-04-1990,2.71875,2.78125,234400,2.8125,2.734375,1.9622644186019897
12-04-1990,2.59375,2.71875,456000,2.734375,2.625,1.8837735652923584
16-04-1990,2.640625,2.640625,273600,2.734375,2.703125,1.9398380517959595
17-04-1990,2.703125,2.71875,16800,2.71875,2.71875,1.951051115989685
18-04-1990,2.6875,2.6875,333600,2.75,2.71875,1.951051115989685
19-04-1990,2.671875,2.71875,207200,2.71875,2.6875,1.9286249876022339
20-04-1990,2.65625,2.671875,168800,2.6875,2.671875,1.9174113273620605
23-04-1990,2.625,2.65625,173600,2.65625,2.625,1.8837735652923584
24-04-1990,2.625,2.625,458400,2.671875,2.625,1.8837735652923584
25-04-1990,2.640625,2.65625,104000,2.671875,2.65625,1.906198501586914
26-04-1990,2.625,2.625,461600,2.6875,2.6875,1.9286249876022339
27-04-1990,2.6875,2.6875,133600,2.703125,2.703125,1.9398380517959595
30-04-1990,2.6875,2.703125,68800,2.71875,2.71875,1.951051115989685
01-05-1990,2.6875,2.71875,732800,2.828125,2.8125,2.0183284282684326
02-05-1990,2.765625,2.78125,575200,2.828125,2.8125,2.0183284282684326
03-05-1990,2.828125,2.84375,105600,2.859375,2.828125,2.029540777206421
04-05-1990,2.78125,2.84375,279200,2.84375,2.78125,1.9959032535552979
07-05-1990,2.78125,2.78125,32800,2.84375,2.84375,2.040754556655884
08-05-1990,2.828125,2.84375,48800,2.84375,2.828125,2.029540777206421
09-05-1990,2.796875,2.84375,1232800,2.859375,2.796875,2.0071158409118652
10-05-1990,2.796875,2.8125,428000,2.84375,2.796875,2.0071158409118652
11-05-1990,2.828125,2.828125,172000,2.875,2.875,2.063180685043335
14-05-1990,2.75,2.890625,2418400,2.890625,2.75,1.9734762907028198
15-05-1990,2.75,2.78125,5804800,2.828125,2.8125,2.0183284282684326
16-05-1990,2.8125,2.8125,367200,2.96875,2.90625,2.085606098175049
17-05-1990,2.921875,2.921875,196000,2.953125,2.953125,2.1192455291748047
18-05-1990,2.96875,2.96875,181600,3.0,3.0,2.1528849601745605
21-05-1990,2.921875,2.96875,74400,2.96875,2.953125,2.1192455291748047
22-05-1990,2.96875,2.984375,40800,2.984375,2.96875,2.130458116531372
23-05-1990,2.90625,2.96875,30400,2.96875,2.90625,2.085606098175049
24-05-1990,2.75,2.921875,483200,2.921875,2.8125,2.0183284282684326
25-05-1990,2.75,2.8125,817600,2.875,2.875,2.063180685043335
29-05-1990,2.890625,2.890625,60800,2.90625,2.90625,2.085606098175049
30-05-1990,2.921875,2.9375,129600,2.984375,2.96875,2.130458116531372
31-05-1990,2.90625,2.9375,143200,2.984375,2.96875,2.130458116531372
01-06-1990,2.953125,2.96875,47200,2.984375,2.96875,2.130458116531372
04-06-1990,2.90625,2.9375,68000,2.984375,2.984375,2.1416707038879395
05-06-1990,2.796875,2.984375,1125600,3.0,2.890625,2.074392557144165
06-06-1990,2.875,2.890625,44000,2.90625,2.875,2.063180685043335
07-06-1990,2.859375,2.890625,212800,2.890625,2.859375,2.051966667175293
08-06-1990,2.8125,2.875,405600,2.875,2.84375,2.040754556655884
11-06-1990,2.84375,2.859375,48800,2.890625,2.875,2.063180685043335
12-06-1990,2.859375,2.90625,196000,3.0,2.984375,2.1416707038879395
13-06-1990,2.96875,2.96875,208000,3.09375,2.96875,2.130458116531372
14-06-1990,2.9375,2.953125,20800,2.984375,2.984375,2.1416707038879395
15-06-1990,2.921875,2.984375,158400,2.984375,2.96875,2.130458116531372
18-06-1990,2.96875,2.96875,1600,2.96875,2.96875,2.130458116531372
19-06-1990,2.875,2.9375,174400,2.9375,2.921875,2.0968191623687744
20-06-1990,2.90625,2.953125,127200,2.953125,2.9375,2.108031749725342
21-06-1990,2.921875,2.921875,6400,2.9375,2.9375,2.108031749725342
22-06-1990,2.921875,2.9375,356800,2.953125,2.953125,2.1192455291748047
25-06-1990,2.90625,2.921875,24800,2.9375,2.921875,2.0968191623687744
26-06-1990,2.859375,2.90625,207200,2.921875,2.921875,2.0968191623687744
27-06-1990,2.921875,2.921875,13600,2.9375,2.921875,2.0968191623687744
28-06-1990,2.9375,2.9375,157600,2.96875,2.96875,2.130458116531372
29-06-1990,2.953125,2.984375,327200,2.984375,2.96875,2.130458116531372
02-07-1990,2.875,2.953125,322400,2.953125,2.90625,2.085606098175049
03-07-1990,2.875,2.9375,308800,2.9375,2.875,2.063180685043335
05-07-1990,2.8125,2.84375,596800,2.84375,2.828125,2.029540777206421
06-07-1990,2.78125,2.78125,82400,2.796875,2.796875,2.0071158409118652
09-07-1990,2.75,2.796875,724800,2.8125,2.78125,1.9959032535552979
10-07-1990,2.765625,2.78125,1073600,2.78125,2.78125,2.000398874282837
11-07-1990,2.78125,2.78125,776000,2.8125,2.796875,2.011636972427368
12-07-1990,2.796875,2.796875,1208800,2.90625,2.875,2.067826986312866
13-07-1990,2.90625,2.90625,568000,3.0,2.96875,2.135256767272949
16-07-1990,2.96875,2.984375,680800,3.0,2.96875,2.135256767272949
17-07-1990,2.921875,2.96875,102400,2.96875,2.921875,2.10154128074646
18-07-1990,2.84375,2.921875,348000,2.921875,2.84375,2.0453505516052246
19-07-1990,2.796875,2.8125,465600,2.875,2.875,2.067826986312866
20-07-1990,2.890625,2.890625,51200,2.90625,2.890625,2.07906436920166
23-07-1990,2.859375,2.875,349600,2.9375,2.9375,2.1127803325653076
24-07-1990,2.90625,2.90625,353600,3.015625,2.984375,2.1464943885803223
25-07-1990,3.0,3.015625,52000,3.03125,3.03125,2.180209159851074
26-07-1990,3.03125,3.0625,80000,3.0625,3.0625,2.2026851177215576
27-07-1990,2.984375,3.03125,75200,3.0625,2.984375,2.1464943885803223
30-07-1990,2.984375,3.0,160800,3.0,3.0,2.1577329635620117
31-07-1990,2.953125,2.953125,175200,3.015625,3.0,2.1577329635620117
01-08-1990,3.0,3.03125,134400,3.0625,3.015625,2.1689703464508057
02-08-1990,3.03125,3.125,1056800,3.171875,3.171875,2.2813525199890137
03-08-1990,3.109375,3.15625,1272000,3.265625,3.203125,2.3038299083709717
06-08-1990,3.125,3.25,247200,3.265625,3.125,2.24763822555542
07-08-1990,3.125,3.125,148800,3.140625,3.140625,2.2588765621185303
08-08-1990,3.09375,3.125,170400,3.140625,3.09375,2.225161552429199
09-08-1990,3.0625,3.09375,296000,3.09375,3.09375,2.225161552429199
10-08-1990,3.09375,3.09375,299200,3.109375,3.09375,2.225161552429199
13-08-1990,3.078125,3.109375,56800,3.125,3.078125,2.2139244079589844
14-08-1990,3.0625,3.109375,49600,3.109375,3.0625,2.2026851177215576
15-08-1990,3.0625,3.0625,196000,3.15625,3.125,2.24763822555542
16-08-1990,3.078125,3.109375,140000,3.125,3.109375,2.2363994121551514
17-08-1990,3.125,3.140625,201600,3.1875,3.140625,2.2588765621185303
20-08-1990,3.046875,3.15625,239200,3.15625,3.046875,2.1914477348327637
21-08-1990,3.0625,3.0625,452000,3.09375,3.078125,2.2139244079589844
22-08-1990,3.015625,3.0625,333600,3.09375,3.015625,2.1689703464508057
23-08-1990,2.9375,3.0,364000,3.0,2.96875,2.135256767272949
24-08-1990,2.921875,2.921875,326400,3.0,3.0,2.1577329635620117
27-08-1990,2.953125,3.0,88000,3.0,2.953125,2.124018669128418
28-08-1990,2.953125,2.953125,8000,2.984375,2.984375,2.1464943885803223
29-08-1990,2.9375,3.015625,140800,3.015625,2.9375,2.1127803325653076
30-08-1990,2.90625,2.953125,65600,2.984375,2.984375,2.1464943885803223
31-08-1990,2.890625,2.953125,256800,2.984375,2.921875,2.10154128074646
04-09-1990,2.9375,2.9375,20000,2.953125,2.953125,2.124018669128418
05-09-1990,2.953125,2.953125,223200,3.1875,3.171875,2.2813525199890137
06-09-1990,3.1875,3.203125,317600,3.296875,3.296875,2.3712587356567383
07-09-1990,3.296875,3.296875,160800,3.359375,3.359375,2.4162116050720215
10-09-1990,3.328125,3.328125,1408800,3.390625,3.359375,2.4162116050720215
11-09-1990,3.1875,3.375,963200,3.375,3.3125,2.3824968338012695
12-09-1990,3.265625,3.34375,336000,3.34375,3.3125,2.3824968338012695
13-09-1990,3.25,3.3125,405600,3.328125,3.25,2.3375442028045654
14-09-1990,3.25,3.25,209600,3.390625,3.390625,2.438687562942505
17-09-1990,3.375,3.390625,1116000,3.46875,3.46875,2.494878053665161
18-09-1990,3.46875,3.46875,776800,3.765625,3.671875,2.6409752368927
19-09-1990,3.65625,3.6875,1624800,3.6875,3.65625,2.6297361850738525
20-09-1990,3.53125,3.65625,432000,3.65625,3.53125,2.5398316383361816
21-09-1990,3.46875,3.484375,521600,3.5625,3.5625,2.562307596206665
24-09-1990,3.484375,3.5625,112800,3.5625,3.515625,2.528594493865967
25-09-1990,3.5,3.5,221600,3.515625,3.515625,2.528594493865967
26-09-1990,3.453125,3.515625,55200,3.515625,3.46875,2.494878053665161
27-09-1990,3.375,3.4375,72800,3.453125,3.375,2.4274492263793945
