Date,Low,Open,Volume,High,Close,Adjusted Close
18-11-1997,19.5,19.5,3531800,19.75,19.5,3.5464718341827393
19-11-1997,19.5,19.5,616400,19.875,19.75,3.5919413566589355
20-11-1997,19.0,19.75,280500,19.75,19.25,3.501004934310913
21-11-1997,19.25,19.25,195600,19.625,19.5625,3.5578391551971436
24-11-1997,19.3125,19.375,87000,19.4375,19.3125,3.512369394302368
25-11-1997,19.125,19.375,172600,19.375,19.1875,3.489638566970825
26-11-1997,19.125,19.25,202200,19.5,19.375,3.523737668991089
28-11-1997,19.125,19.25,277500,19.375,19.25,3.501004934310913
01-12-1997,18.875,19.25,148000,19.375,19.0,3.4555366039276123
02-12-1997,19.125,19.25,74800,19.25,19.25,3.501004934310913
03-12-1997,19.1875,19.1875,99800,19.375,19.25,3.501004934310913
04-12-1997,19.125,19.25,170800,19.3125,19.1875,3.489638566970825
05-12-1997,19.0625,19.0625,146200,19.375,19.375,3.523737668991089
08-12-1997,19.25,19.25,123100,19.5,19.5,3.5464718341827393
09-12-1997,19.375,19.5,93500,19.625,19.5,3.5464718341827393
10-12-1997,19.4375,19.5,71000,19.625,19.5625,3.5578391551971436
11-12-1997,19.3125,19.5,118800,19.5,19.375,3.523737668991089
12-12-1997,19.25,19.375,107200,19.5,19.375,3.523737668991089
15-12-1997,19.375,19.5,153300,19.75,19.6875,3.5805742740631104
16-12-1997,19.5,19.5625,55600,19.6875,19.5,3.5464718341827393
17-12-1997,19.3125,19.375,101100,19.5625,19.4375,3.535104751586914
18-12-1997,19.3125,19.4375,211400,19.5625,19.375,3.523737668991089
19-12-1997,19.0,19.375,167100,19.5625,19.4375,3.535104751586914
22-12-1997,19.4375,19.4375,96000,19.875,19.5625,3.5578391551971436
23-12-1997,19.0,19.6875,102900,19.875,19.375,3.523737668991089
24-12-1997,19.125,19.25,70700,19.375,19.1875,3.5223610401153564
26-12-1997,19.0625,19.25,76600,19.25,19.25,3.5338351726531982
29-12-1997,19.25,19.25,77000,19.4375,19.3125,3.54530668258667
30-12-1997,19.3125,19.3125,124400,19.875,19.4375,3.568254232406616
31-12-1997,19.25,19.4375,126100,19.4375,19.375,3.5567820072174072
02-01-1998,19.375,19.4375,14400,19.625,19.625,3.602673292160034
05-01-1998,19.625,19.8125,267300,20.0,19.875,3.6485702991485596
06-01-1998,19.75,19.875,151500,20.0625,19.875,3.6485702991485596
07-01-1998,19.625,19.875,120700,19.875,19.75,3.6256232261657715
08-01-1998,19.625,19.75,185100,20.0,19.75,3.6256232261657715
09-01-1998,19.375,19.75,90000,19.75,19.375,3.5567820072174072
12-01-1998,19.0,19.0,140100,19.5,19.25,3.5338351726531982
13-01-1998,19.25,19.3125,80000,19.625,19.5625,3.5912022590637207
14-01-1998,19.375,19.5,99800,19.5,19.5,3.5797295570373535
15-01-1998,19.3125,19.5,43100,19.5,19.4375,3.568254232406616
16-01-1998,19.25,19.5,108600,19.5,19.375,3.5567820072174072
20-01-1998,19.625,19.625,76100,20.0,19.875,3.6485702991485596
21-01-1998,19.625,20.0,31000,20.0,19.875,3.6485702991485596
22-01-1998,19.5,19.8125,57900,19.875,19.6875,3.6141510009765625
23-01-1998,19.75,19.75,42400,20.0,19.75,3.6256232261657715
26-01-1998,19.8125,19.875,40700,20.0,19.875,3.6485702991485596
27-01-1998,19.625,19.875,95900,20.0,19.75,3.6256232261657715
28-01-1998,19.5625,19.8125,80600,20.0,19.9375,3.6600441932678223
29-01-1998,19.75,19.8125,76000,20.0,20.0,3.671516180038452
30-01-1998,19.75,19.875,46400,19.875,19.75,3.6256232261657715
02-02-1998,19.5,19.75,84700,19.875,19.875,3.6485702991485596
03-02-1998,19.4375,19.875,75800,19.875,19.75,3.6256232261657715
04-02-1998,19.5625,19.8125,148500,19.875,19.6875,3.6141510009765625
05-02-1998,19.75,19.8125,103400,20.0,20.0,3.671516180038452
06-02-1998,19.5,19.875,72300,19.875,19.625,3.602673292160034
09-02-1998,19.25,19.625,61500,19.625,19.4375,3.568254232406616
10-02-1998,19.375,19.375,37500,19.5,19.375,3.5567820072174072
11-02-1998,19.25,19.5,42300,19.5,19.375,3.5567820072174072
12-02-1998,19.125,19.4375,36400,19.4375,19.25,3.5338351726531982
13-02-1998,19.3125,19.625,31800,19.625,19.375,3.5567820072174072
17-02-1998,19.1875,19.5,27800,19.5,19.4375,3.568254232406616
18-02-1998,19.25,19.6875,65100,19.75,19.375,3.5567820072174072
19-02-1998,19.25,19.625,19900,19.625,19.25,3.5338351726531982
20-02-1998,19.0,19.125,16900,19.25,19.25,3.5338351726531982
23-02-1998,19.375,19.375,188800,19.875,19.875,3.6485702991485596
24-02-1998,19.4375,19.75,68100,19.9375,19.625,3.602673292160034
25-02-1998,19.4375,19.625,74900,19.875,19.5,3.5797295570373535
26-02-1998,19.4375,19.5,27700,19.625,19.625,3.602673292160034
27-02-1998,19.375,19.4375,28600,19.625,19.625,3.602673292160034
02-03-1998,19.25,19.375,45800,19.75,19.75,3.6256232261657715
03-03-1998,19.5,19.625,22700,19.875,19.5,3.5797295570373535
04-03-1998,19.125,19.125,61000,19.25,19.1875,3.5223610401153564
05-03-1998,19.0625,19.1875,24500,19.75,19.5,3.5797295570373535
06-03-1998,19.5,19.625,104500,19.875,19.5625,3.5912022590637207
09-03-1998,19.5,19.75,101400,19.875,19.75,3.6256232261657715
10-03-1998,19.625,19.75,8500,19.875,19.75,3.6256232261657715
11-03-1998,19.625,19.875,42400,19.875,19.8125,3.6370959281921387
12-03-1998,19.75,19.875,16700,19.875,19.75,3.6256232261657715
13-03-1998,19.6875,19.875,18100,19.875,19.8125,3.6370959281921387
16-03-1998,19.375,19.75,198600,19.75,19.4375,3.568254232406616
17-03-1998,19.3125,19.4375,97800,19.5,19.375,3.5567820072174072
18-03-1998,19.5,19.5,23700,19.75,19.625,3.602673292160034
19-03-1998,19.5625,19.625,31300,19.875,19.8125,3.6370959281921387
20-03-1998,19.5625,19.875,65000,20.125,19.6875,3.6141510009765625
23-03-1998,19.8125,19.875,29800,20.0625,20.0,3.671516180038452
24-03-1998,19.875,20.0,21900,20.125,19.875,3.6485702991485596
25-03-1998,19.5625,20.0,32000,20.0,19.75,3.6256232261657715
26-03-1998,19.8125,19.9375,65700,20.125,20.0,3.671516180038452
27-03-1998,19.375,19.6875,35000,19.6875,19.5,3.6527836322784424
30-03-1998,18.9375,19.3125,110900,19.75,19.75,3.699615955352783
31-03-1998,19.5,19.75,16700,19.75,19.625,3.676201105117798
01-04-1998,19.375,19.75,52800,19.8125,19.375,3.6293702125549316
02-04-1998,19.375,19.375,128800,20.0625,19.8125,3.711325168609619
03-04-1998,19.625,19.6875,91900,19.875,19.75,3.699615955352783
06-04-1998,19.5,19.5625,62900,19.75,19.625,3.676201105117798
07-04-1998,19.625,19.625,47900,19.75,19.75,3.699615955352783
08-04-1998,19.5625,19.625,65900,19.875,19.75,3.699615955352783
09-04-1998,19.625,19.875,75400,19.875,19.625,3.676201105117798
13-04-1998,19.5,19.6875,101800,19.75,19.625,3.676201105117798
14-04-1998,19.25,19.6875,57000,19.6875,19.25,3.6059553623199463
15-04-1998,19.3125,19.4375,142900,19.5625,19.5,3.6527836322784424
16-04-1998,19.375,19.5,44200,19.625,19.5,3.6527836322784424
17-04-1998,19.3125,19.4375,17900,19.5,19.4375,3.641077995300293
20-04-1998,19.1875,19.4375,43200,19.75,19.3125,3.6176633834838867
21-04-1998,19.3125,19.4375,26700,19.5,19.375,3.6293702125549316
22-04-1998,19.3125,19.5,48900,19.5,19.3125,3.6176633834838867
23-04-1998,19.4375,19.5,97100,19.75,19.75,3.699615955352783
24-04-1998,19.5,19.6875,54500,19.75,19.625,3.676201105117798
27-04-1998,19.375,19.5,42800,19.6875,19.6875,3.687908172607422
28-04-1998,19.5,19.75,36800,19.75,19.625,3.676201105117798
29-04-1998,19.5,19.5625,33700,19.6875,19.5625,3.66449236869812
30-04-1998,19.625,19.6875,102800,19.75,19.6875,3.687908172607422
01-05-1998,19.5625,19.625,24400,19.75,19.6875,3.687908172607422
04-05-1998,19.375,19.8125,137500,19.8125,19.375,3.6293702125549316
05-05-1998,19.375,19.5,14200,19.5,19.5,3.6527836322784424
06-05-1998,19.25,19.625,64200,19.625,19.3125,3.6176633834838867
07-05-1998,19.25,19.375,30600,19.6875,19.5,3.6527836322784424
08-05-1998,19.4375,19.5625,13800,19.625,19.4375,3.641077995300293
11-05-1998,19.25,19.5,11800,19.5,19.5,3.6527836322784424
12-05-1998,19.3125,19.4375,12600,19.4375,19.3125,3.6176633834838867
13-05-1998,19.0625,19.3125,44000,19.3125,19.25,3.6059553623199463
