Date,Low,Open,Volume,High,Close,Adjusted Close
10-11-1997,25.125,25.75,947200,25.75,25.1875,8.39299201965332
11-11-1997,25.125,25.1875,514700,25.4375,25.3125,8.434642791748047
12-11-1997,25.125,25.25,344700,25.875,25.625,8.538775444030762
13-11-1997,25.5625,25.5625,1007700,25.9375,25.875,8.62208080291748
14-11-1997,25.6875,25.875,1394900,26.0,26.0,8.66373348236084
17-11-1997,25.875,25.9375,706600,26.25,26.125,8.705388069152832
18-11-1997,25.9375,26.0,625800,26.375,26.0625,8.684561729431152
19-11-1997,26.0,26.0,342400,26.25,26.25,8.747039794921875
20-11-1997,26.1875,26.1875,558800,26.625,26.5,8.830345153808594
21-11-1997,26.5,26.75,640800,26.875,26.875,8.955296516418457
24-11-1997,26.5,26.625,330800,27.0,26.875,8.955296516418457
25-11-1997,26.75,26.8125,1021000,27.25,27.125,9.038605690002441
26-11-1997,26.875,27.1875,488700,27.1875,26.875,8.955296516418457
28-11-1997,26.875,27.0,244200,27.0,27.0,8.996953010559082
01-12-1997,26.9375,27.0,836200,27.375,27.375,9.121914863586426
02-12-1997,27.0625,27.25,437800,27.375,27.125,9.038605690002441
03-12-1997,26.875,27.25,338400,27.25,27.125,9.038605690002441
04-12-1997,27.0625,27.25,1405800,27.6875,27.375,9.121914863586426
05-12-1997,27.125,27.125,362500,27.875,27.3125,9.101088523864746
08-12-1997,27.125,27.375,312900,27.4375,27.3125,9.101088523864746
09-12-1997,26.9375,27.1875,365300,27.3125,27.1875,9.059432029724121
10-12-1997,27.1875,27.4375,354100,27.5,27.3125,9.101088523864746
11-12-1997,26.9375,27.25,199600,27.3125,27.125,9.038605690002441
12-12-1997,27.0,27.25,680500,27.3125,27.1875,9.059432029724121
15-12-1997,27.1875,27.1875,489500,27.5625,27.5,9.163568496704102
16-12-1997,27.375,27.5,310200,27.5625,27.4375,9.14273452758789
17-12-1997,27.3125,27.5625,386100,27.5625,27.4375,9.14273452758789
18-12-1997,27.375,27.4375,1640900,27.8125,27.8125,9.267693519592285
19-12-1997,27.6875,27.8125,2164100,28.3125,28.3125,9.434308052062988
22-12-1997,28.25,28.3125,851400,28.8125,28.625,9.538437843322754
23-12-1997,28.3125,28.4375,493200,28.75,28.5,9.49678897857666
24-12-1997,28.4375,28.5625,92200,28.6875,28.625,9.538437843322754
26-12-1997,28.0625,28.5625,215300,28.625,28.25,9.413479804992676
29-12-1997,28.125,28.25,280800,28.75,28.5625,9.517611503601074
30-12-1997,28.5,28.625,268600,28.8125,28.8125,9.60091781616211
31-12-1997,28.5625,28.625,482900,29.0,29.0,9.663399696350098
02-01-1998,28.5,28.75,317200,28.9375,28.875,9.62174129486084
05-01-1998,28.1875,28.6875,734200,28.90625,28.375,9.455131530761719
06-01-1998,28.25,28.25,1507800,28.625,28.5625,9.517611503601074
07-01-1998,28.0625,28.4375,724000,28.4375,28.4375,9.475957870483398
08-01-1998,28.0625,28.3125,461600,28.4375,28.375,9.455131530761719
09-01-1998,28.125,28.3125,863900,28.5625,28.3125,9.434308052062988
12-01-1998,27.875,27.875,679200,28.75,28.75,9.580089569091797
13-01-1998,28.375,28.75,1065600,28.75,28.4375,9.475957870483398
14-01-1998,28.125,28.4375,348700,28.4375,28.4375,9.475957870483398
15-01-1998,28.25,28.3125,638200,28.375,28.25,9.413479804992676
16-01-1998,28.25,28.5,488700,28.5,28.375,9.455131530761719
20-01-1998,28.0,28.375,344700,28.5,28.5,9.49678897857666
21-01-1998,28.25,28.5,464300,28.75,28.5,9.49678897857666
22-01-1998,28.25,28.4375,421800,28.5,28.5,9.49678897857666
