Date,Low,Open,Volume,High,Close,Adjusted Close
16-07-1999,61.625,62.125,231400,62.3125,62.0625,21.975074768066406
19-07-1999,61.5,63.625,158200,63.6875,62.1875,22.01934242248535
20-07-1999,60.75,61.75,79400,61.75,60.875,21.55461311340332
21-07-1999,60.375,60.875,75200,61.1875,61.0,21.598878860473633
22-07-1999,60.625,60.9375,33500,61.0,60.875,21.55461311340332
23-07-1999,57.25,58.5,114700,58.5,57.5625,20.38172149658203
26-07-1999,57.25,57.3125,46000,58.25,58.0,20.536640167236328
27-07-1999,59.0,59.3125,82400,60.25,60.125,21.2890567779541
28-07-1999,58.0,58.5,93100,59.375,58.875,20.84645652770996
29-07-1999,57.5,58.875,65600,58.875,57.5,20.359590530395508
30-07-1999,59.5,60.25,82900,60.25,60.25,21.33331298828125
02-08-1999,60.5,60.5,73700,63.3125,62.625,22.174251556396484
03-08-1999,62.375,63.25,97300,63.25,63.0,22.307031631469727
04-08-1999,62.5625,63.25,64500,64.0,63.875,22.616853713989258
05-08-1999,60.0,61.3125,192800,61.75,61.6875,21.84230613708496
06-08-1999,59.0,59.8125,110200,60.125,59.125,20.93496322631836
09-08-1999,58.5625,58.75,52900,59.0,58.6875,20.780065536499023
10-08-1999,56.625,57.0,67500,57.625,57.625,20.403852462768555
11-08-1999,57.875,58.25,46500,58.75,58.75,20.802188873291016
12-08-1999,60.375,61.125,70200,61.125,60.4375,21.399700164794922
13-08-1999,60.0,60.0,55200,61.0,60.625,21.466100692749023
16-08-1999,60.25,60.625,53000,60.875,60.5625,21.44396209716797
17-08-1999,60.5,61.0,36800,61.0,60.625,21.466100692749023
18-08-1999,59.625,60.5,36000,60.625,59.9375,21.484554290771484
19-08-1999,61.0,61.0,69300,62.125,61.9375,22.201448440551758
20-08-1999,62.5,62.5,52300,63.375,63.25,22.671918869018555
23-08-1999,63.625,63.625,105400,64.875,63.875,22.895946502685547
24-08-1999,62.1875,63.5,119000,63.6875,63.6875,22.828733444213867
25-08-1999,61.6875,63.75,137700,64.0,61.75,22.134241104125977
26-08-1999,61.875,63.5,89700,63.5,61.9375,22.201448440551758
27-08-1999,61.0625,62.1875,88100,62.625,61.125,21.91020965576172
30-08-1999,61.875,62.5,97400,62.8125,61.9375,22.201448440551758
31-08-1999,61.375,62.1875,51000,62.5,62.25,22.313465118408203
01-09-1999,61.1875,61.6875,81200,61.6875,61.625,22.08943748474121
02-09-1999,60.0,60.6875,41400,60.75,60.6875,21.753393173217773
03-09-1999,61.3125,61.5,88300,61.75,61.75,22.134241104125977
07-09-1999,61.625,62.25,21900,62.25,61.75,22.134241104125977
08-09-1999,60.875,61.0,25900,61.4375,61.25,21.95502471923828
09-09-1999,62.3125,62.75,74300,62.75,62.625,22.447885513305664
10-09-1999,62.25,62.75,82200,62.75,62.75,22.49268913269043
13-09-1999,61.1875,61.625,75400,61.75,61.625,22.08943748474121
14-09-1999,60.4375,60.875,59200,60.875,60.5625,21.708589553833008
15-09-1999,58.0,59.1875,118500,59.1875,58.75,21.058887481689453
16-09-1999,58.0,58.5,58400,58.625,58.5,20.969282150268555
17-09-1999,59.3125,59.3125,54200,60.25,60.125,21.551761627197266
20-09-1999,59.0625,59.5,41100,59.6875,59.6875,21.394943237304688
21-09-1999,57.75,58.8125,50900,58.8125,57.8125,20.72284507751465
22-09-1999,57.875,57.875,97000,59.0,58.875,21.103700637817383
23-09-1999,57.5,58.75,33700,58.75,57.5625,20.633237838745117
24-09-1999,57.8125,58.625,44700,58.75,58.0,20.79006576538086
27-09-1999,59.6875,59.75,66700,60.375,59.75,21.417346954345703
28-09-1999,57.75,58.625,86900,58.75,57.9375,20.767654418945312
29-09-1999,56.8125,56.8125,79600,57.5625,57.125,20.476411819458008
30-09-1999,57.375,57.375,58400,58.0625,58.0625,20.81245994567871
01-10-1999,57.1875,58.0625,28500,58.0625,57.8125,20.72284507751465
04-10-1999,58.25,58.25,55300,59.375,59.1875,21.215715408325195
05-10-1999,58.0,58.25,61400,58.8125,58.0625,20.81245994567871
06-10-1999,58.8125,58.875,30400,59.5,59.125,21.19331169128418
