Date,Low,Open,Volume,High,Close,Adjusted Close
02-01-1970,1.21875,1.25,1195200,1.2534719705581665,1.21875,0.4025616943836212
05-01-1970,1.1875,1.21875,964800,1.2222219705581665,1.189236044883728,0.3928128480911255
06-01-1970,1.1840280294418335,1.189236044883728,1036800,1.211806058883667,1.211806058883667,0.4002677798271179
07-01-1970,1.203125,1.211806058883667,331200,1.2152780294418335,1.2065969705581665,0.39854732155799866
08-01-1970,1.2065969705581665,1.2065969705581665,460800,1.225693941116333,1.2152780294418335,0.40141478180885315
09-01-1970,1.2222219705581665,1.2222219705581665,748800,1.2395830154418945,1.2222219705581665,0.40370821952819824
12-01-1970,1.201388955116272,1.2222219705581665,864000,1.2222219705581665,1.201388955116272,0.3968270719051361
13-01-1970,1.204861044883728,1.204861044883728,849600,1.2222219705581665,1.211806058883667,0.4002677798271179
14-01-1970,1.211806058883667,1.211806058883667,619200,1.232638955116272,1.2291669845581055,0.40600231289863586
15-01-1970,1.227431058883667,1.2291669845581055,1209600,1.232638955116272,1.2309030294418335,0.4065759778022766
16-01-1970,1.225693941116333,1.2309030294418335,734400,1.2309030294418335,1.2291669845581055,0.40600231289863586
19-01-1970,1.211806058883667,1.227431058883667,1180800,1.227431058883667,1.2135419845581055,0.4008413255214691
20-01-1970,1.1927080154418945,1.2135419845581055,763200,1.2135419845581055,1.2135419845581055,0.4008413255214691
21-01-1970,1.210068941116333,1.2135419845581055,878400,1.21875,1.21875,0.4025616943836212
22-01-1970,1.211806058883667,1.21875,360000,1.2222219705581665,1.2222219705581665,0.40370821952819824
23-01-1970,1.2135419845581055,1.2222219705581665,979200,1.225693941116333,1.2152780294418335,0.40141478180885315
26-01-1970,1.2083330154418945,1.2152780294418335,979200,1.2152780294418335,1.2152780294418335,0.40141478180885315
27-01-1970,1.201388955116272,1.210068941116333,532800,1.210068941116333,1.201388955116272,0.3968270719051361
28-01-1970,1.1354169845581055,1.1909719705581665,1497600,1.1909719705581665,1.1354169845581055,0.37503594160079956
29-01-1970,1.0729169845581055,1.131943941116333,3585600,1.131943941116333,1.111111044883728,0.36700746417045593
30-01-1970,1.076388955116272,1.0972219705581665,2808000,1.0972219705581665,1.0972219705581665,0.36242005228996277
02-02-1970,1.109375,1.109375,1612800,1.1527780294418335,1.1527780294418335,0.3807702958583832
03-02-1970,1.1458330154418945,1.1527780294418335,2692800,1.201388955116272,1.1458330154418945,0.3784765899181366
04-02-1970,1.0815969705581665,1.133681058883667,2793600,1.133681058883667,1.095486044883728,0.3618465065956116
05-02-1970,1.092013955116272,1.095486044883728,1886400,1.1458330154418945,1.1458330154418945,0.3784765899181366
06-02-1970,1.125,1.138888955116272,705600,1.138888955116272,1.131943941116333,0.37388890981674194
09-02-1970,1.1597219705581665,1.1597219705581665,1684800,1.1909719705581665,1.1822919845581055,0.39051923155784607
10-02-1970,1.201388955116272,1.201388955116272,2505600,1.2152780294418335,1.204861044883728,0.3979737162590027
11-02-1970,1.189236044883728,1.201388955116272,2232000,1.201388955116272,1.194443941116333,0.39453285932540894
12-02-1970,1.1432290077209473,1.194443941116333,3369600,1.194443941116333,1.1510419845581055,0.38019701838493347
13-02-1970,1.111111044883728,1.1467009782791138,1540800,1.1467009782791138,1.125,0.371595174074173
16-02-1970,1.1223959922790527,1.125,820800,1.1302080154418945,1.1223959922790527,0.3714228570461273
17-02-1970,1.0902780294418335,1.1223959922790527,1915200,1.123263955116272,1.100693941116333,0.36424121260643005
18-02-1970,1.1041669845581055,1.1041669845581055,878400,1.1128469705581665,1.109375,0.3671138286590576
19-02-1970,1.0989580154418945,1.109375,576000,1.109375,1.1015629768371582,0.3645287752151489
20-02-1970,1.076388955116272,1.0989580154418945,1396800,1.0989580154418945,1.0807290077209473,0.3576344847679138
24-02-1970,1.0503469705581665,1.0807290077209473,3744000,1.085068941116333,1.0572919845581055,0.3498786985874176
25-02-1970,1.0520830154418945,1.0572919845581055,2822400,1.0972219705581665,1.0972219705581665,0.36309218406677246
26-02-1970,1.064236044883728,1.086806058883667,1353600,1.086806058883667,1.076388955116272,0.3561980724334717
27-02-1970,1.0833330154418945,1.0833330154418945,1627200,1.111111044883728,1.1067709922790527,0.36625203490257263
02-03-1970,1.0972219705581665,1.1067709922790527,1051200,1.123263955116272,1.0972219705581665,0.36309218406677246
03-03-1970,1.079861044883728,1.0972219705581665,1468800,1.0989580154418945,1.0989580154418945,0.3636666536331177
04-03-1970,1.0989580154418945,1.0989580154418945,734400,1.118056058883667,1.109375,0.3671138286590576
05-03-1970,1.1041669845581055,1.109375,892800,1.1128469705581665,1.107638955116272,0.36653947830200195
06-03-1970,1.0885419845581055,1.107638955116272,907200,1.107638955116272,1.092013955116272,0.36136871576309204
09-03-1970,1.079861044883728,1.0885419845581055,273600,1.0885419845581055,1.085068941116333,0.3590707778930664
10-03-1970,1.0668400526046753,1.079861044883728,1353600,1.079861044883728,1.076388955116272,0.3561980724334717
11-03-1970,1.0729169845581055,1.076388955116272,432000,1.0902780294418335,1.085068941116333,0.3590707778930664
