Date,Low,Open,Volume,High,Close,Adjusted Close
17-03-1980,9.125,0.0,41600,9.1875,9.125,2.6025302410125732
18-03-1980,9.09375,0.0,29200,9.125,9.09375,2.5936155319213867
19-03-1980,9.09375,0.0,25600,9.25,9.25,2.6381804943084717
20-03-1980,9.25,0.0,48000,9.40625,9.28125,2.6470937728881836
21-03-1980,9.125,0.0,87600,9.34375,9.15625,2.611442804336548
24-03-1980,9.125,0.0,25600,9.21875,9.125,2.6025302410125732
25-03-1980,9.0625,0.0,72400,9.09375,9.0625,2.5847041606903076
26-03-1980,8.84375,0.0,20400,9.0625,8.90625,2.540139675140381
27-03-1980,8.25,0.0,44800,8.75,8.3125,2.3707990646362305
28-03-1980,8.375,0.0,40000,8.5,8.375,2.388622760772705
31-03-1980,8.1875,0.0,48400,8.4375,8.4375,2.40644907951355
01-04-1980,8.3125,0.0,60000,8.5625,8.5625,2.4420993328094482
02-04-1980,8.53125,0.0,42000,8.75,8.71875,2.4866621494293213
03-04-1980,8.5,0.0,20800,8.625,8.59375,2.4510138034820557
07-04-1980,8.5,0.0,32400,8.6875,8.5,2.4242727756500244
08-04-1980,8.5,0.0,27600,8.6875,8.6875,2.4777493476867676
09-04-1980,8.59375,0.0,18000,8.71875,8.71875,2.4866621494293213
10-04-1980,8.8125,0.0,29200,8.9375,8.90625,2.540139675140381
11-04-1980,8.90625,0.0,28000,9.0625,9.0625,2.5847041606903076
14-04-1980,8.875,0.0,29200,9.0625,8.875,2.5312283039093018
15-04-1980,8.625,0.0,25600,8.875,8.6875,2.4777493476867676
16-04-1980,8.5625,0.0,40400,8.6875,8.5625,2.4420993328094482
17-04-1980,8.4375,0.0,29200,8.6875,8.6875,2.4777493476867676
18-04-1980,8.65625,0.0,30400,8.875,8.75,2.4955766201019287
21-04-1980,8.75,0.0,8800,8.875,8.75,2.4955766201019287
22-04-1980,8.75,0.0,26400,9.03125,9.03125,2.5757906436920166
23-04-1980,9.0,0.0,5600,9.125,9.0625,2.5847041606903076
24-04-1980,9.0,0.0,86800,9.25,9.21875,2.629267454147339
25-04-1980,9.15625,0.0,4800,9.21875,9.21875,2.629267454147339
28-04-1980,9.0,0.0,15200,9.15625,9.0625,2.5847041606903076
29-04-1980,9.0,0.0,17600,9.1875,9.09375,2.5936155319213867
30-04-1980,9.03125,0.0,29600,9.15625,9.09375,2.5936155319213867
01-05-1980,8.90625,0.0,19200,9.15625,8.90625,2.540139675140381
02-05-1980,8.90625,0.0,83200,9.0625,9.0,2.566877603530884
05-05-1980,8.9375,0.0,79600,9.0,9.0,2.566877603530884
06-05-1980,9.03125,0.0,79200,9.25,9.25,2.6381804943084717
07-05-1980,9.34375,0.0,173600,9.65625,9.5625,2.7273082733154297
08-05-1980,9.3125,0.0,112400,9.59375,9.40625,2.6827433109283447
09-05-1980,9.09375,0.0,34400,9.40625,9.09375,2.5936155319213867
12-05-1980,9.0625,0.0,12800,9.1875,9.125,2.6025302410125732
13-05-1980,9.0625,0.0,34800,9.21875,9.0625,2.5847041606903076
14-05-1980,9.03125,0.0,48400,9.28125,9.25,2.6381804943084717
15-05-1980,9.21875,0.0,26400,9.25,9.25,2.6381804943084717
16-05-1980,9.125,0.0,30800,9.25,9.21875,2.629267454147339
19-05-1980,9.15625,0.0,20800,9.21875,9.15625,2.611442804336548
20-05-1980,9.21875,0.0,65600,9.25,9.21875,2.629267454147339
21-05-1980,9.1875,0.0,47200,9.3125,9.21875,2.629267454147339
22-05-1980,9.21875,0.0,32800,9.3125,9.28125,2.6470937728881836
23-05-1980,9.375,0.0,46000,9.625,9.59375,2.736220359802246
27-05-1980,9.5625,0.0,76400,9.75,9.625,2.7451345920562744
28-05-1980,9.625,0.0,72000,9.6875,9.65625,2.7540462017059326
29-05-1980,9.625,0.0,223600,9.71875,9.625,2.7451345920562744
30-05-1980,9.625,0.0,58800,9.71875,9.6875,2.7629592418670654
02-06-1980,9.625,0.0,26800,9.71875,9.625,2.7451345920562744
03-06-1980,9.59375,0.0,12000,9.71875,9.71875,2.771872043609619
04-06-1980,9.6875,0.0,87200,9.84375,9.8125,2.798610210418701
05-06-1980,9.84375,0.0,47200,9.96875,9.875,2.816436767578125
06-06-1980,9.8125,0.0,40400,10.0,10.0,2.852088212966919
09-06-1980,9.875,0.0,24400,10.0625,9.9375,2.8342626094818115
10-06-1980,10.0625,0.0,56800,10.15625,10.0625,2.8699140548706055
11-06-1980,10.0625,0.0,24400,10.1875,10.15625,2.8966517448425293
12-06-1980,10.15625,0.0,56400,10.5,10.25,2.9233877658843994
13-06-1980,10.21875,0.0,28800,10.53125,10.53125,3.003603458404541
16-06-1980,10.5,0.0,56800,10.5625,10.5625,3.0125160217285156
17-06-1980,10.5625,0.0,48400,10.6875,10.65625,3.0392560958862305
18-06-1980,10.53125,0.0,20000,10.59375,10.59375,3.0214290618896484
19-06-1980,10.53125,0.0,24400,10.59375,10.53125,3.003603458404541
20-06-1980,10.4375,0.0,91200,10.53125,10.4375,2.976865768432617
23-06-1980,10.375,0.0,20000,10.4375,10.375,2.959038496017456
24-06-1980,10.375,0.0,13600,10.5625,10.46875,2.9857795238494873
25-06-1980,10.4375,0.0,17600,10.5625,10.5625,3.0125160217285156
26-06-1980,10.375,0.0,20000,10.59375,10.40625,2.9679532051086426
27-06-1980,10.34375,0.0,10400,10.40625,10.40625,2.9679532051086426
30-06-1980,10.3125,0.0,43600,10.4375,10.3125,2.9412150382995605
01-07-1980,10.3125,0.0,78800,10.5,10.4375,2.976865768432617
02-07-1980,10.375,0.0,20800,10.625,10.5625,3.0125160217285156
03-07-1980,10.4375,0.0,26400,10.5,10.4375,2.976865768432617
07-07-1980,10.4375,0.0,20800,10.5,10.4375,2.976865768432617
08-07-1980,10.53125,0.0,30800,10.625,10.625,3.0303430557250977
09-07-1980,10.5625,0.0,111600,10.6875,10.625,3.0303430557250977
10-07-1980,10.4375,0.0,24800,10.5625,10.4375,2.976865768432617
11-07-1980,10.34375,0.0,90400,10.5,10.5,2.994692802429199
14-07-1980,10.46875,0.0,12800,10.625,10.625,3.0303430557250977
15-07-1980,10.65625,0.0,50400,10.875,10.75,3.0659940242767334
16-07-1980,10.625,0.0,46000,10.875,10.875,3.1016435623168945
17-07-1980,10.75,0.0,5200,10.875,10.75,3.0659940242767334
18-07-1980,10.75,0.0,44800,10.875,10.84375,3.09273099899292
21-07-1980,10.75,0.0,38800,10.84375,10.78125,3.0749053955078125
22-07-1980,10.75,0.0,58400,10.9375,10.75,3.0659940242767334
23-07-1980,10.71875,0.0,72000,11.4375,11.28125,3.2175097465515137
24-07-1980,11.3125,0.0,62400,11.8125,11.375,3.2442474365234375
25-07-1980,10.96875,0.0,76000,11.25,11.0625,3.155120611190796
28-07-1980,10.84375,0.0,95200,11.0,11.0,3.137295961380005
29-07-1980,10.9375,0.0,21600,11.09375,10.9375,3.1194705963134766
30-07-1980,10.8125,0.0,51200,10.90625,10.8125,3.083818197250366
31-07-1980,10.65625,0.0,200000,10.75,10.75,3.0659940242767334
01-08-1980,10.6875,0.0,31600,10.875,10.6875,3.048168659210205
04-08-1980,10.625,0.0,146000,10.9375,10.9375,3.1194705963134766
05-08-1980,10.90625,0.0,29200,11.15625,11.15625,3.1818578243255615
06-08-1980,11.1875,0.0,19200,11.25,11.25,3.2085964679718018
07-08-1980,11.25,0.0,70400,11.5,11.375,3.2442474365234375
08-08-1980,11.0,0.0,112800,11.53125,11.0,3.137295961380005
11-08-1980,10.9375,0.0,46400,11.0625,10.9375,3.1194705963134766
12-08-1980,10.96875,0.0,37200,11.15625,11.0625,3.155120611190796
13-08-1980,10.96875,0.0,57600,11.1875,10.96875,3.1283843517303467
14-08-1980,10.875,0.0,101200,11.25,11.25,3.2085964679718018
15-08-1980,11.1875,0.0,45600,11.34375,11.1875,3.1907730102539062
18-08-1980,11.0625,0.0,17600,11.25,11.1875,3.1907730102539062
19-08-1980,10.78125,0.0,55200,11.125,10.8125,3.083818197250366
20-08-1980,10.625,0.0,48000,10.75,10.65625,3.0392560958862305
21-08-1980,10.75,0.0,62000,11.0,10.96875,3.1283843517303467
22-08-1980,11.03125,0.0,21200,11.1875,11.0625,3.155120611190796
25-08-1980,10.84375,0.0,28800,11.125,10.875,3.1016435623168945
26-08-1980,10.75,0.0,62000,11.0,10.75,3.0659940242767334
27-08-1980,10.625,0.0,53600,10.6875,10.625,3.0303430557250977
28-08-1980,10.5625,0.0,4800,10.625,10.625,3.0303430557250977
29-08-1980,10.375,0.0,31200,10.625,10.5,2.994692802429199
02-09-1980,10.3125,0.0,26000,10.5,10.375,2.959038496017456
03-09-1980,10.375,0.0,65200,10.5625,10.5,2.994692802429199
04-09-1980,10.53125,0.0,24400,10.625,10.5625,3.0125160217285156
05-09-1980,10.53125,0.0,35200,10.625,10.53125,3.003603458404541
08-09-1980,10.5,0.0,21600,10.59375,10.5,2.994692802429199
09-09-1980,10.3125,0.0,66400,10.4375,10.40625,2.9679532051086426
10-09-1980,10.4375,0.0,67600,10.59375,10.53125,3.003603458404541
11-09-1980,10.4375,0.0,284800,10.625,10.5,2.994692802429199
