Date,Low,Open,Volume,High,Close,Adjusted Close
20-10-1997,34.4375,34.4375,2520200,35.0,34.625,8.678434371948242
21-10-1997,34.8125,35.0625,968000,35.5,35.0625,8.78808879852295
22-10-1997,35.125,35.3125,670400,35.375,35.3125,8.850749969482422
23-10-1997,34.125,34.125,494000,35.0,34.5625,8.66276741027832
24-10-1997,34.1875,34.75,518500,34.8125,34.25,8.584444046020508
27-10-1997,33.0,34.4375,573500,34.5625,33.0,8.271141052246094
28-10-1997,32.625,32.625,585300,34.6875,34.6875,8.694101333618164
29-10-1997,35.0625,35.0625,338800,35.5,35.125,8.803753852844238
30-10-1997,35.5625,35.5625,328400,36.4375,36.125,9.05439567565918
31-10-1997,37.3125,37.4375,151000,38.0,37.875,9.493020057678223
03-11-1997,37.125,37.5,57400,37.625,37.4375,9.383360862731934
04-11-1997,37.625,37.625,48400,38.125,38.125,9.555676460266113
05-11-1997,37.375,37.5625,239500,37.75,37.4375,9.383360862731934
06-11-1997,37.5625,37.5625,85300,37.6875,37.625,9.4303560256958
07-11-1997,36.0,37.375,235100,37.375,36.0,9.023065567016602
10-11-1997,36.0625,36.3125,11100,36.4375,36.25,9.085723876953125
11-11-1997,36.0625,36.125,34000,36.4375,36.125,9.05439567565918
12-11-1997,35.5625,35.75,280100,36.4375,35.75,8.960407257080078
13-11-1997,35.6875,36.375,237700,36.625,36.25,9.085723876953125
14-11-1997,36.75,37.0625,350600,37.3125,37.0,9.273706436157227
17-11-1997,36.9375,37.25,233600,37.25,37.0,9.273706436157227
18-11-1997,36.8125,37.0,32600,37.25,36.9375,9.258042335510254
19-11-1997,37.0625,37.125,278900,37.4375,37.4375,9.383360862731934
20-11-1997,37.375,37.5,81100,37.6875,37.5,9.399024963378906
21-11-1997,36.75,37.0,148400,37.25,37.125,9.305033683776855
24-11-1997,36.0,36.8125,14300,36.8125,36.0625,9.03873062133789
25-11-1997,35.75,36.1875,7400,36.25,35.75,8.960407257080078
26-11-1997,36.125,36.125,4400,36.5,36.3125,9.101387977600098
28-11-1997,36.25,36.25,13200,36.5,36.25,9.085723876953125
01-12-1997,36.125,36.25,23800,36.5625,36.5625,9.164051055908203
02-12-1997,36.25,36.6875,25100,36.6875,36.375,9.11705207824707
03-12-1997,36.3125,36.625,7000,36.625,36.3125,9.101387977600098
04-12-1997,36.3125,36.3125,111100,36.625,36.5,9.148385047912598
05-12-1997,36.125,36.5,2400,36.5,36.125,9.05439567565918
08-12-1997,36.0625,36.125,10500,36.5,36.125,9.05439567565918
09-12-1997,36.0625,36.0625,3400,36.1875,36.125,9.05439567565918
10-12-1997,35.875,36.0,11300,36.0,36.0,9.023065567016602
11-12-1997,35.5,35.9375,96500,35.9375,35.625,8.92907428741455
12-12-1997,35.5,35.5,2000,35.625,35.625,8.92907428741455
15-12-1997,35.875,35.875,46400,36.25,36.1875,9.070060729980469
16-12-1997,35.9375,36.0,30700,36.25,36.1875,9.070060729980469
17-12-1997,35.875,36.1875,5000,36.25,36.0,9.023065567016602
18-12-1997,36.0,36.1875,16100,36.5625,36.125,9.05439567565918
19-12-1997,34.875,35.75,23500,35.75,35.125,8.803753852844238
22-12-1997,35.0625,35.125,800,35.375,35.125,8.803753852844238
23-12-1997,34.5,35.125,49800,35.25,34.5,8.647103309631348
24-12-1997,34.5,34.5,5800,34.9375,34.5,8.647103309631348
26-12-1997,34.8125,34.875,8000,35.0625,34.8125,8.725428581237793
29-12-1997,35.5625,35.5625,40700,36.5,36.25,9.085723876953125
30-12-1997,35.875,36.125,1400,36.125,35.875,8.99173641204834
31-12-1997,36.0,36.0,3900,36.125,36.0,9.023065567016602
02-01-1998,35.75,35.8125,22000,36.5,36.3125,9.101387977600098
05-01-1998,35.6875,36.125,11600,36.125,35.6875,8.94473934173584
06-01-1998,35.4375,35.5,3400,35.9375,35.5,8.897746086120605
07-01-1998,37.125,37.5,61900,37.875,37.5,9.399024963378906
08-01-1998,38.25,38.25,75900,38.75,38.75,9.71232795715332
09-01-1998,39.125,39.75,54000,39.75,39.1875,9.821983337402344
12-01-1998,38.125,38.25,8600,38.75,38.5,9.649669647216797
13-01-1998,38.5,38.5,7700,38.9375,38.75,9.71232795715332
14-01-1998,38.5,38.8125,26100,39.25,39.25,9.837646484375
15-01-1998,38.75,39.3125,2600,39.3125,38.75,9.71232795715332
16-01-1998,38.875,38.875,5100,39.8125,39.5,9.900307655334473
20-01-1998,38.5625,39.0,13500,39.0,38.75,9.71232795715332
21-01-1998,38.25,38.5,44800,38.625,38.5625,9.66533088684082
22-01-1998,38.6875,38.6875,4300,39.3125,39.3125,9.853310585021973
23-01-1998,39.25,39.8125,3500,39.875,39.4375,9.88464069366455
26-01-1998,39.375,39.75,2800,39.75,39.375,9.868978500366211
27-01-1998,39.3125,39.3125,2800,39.9375,39.75,9.962968826293945
28-01-1998,39.9375,40.0,9200,40.4375,39.9375,10.009963035583496
29-01-1998,40.8125,40.8125,18200,41.875,41.0,10.27626895904541
30-01-1998,42.0625,43.125,61900,43.3125,42.125,10.558237075805664
02-02-1998,41.9375,42.375,10000,42.375,42.0625,10.54257583618164
03-02-1998,42.75,42.75,109500,43.4375,43.1875,10.824546813964844
04-02-1998,43.25,43.3125,22700,44.0,44.0,11.028189659118652
05-02-1998,45.75,46.8125,115500,47.25,46.1875,11.576460838317871
06-02-1998,45.0,46.0,30500,46.0,45.375,11.372822761535645
09-02-1998,43.8125,44.75,12900,44.8125,44.25,11.090851783752441
10-02-1998,45.8125,45.8125,49800,46.5,46.375,11.623461723327637
11-02-1998,47.375,48.0,7800,48.25,47.625,11.936766624450684
12-02-1998,46.875,46.875,2300,47.375,47.3125,11.858438491821289
