Date,Low,Open,Volume,High,Close,Adjusted Close
23-10-1996,17.0,17.0,7996800,17.625,17.4375,12.507784843444824
24-10-1996,17.0,17.4375,1786400,17.4375,17.0,12.193968772888184
25-10-1996,17.0,17.0,631200,17.375,17.1875,12.328459739685059
28-10-1996,17.0,17.5,320000,17.5,17.0,12.193968772888184
29-10-1996,17.0,17.0,498800,17.0625,17.0,12.193968772888184
30-10-1996,17.0,17.0625,705600,17.0625,17.0,12.193968772888184
31-10-1996,17.0,17.0,635200,17.25,17.1875,12.328459739685059
01-11-1996,17.0625,17.0625,512600,17.125,17.0625,12.238800048828125
04-11-1996,16.375,17.0625,494600,17.0625,16.4375,11.790495872497559
05-11-1996,16.0,16.625,714600,16.625,16.1875,11.611166000366211
06-11-1996,15.5,16.1875,529400,16.25,15.9375,11.43184757232666
07-11-1996,15.125,15.6875,297400,15.75,15.4375,11.073199272155762
08-11-1996,14.3125,15.25,527000,15.3125,14.4375,10.355907440185547
11-11-1996,14.0,14.3125,395400,14.8125,14.75,10.580060005187988
12-11-1996,14.625,14.875,454400,15.1875,14.75,10.580060005187988
13-11-1996,14.4375,14.75,713200,14.75,14.5,10.400734901428223
14-11-1996,13.875,14.4375,46000,14.4375,13.875,9.952428817749023
15-11-1996,13.375,13.875,368400,13.875,13.5,9.683445930480957
18-11-1996,13.1875,13.5,122800,13.5,13.1875,9.459294319152832
19-11-1996,13.1875,13.3125,277000,13.5,13.375,9.59378433227539
20-11-1996,12.5,13.375,646400,13.375,12.5625,9.01098346710205
21-11-1996,12.0,12.5,113000,12.5,12.0,8.60750675201416
22-11-1996,12.0,12.0625,107400,12.625,12.375,8.87648868560791
25-11-1996,11.875,12.3125,53200,12.375,11.875,8.51784610748291
26-11-1996,11.875,11.9375,595200,12.125,12.0,8.60750675201416
27-11-1996,11.75,12.0,239400,12.0,11.75,8.42818546295166
29-11-1996,11.5625,11.75,121000,11.75,11.5625,8.293686866760254
02-12-1996,11.0,11.5,193400,11.5,11.0,7.8902130126953125
03-12-1996,10.75,11.0,126000,11.0,10.75,7.710891246795654
04-12-1996,10.6875,10.6875,535400,11.625,11.625,8.338521003723145
05-12-1996,11.625,11.625,168000,12.0,11.8125,8.473012924194336
06-12-1996,11.5625,11.6875,40800,11.6875,11.6875,8.383353233337402
09-12-1996,11.5,11.6875,37800,11.8125,11.5,8.248860359191895
10-12-1996,11.4375,11.5,279600,11.5,11.5,8.248860359191895
11-12-1996,11.25,11.4375,812800,11.5625,11.5,8.248860359191895
12-12-1996,11.625,11.625,484200,12.0,12.0,8.60750675201416
13-12-1996,11.6875,11.875,367600,11.875,11.8125,8.473012924194336
16-12-1996,11.75,11.875,20400,11.875,11.75,8.42818546295166
17-12-1996,11.6875,11.8125,717400,12.0625,11.875,8.51784610748291
18-12-1996,11.8125,11.8125,206000,12.375,12.1875,8.741999626159668
19-12-1996,12.125,12.25,502400,12.9375,12.5625,9.01098346710205
20-12-1996,12.375,12.625,23600,12.6875,12.5,8.966157913208008
23-12-1996,12.1875,12.5,22200,12.5,12.1875,8.741999626159668
24-12-1996,12.1875,12.1875,40600,12.25,12.1875,8.741999626159668
26-12-1996,12.125,12.1875,363800,13.125,12.9375,9.279969215393066
27-12-1996,12.9375,13.0,11400,13.0625,13.0625,9.369626998901367
30-12-1996,12.875,13.0,49000,13.0,12.875,9.235137939453125
31-12-1996,12.875,12.875,96200,13.0625,12.875,9.235137939453125
02-01-1997,12.6875,12.8125,20600,13.0625,13.0625,9.369626998901367
03-01-1997,13.125,13.125,239200,13.5625,13.5625,9.728275299072266
06-01-1997,13.5,13.5625,141200,13.625,13.5625,9.728275299072266
07-01-1997,13.5,13.5,49600,13.5625,13.5,9.683445930480957
08-01-1997,13.25,13.5625,75800,13.5625,13.375,9.59378433227539
09-01-1997,13.375,13.5,98600,13.5,13.5,9.683445930480957
10-01-1997,13.4375,13.4375,74800,13.5,13.5,9.683445930480957
13-01-1997,13.4375,13.5,6800,13.5,13.4375,9.638616561889648
14-01-1997,13.375,13.4375,38200,13.4375,13.375,9.59378433227539
15-01-1997,13.375,13.4375,272200,13.5,13.5,9.683445930480957
16-01-1997,13.25,13.5,46200,13.5,13.375,9.59378433227539
17-01-1997,13.25,13.25,17800,13.25,13.25,9.504122734069824
20-01-1997,13.25,13.3125,78800,13.375,13.375,9.59378433227539
21-01-1997,13.375,13.375,17600,13.5,13.5,9.683445930480957
22-01-1997,13.4375,13.4375,74600,14.1875,14.0625,10.086921691894531
23-01-1997,13.875,14.0,24800,14.125,14.0,10.042089462280273
