Date,Low,Open,Volume,High,Close,Adjusted Close
28-06-1990,9.96875,10.09375,176400,10.09375,9.96875,2.360585927963257
29-06-1990,10.0,10.03125,69200,10.0625,10.0625,2.3827860355377197
02-07-1990,10.0,10.0,62000,10.03125,10.03125,2.3753879070281982
03-07-1990,10.03125,10.03125,29600,10.0625,10.0625,2.3827860355377197
05-07-1990,9.65625,9.71875,31200,9.71875,9.6875,2.2939870357513428
06-07-1990,9.75,9.75,21200,9.75,9.75,2.3087873458862305
09-07-1990,9.8125,9.8125,19600,9.8125,9.8125,2.3235867023468018
10-07-1990,9.78125,9.78125,6400,9.875,9.875,2.338386058807373
11-07-1990,9.875,9.875,22400,9.9375,9.9375,2.353187084197998
12-07-1990,9.90625,9.90625,3200,9.96875,9.96875,2.360585927963257
13-07-1990,10.0625,10.0625,5200,10.125,10.125,2.3975863456726074
16-07-1990,10.15625,10.15625,8000,10.25,10.25,2.427185535430908
17-07-1990,10.25,10.25,16800,10.4375,10.4375,2.4715871810913086
18-07-1990,10.3125,10.375,6000,10.375,10.3125,2.441986322402954
19-07-1990,10.3125,10.3125,18000,10.34375,10.34375,2.4493870735168457
20-07-1990,10.3125,10.34375,1600,10.34375,10.3125,2.441986322402954
23-07-1990,10.28125,10.28125,8000,10.28125,10.28125,2.434587240219116
24-07-1990,10.3125,10.3125,800,10.3125,10.3125,2.441986322402954
25-07-1990,10.34375,10.34375,4400,10.375,10.375,2.4567856788635254
26-07-1990,10.3125,10.3125,800,10.3125,10.3125,2.441986322402954
27-07-1990,10.25,10.25,800,10.25,10.25,2.427185535430908
30-07-1990,10.28125,10.28125,400,10.28125,10.28125,2.434587240219116
31-07-1990,10.34375,10.34375,12400,10.4375,10.4375,2.4715871810913086
01-08-1990,10.375,10.4375,3600,10.4375,10.4375,2.4715871810913086
02-08-1990,10.3125,10.4375,12800,10.4375,10.3125,2.441986322402954
03-08-1990,10.34375,10.40625,12800,10.4375,10.34375,2.4493870735168457
06-08-1990,9.875,10.3125,41200,10.3125,9.9375,2.353187084197998
07-08-1990,9.9375,9.9375,800,9.9375,9.9375,2.353187084197998
08-08-1990,9.6875,9.75,75200,9.75,9.6875,2.2939870357513428
09-08-1990,9.8125,9.8125,12000,9.8125,9.8125,2.3235867023468018
10-08-1990,9.90625,9.90625,17600,9.96875,9.90625,2.3457868099212646
13-08-1990,9.96875,9.96875,22800,10.15625,10.15625,2.404987096786499
14-08-1990,10.21875,10.3125,82800,10.375,10.3125,2.441986322402954
15-08-1990,10.25,10.34375,5200,10.34375,10.28125,2.434587240219116
16-08-1990,10.1875,10.1875,20800,10.25,10.25,2.427185535430908
17-08-1990,9.875,10.25,55200,10.25,10.0,2.3679873943328857
20-08-1990,9.625,9.6875,9200,9.6875,9.6875,2.2939870357513428
21-08-1990,9.375,9.4375,8800,9.4375,9.375,2.219987154006958
22-08-1990,9.3125,9.3125,800,9.3125,9.3125,2.2051873207092285
23-08-1990,9.15625,9.21875,7200,9.21875,9.1875,2.1755874156951904
24-08-1990,9.1875,9.1875,4800,9.1875,9.1875,2.1755874156951904
