Date,Low,Open,Volume,High,Close,Adjusted Close
16-10-1995,5.75,5.75,62000,5.8125,5.8125,2.1547963619232178
17-10-1995,5.8125,5.8125,53200,5.8125,5.8125,2.1547963619232178
18-10-1995,5.78125,5.78125,72000,5.84375,5.8125,2.1547963619232178
19-10-1995,5.8125,5.84375,5200,5.84375,5.8125,2.1547963619232178
20-10-1995,5.65625,5.71875,16400,5.71875,5.65625,2.0968713760375977
23-10-1995,5.25,5.46875,34000,5.46875,5.25,1.9462683200836182
24-10-1995,5.125,5.1875,50400,5.34375,5.34375,1.9810236692428589
25-10-1995,5.21875,5.3125,65600,5.3125,5.21875,1.934682846069336
26-10-1995,5.1875,5.28125,63200,5.28125,5.1875,1.9230976104736328
27-10-1995,5.125,5.125,145200,5.40625,5.40625,2.0041935443878174
30-10-1995,5.3125,5.46875,65200,5.5,5.40625,2.0041935443878174
31-10-1995,5.59375,5.65625,88400,5.75,5.625,2.085287570953369
01-11-1995,5.5625,5.65625,45200,5.65625,5.59375,2.073702812194824
02-11-1995,5.5625,5.5625,13200,5.6875,5.6875,2.1084558963775635
03-11-1995,5.6875,5.71875,35200,5.71875,5.71875,2.1200406551361084
06-11-1995,5.65625,5.65625,110000,5.75,5.75,2.1316263675689697
07-11-1995,5.625,5.625,16800,5.6875,5.6875,2.1084558963775635
08-11-1995,5.65625,5.65625,33600,5.65625,5.65625,2.0968713760375977
09-11-1995,5.59375,5.6875,12000,5.6875,5.59375,2.073702812194824
10-11-1995,5.5625,5.5625,11200,5.59375,5.59375,2.073702812194824
13-11-1995,5.59375,5.625,14000,5.71875,5.71875,2.1200406551361084
14-11-1995,5.65625,5.65625,12800,5.71875,5.71875,2.1200406551361084
15-11-1995,5.625,5.65625,5600,5.65625,5.625,2.085287570953369
16-11-1995,5.6875,5.71875,4800,5.71875,5.6875,2.1084558963775635
17-11-1995,5.6875,5.6875,11200,5.71875,5.6875,2.1084558963775635
20-11-1995,5.6875,5.6875,10000,5.75,5.71875,2.1200406551361084
21-11-1995,5.71875,5.71875,0,5.71875,5.71875,2.1200406551361084
22-11-1995,5.75,5.75,1600,5.75,5.75,2.1316263675689697
24-11-1995,5.78125,5.78125,400,5.78125,5.78125,2.143211603164673
27-11-1995,5.78125,5.78125,8000,5.8125,5.8125,2.1547963619232178
28-11-1995,5.75,5.75,6800,5.78125,5.78125,2.143211603164673
29-11-1995,5.71875,5.71875,9200,5.71875,5.71875,2.1200406551361084
30-11-1995,5.71875,5.75,18800,5.75,5.75,2.1316263675689697
01-12-1995,5.75,5.75,25200,5.84375,5.8125,2.1547963619232178
04-12-1995,5.84375,5.875,5600,5.875,5.875,2.1779658794403076
05-12-1995,5.875,5.9375,16400,5.9375,5.875,2.1779658794403076
06-12-1995,5.875,5.90625,42400,5.9375,5.90625,2.1895508766174316
07-12-1995,5.875,5.875,4800,5.875,5.875,2.1779658794403076
08-12-1995,5.84375,5.875,7600,5.875,5.875,2.1779658794403076
11-12-1995,5.8125,5.84375,2800,5.84375,5.8125,2.1547963619232178
