Date,Low,Open,Volume,High,Close,Adjusted Close
18-11-1996,5.59375,5.71875,121200,5.71875,5.71875,2.6342504024505615
19-11-1996,5.53125,5.65625,238800,5.65625,5.65625,2.605461597442627
20-11-1996,5.59375,5.59375,14000,5.59375,5.59375,2.5766713619232178
21-11-1996,5.46875,5.46875,5600,5.59375,5.46875,2.519092082977295
22-11-1996,5.5,5.5,108400,5.5625,5.5,2.53348708152771
25-11-1996,5.40625,5.5,6000,5.625,5.5,2.53348708152771
26-11-1996,5.4375,5.5625,4800,5.5625,5.5625,2.562276601791382
27-11-1996,5.53125,5.53125,11600,5.53125,5.53125,2.547881841659546
29-11-1996,5.5625,5.5625,400,5.5625,5.5625,2.562276601791382
02-12-1996,5.4375,5.5,5200,5.5,5.5,2.53348708152771
03-12-1996,5.34375,5.4375,15200,5.5625,5.4375,2.50469708442688
04-12-1996,5.34375,5.375,4800,5.5,5.375,2.475907325744629
05-12-1996,5.21875,5.21875,13600,5.21875,5.21875,2.403933525085449
06-12-1996,5.25,5.25,9200,5.46875,5.25,2.4183285236358643
09-12-1996,5.09375,5.1875,800,5.1875,5.1875,2.389538526535034
10-12-1996,5.28125,5.28125,1600,5.28125,5.28125,2.4327235221862793
11-12-1996,5.09375,5.09375,3600,5.21875,5.09375,2.3463542461395264
12-12-1996,5.09375,5.09375,1200,5.09375,5.09375,2.3463542461395264
13-12-1996,5.03125,5.25,10000,5.25,5.25,2.4183285236358643
16-12-1996,5.1875,5.1875,2800,5.1875,5.1875,2.389538526535034
17-12-1996,5.0,5.0625,9600,5.101562976837158,5.0625,2.3319597244262695
18-12-1996,5.0,5.125,7200,5.125,5.125,2.3607490062713623
19-12-1996,4.96875,5.3125,33200,5.3125,5.3125,2.447118043899536
20-12-1996,5.0625,5.1875,3600,5.3125,5.1875,2.389538526535034
23-12-1996,5.15625,5.15625,166400,5.34375,5.15625,2.3751440048217773
24-12-1996,5.21875,5.21875,1600,5.3125,5.21875,2.403933525085449
26-12-1996,5.28125,5.375,4000,5.375,5.375,2.475907325744629
27-12-1996,5.4375,5.4375,3200,5.53125,5.4375,2.50469708442688
30-12-1996,5.34375,5.46875,6800,5.46875,5.46875,2.519092082977295
31-12-1996,5.3125,5.40625,2800,5.40625,5.40625,2.490302801132202
02-01-1997,5.3125,5.3125,4400,5.34375,5.3125,2.447118043899536
03-01-1997,5.3125,5.34375,26800,5.34375,5.34375,2.461512565612793
06-01-1997,5.34375,5.34375,400,5.34375,5.34375,2.461512565612793
07-01-1997,5.09375,5.21875,9200,5.21875,5.21875,2.403933525085449
08-01-1997,5.03125,5.03125,3200,5.1875,5.03125,2.3175642490386963
09-01-1997,5.1875,5.1875,4000,5.375,5.1875,2.389538526535034
10-01-1997,5.109375,5.15625,165200,5.15625,5.15625,2.3751440048217773
13-01-1997,5.03125,5.03125,15200,5.15625,5.03125,2.3175642490386963
14-01-1997,5.03125,5.1875,6000,5.1875,5.1875,2.389538526535034
15-01-1997,5.0625,5.1875,10000,5.1875,5.1875,2.389538526535034
16-01-1997,5.1875,5.3125,35200,5.34375,5.3125,2.447118043899536
17-01-1997,5.03125,5.3125,4000,5.3125,5.3125,2.447118043899536
20-01-1997,4.96875,5.09375,12800,5.1875,5.09375,2.3463542461395264
21-01-1997,5.09375,5.09375,43600,5.25,5.09375,2.3463542461395264
22-01-1997,5.09375,5.09375,0,5.09375,5.09375,2.3463542461395264
23-01-1997,5.28125,5.28125,6000,5.5625,5.28125,2.4327235221862793
24-01-1997,5.53125,5.625,18400,5.8125,5.625,2.5910661220550537
27-01-1997,5.625,5.625,5600,5.65625,5.625,2.5910661220550537
28-01-1997,5.46875,5.46875,346000,5.59375,5.46875,2.519092082977295
29-01-1997,5.4375,5.5625,4400,5.5625,5.5625,2.562276601791382
30-01-1997,5.59375,5.71875,1111200,5.71875,5.71875,2.6342504024505615
31-01-1997,5.78125,5.8125,580000,5.8125,5.8125,2.6774349212646484
03-02-1997,5.6875,5.8125,555200,5.8125,5.8125,2.6774349212646484
04-02-1997,5.65625,5.75,959600,5.8125,5.75,2.6486451625823975
05-02-1997,5.65625,5.65625,1014400,5.75,5.65625,2.605461597442627
06-02-1997,5.625,5.71875,31600,5.75,5.71875,2.6342504024505615
07-02-1997,5.6875,5.75,40800,5.84375,5.75,2.6486451625823975
10-02-1997,5.90625,6.03125,8800,6.03125,6.03125,2.778198719024658
11-02-1997,5.90625,5.90625,12400,6.0,5.90625,2.7206192016601562
12-02-1997,5.71875,5.90625,52000,6.0,5.90625,2.7206192016601562
13-02-1997,5.75,5.90625,22800,5.90625,5.90625,2.7206192016601562
14-02-1997,5.90625,5.96875,12400,6.0,5.96875,2.7494091987609863
18-02-1997,6.0,6.0,27200,6.1875,6.0,2.7638039588928223
19-02-1997,5.9375,6.09375,24800,6.125,6.09375,2.80698823928833
20-02-1997,5.9375,6.03125,30800,6.09375,6.03125,2.778198719024658
21-02-1997,5.8125,6.0,29600,6.03125,6.0,2.7638039588928223
24-02-1997,5.96875,5.96875,18800,6.09375,5.96875,2.7494091987609863
25-02-1997,6.09375,6.21875,239200,6.28125,6.21875,2.8645682334899902
26-02-1997,5.9375,6.0625,24400,6.125,6.0625,2.792593479156494
27-02-1997,5.90625,6.0,112800,6.0,6.0,2.7638039588928223
28-02-1997,5.78125,5.8125,148800,5.96875,5.8125,2.6774349212646484
03-03-1997,5.65625,5.6875,5600,5.78125,5.6875,2.6198558807373047
04-03-1997,5.75,6.0,55200,7.0,6.0,2.7638039588928223
05-03-1997,5.75,5.875,146400,5.875,5.875,2.706224203109741
06-03-1997,5.9375,5.9375,46000,5.96875,5.9375,2.7350144386291504
07-03-1997,5.9375,5.9375,6800,6.03125,5.9375,2.7350144386291504
10-03-1997,6.125,6.28125,135600,6.28125,6.28125,2.893357038497925
11-03-1997,6.09375,6.1875,433200,6.21875,6.1875,2.850172996520996
12-03-1997,5.875,5.875,528800,5.96875,5.875,2.706224203109741
13-03-1997,5.8125,5.9375,84800,5.96875,5.9375,2.7350144386291504
14-03-1997,5.8125,5.9375,101200,5.96875,5.9375,2.7350144386291504
17-03-1997,5.625,5.75,106000,5.902344226837158,5.75,2.6486451625823975
18-03-1997,5.589844226837158,5.6875,25600,5.6875,5.6875,2.6198558807373047
19-03-1997,5.625,5.6875,76000,5.71875,5.6875,2.6198558807373047
20-03-1997,5.527344226837158,5.589844226837158,69600,5.652344226837158,5.589844226837158,2.5748720169067383
21-03-1997,5.652344226837158,5.8125,53200,5.8125,5.8125,2.6774349212646484
24-03-1997,5.589844226837158,5.589844226837158,7200,5.6875,5.589844226837158,2.5748720169067383
25-03-1997,5.714844226837158,5.75,19600,5.8125,5.75,2.6486451625823975
26-03-1997,5.6875,5.8125,6800,5.839844226837158,5.8125,2.6774349212646484
27-03-1997,5.8125,5.902344226837158,5600,5.902344226837158,5.902344226837158,2.718820333480835
31-03-1997,5.6875,5.84375,71200,5.875,5.84375,2.6918301582336426
01-04-1997,5.625,5.6875,5600,5.6875,5.6875,2.6198558807373047
02-04-1997,5.5625,5.652344226837158,5200,5.652344226837158,5.652344226837158,2.6036617755889893
03-04-1997,5.5,5.5625,76400,5.65625,5.5625,2.562276601791382
04-04-1997,5.4375,5.53125,5600,5.5625,5.53125,2.547881841659546
07-04-1997,5.5625,5.6875,98800,5.6875,5.6875,2.6198558807373047
08-04-1997,5.53125,5.65625,134400,5.71875,5.65625,2.605461597442627
09-04-1997,5.59375,5.6875,33600,5.6875,5.6875,2.6198558807373047
10-04-1997,5.5625,5.6875,30800,6.648437976837158,5.6875,2.6198558807373047
11-04-1997,5.5625,5.65625,50400,5.71875,5.65625,2.605461597442627
14-04-1997,5.46875,5.53125,31600,5.625,5.53125,2.547881841659546
15-04-1997,5.5,5.59375,8800,5.6875,5.59375,2.5766713619232178
16-04-1997,5.5625,5.71875,56800,5.71875,5.71875,2.6342504024505615
17-04-1997,5.5625,5.65625,4800,5.75,5.65625,2.605461597442627
18-04-1997,5.34375,5.46875,6400,5.5,5.46875,2.519092082977295
21-04-1997,5.34375,5.40625,8000,5.59375,5.40625,2.490302801132202
22-04-1997,5.34375,5.46875,7200,5.46875,5.46875,2.519092082977295
23-04-1997,5.34375,5.40625,9200,5.40625,5.40625,2.490302801132202
24-04-1997,5.3125,5.4375,70000,5.5,5.4375,2.50469708442688
25-04-1997,5.40625,5.4375,5200,5.4375,5.4375,2.50469708442688
28-04-1997,5.28125,5.40625,240400,5.40625,5.40625,2.490302801132202
29-04-1997,5.40625,5.625,1663200,5.6875,5.625,2.5910661220550537
30-04-1997,5.53125,5.59375,1121200,5.6875,5.59375,2.5766713619232178
01-05-1997,5.59375,5.59375,22400,5.71875,5.59375,2.5766713619232178
