Date,Low,Open,Volume,High,Close,Adjusted Close
13-02-2009,165.0,165.0,2,165.0,165.0,150.78555297851562
17-02-2009,133.0,148.0,249,148.0,133.0,121.54231262207031
18-02-2009,126.0,126.0,9,126.0,126.0,115.14534759521484
19-02-2009,118.0,123.0,17,123.0,120.0,109.6622314453125
20-02-2009,115.0,115.0,75,115.0,115.0,105.09296417236328
23-02-2009,113.0,113.0,33,113.0,113.0,103.26526641845703
24-02-2009,115.0,116.0,34,118.0,118.0,107.83452606201172
25-02-2009,121.0,121.0,187,121.0,121.0,110.57608032226562
26-02-2009,122.0,124.0,104,124.0,122.0,111.48992919921875
27-02-2009,120.0,120.0,190,121.0,120.0,109.6622314453125
02-03-2009,105.0,113.0,134,113.0,105.0,95.95445251464844
03-03-2009,106.0,109.0,153,109.0,107.0,97.78215789794922
04-03-2009,108.0,118.0,34,120.0,108.0,98.69600677490234
05-03-2009,95.0,105.0,90,105.0,95.0,86.81592559814453
06-03-2009,95.0,95.0,32,95.0,95.0,86.81592559814453
09-03-2009,86.0,87.0,5,87.0,87.0,79.50511932373047
10-03-2009,100.0,107.0,96,109.0,100.0,91.38520050048828
11-03-2009,109.0,109.0,12,110.0,110.0,100.5237045288086
12-03-2009,114.0,114.0,35,118.0,118.0,107.83452606201172
13-03-2009,112.0,120.0,69,121.0,121.0,110.57608032226562
16-03-2009,121.0,121.0,4,121.0,121.0,110.57608032226562
17-03-2009,121.0,121.0,0,121.0,121.0,110.57608032226562
18-03-2009,139.0,139.0,10,158.0,158.0,144.3886260986328
19-03-2009,164.0,164.0,10,167.0,167.0,152.61325073242188
20-03-2009,164.0,164.0,100,164.0,164.0,149.87171936035156
23-03-2009,181.0,181.0,93,182.0,182.0,166.321044921875
24-03-2009,187.0,187.0,5,187.0,187.0,170.8903045654297
25-03-2009,187.0,187.0,0,187.0,187.0,170.8903045654297
26-03-2009,187.0,187.0,0,187.0,187.0,170.8903045654297
27-03-2009,170.0,179.0,16,179.0,170.0,155.3548126220703
30-03-2009,162.0,162.0,4,162.0,162.0,148.0440216064453
31-03-2009,157.0,157.0,1,157.0,157.0,143.47474670410156
01-04-2009,170.0,170.0,24,170.0,170.0,155.3548126220703
02-04-2009,180.0,180.0,407,189.0,185.0,169.06260681152344
03-04-2009,197.0,198.0,171,201.0,199.0,181.8565216064453
06-04-2009,196.0,196.0,15,196.0,196.0,179.11497497558594
07-04-2009,200.0,200.0,10,205.0,205.0,187.3396453857422
08-04-2009,206.0,206.0,35,207.0,206.0,188.25350952148438
09-04-2009,206.0,206.0,0,206.0,206.0,188.25350952148438
13-04-2009,220.0,220.0,9,220.0,220.0,201.0474090576172
14-04-2009,225.0,225.0,2,225.0,225.0,205.61669921875
15-04-2009,228.0,228.0,3,228.0,228.0,208.3582305908203
16-04-2009,235.0,235.0,21,240.0,238.0,217.4967498779297
17-04-2009,238.0,238.0,0,238.0,238.0,217.4967498779297
20-04-2009,238.0,238.0,0,238.0,238.0,217.4967498779297
21-04-2009,215.0,215.0,20,215.0,215.0,196.47817993164062
22-04-2009,215.0,215.0,0,215.0,215.0,196.47817993164062
23-04-2009,229.0,230.0,19,230.0,229.0,209.27210998535156
24-04-2009,235.0,235.0,22,235.0,235.0,214.7552032470703
27-04-2009,240.0,240.0,20,240.0,240.0,219.324462890625
28-04-2009,235.0,235.0,8,235.0,235.0,214.7552032470703
29-04-2009,235.0,235.0,0,235.0,235.0,214.7552032470703
30-04-2009,235.0,235.0,0,235.0,235.0,214.7552032470703
01-05-2009,235.0,235.0,0,235.0,235.0,214.7552032470703
04-05-2009,258.0,258.0,25,258.0,258.0,235.7738037109375
05-05-2009,251.0,255.0,22,255.0,251.0,229.3768310546875
06-05-2009,275.0,275.0,39,276.0,276.0,252.22312927246094
07-05-2009,260.0,260.0,9,260.0,260.0,237.6015167236328
08-05-2009,278.0,280.0,58,282.0,278.0,254.05084228515625
11-05-2009,278.0,278.0,0,278.0,278.0,254.05084228515625
12-05-2009,278.0,278.0,0,278.0,278.0,254.05084228515625
13-05-2009,255.0,255.0,15,255.0,255.0,233.0322265625
14-05-2009,250.0,250.0,5,250.0,250.0,228.4629669189453
15-05-2009,246.0,246.0,7,246.0,246.0,224.8075714111328
18-05-2009,235.0,235.0,49,235.0,235.0,214.7552032470703
19-05-2009,245.0,245.0,10,245.0,245.0,223.89370727539062
20-05-2009,255.0,255.0,8,255.0,255.0,233.0322265625
21-05-2009,255.0,255.0,0,255.0,255.0,233.0322265625
22-05-2009,250.0,250.0,28,250.0,250.0,228.4629669189453
26-05-2009,250.0,250.0,7,250.0,250.0,228.4629669189453
27-05-2009,252.0,252.0,126,252.0,252.0,230.2906951904297
28-05-2009,250.0,250.0,19,256.0,256.0,233.94610595703125
29-05-2009,255.0,255.0,17,255.0,255.0,233.0322265625
01-06-2009,260.0,260.0,42,274.0,265.0,242.1707763671875
02-06-2009,274.0,274.0,85,285.0,285.0,260.44781494140625
03-06-2009,274.0,274.0,15,275.0,274.0,250.39544677734375
04-06-2009,275.0,275.0,14,275.0,275.0,251.3092498779297
05-06-2009,275.0,275.0,0,275.0,275.0,251.3092498779297
08-06-2009,284.0,284.0,8,284.0,284.0,259.5339050292969
09-06-2009,274.0,280.0,28,288.0,275.0,251.3092498779297
10-06-2009,266.0,284.0,45,284.0,266.0,243.08462524414062
11-06-2009,277.0,277.0,3,277.0,277.0,253.13697814941406
12-06-2009,275.0,275.0,46,277.0,277.0,253.13697814941406
15-06-2009,270.0,270.0,5,270.0,270.0,246.74002075195312
16-06-2009,270.0,270.0,0,270.0,270.0,246.74002075195312
17-06-2009,235.0,255.0,50,255.0,239.0,218.41061401367188
18-06-2009,250.0,254.0,11,260.0,260.0,237.6015167236328
19-06-2009,255.0,255.0,15,262.0,262.0,239.42922973632812
22-06-2009,247.0,254.0,13,254.0,247.0,225.72140502929688
23-06-2009,240.0,247.0,9,247.0,240.0,219.324462890625
24-06-2009,247.0,247.0,3,247.0,247.0,225.72140502929688
25-06-2009,245.0,245.0,7,245.0,245.0,223.89370727539062
26-06-2009,241.0,241.0,650,241.0,241.0,220.23831176757812
29-06-2009,245.0,255.0,46,255.0,245.0,223.89370727539062
30-06-2009,245.0,245.0,5,245.0,245.0,223.89370727539062
01-07-2009,245.0,245.0,0,245.0,245.0,223.89370727539062
02-07-2009,245.0,245.0,0,245.0,245.0,223.89370727539062
06-07-2009,235.0,235.0,8,235.0,235.0,214.7552032470703
07-07-2009,239.0,239.0,6,239.0,239.0,218.41061401367188
08-07-2009,240.0,240.0,2,240.0,240.0,219.324462890625
09-07-2009,234.0,235.0,20,235.0,234.0,213.84133911132812
10-07-2009,225.0,225.0,17,225.0,225.0,205.61669921875
13-07-2009,230.0,230.0,21,240.0,230.0,210.18592834472656
14-07-2009,240.0,240.0,19,240.0,240.0,219.324462890625
15-07-2009,246.0,246.0,63,260.0,260.0,237.6015167236328
16-07-2009,260.0,260.0,0,260.0,260.0,237.6015167236328
17-07-2009,260.0,260.0,0,260.0,260.0,237.6015167236328
20-07-2009,265.0,265.0,6,265.0,265.0,242.1707763671875
21-07-2009,265.0,268.0,13,268.0,265.0,242.1707763671875
22-07-2009,270.0,270.0,13,270.0,270.0,246.74002075195312
23-07-2009,275.0,275.0,48,275.0,275.0,251.3092498779297
24-07-2009,275.0,275.0,0,275.0,275.0,251.3092498779297
27-07-2009,281.0,281.0,63,289.0,281.0,256.79241943359375
28-07-2009,272.0,272.0,9,272.0,272.0,248.56771850585938
29-07-2009,275.0,286.0,16,286.0,275.0,251.3092498779297
30-07-2009,283.0,283.0,16,285.0,285.0,260.44781494140625
31-07-2009,285.0,285.0,0,285.0,285.0,260.44781494140625
03-08-2009,312.0,312.0,27,312.0,312.0,285.121826171875
04-08-2009,310.0,310.0,6,315.0,315.0,287.86334228515625
05-08-2009,325.0,325.0,9,325.0,325.0,297.00189208984375
06-08-2009,343.0,343.0,19,343.0,343.0,313.4512023925781
07-08-2009,338.0,344.0,175,344.0,338.0,308.8819274902344
10-08-2009,330.0,330.0,22,330.0,330.0,301.57110595703125
11-08-2009,330.0,330.0,0,330.0,330.0,301.57110595703125
12-08-2009,330.0,330.0,0,330.0,330.0,301.57110595703125
13-08-2009,340.0,350.0,120,350.0,345.0,315.2789001464844
14-08-2009,330.0,340.0,25,340.0,330.0,301.57110595703125
17-08-2009,315.0,317.0,22,317.0,315.0,287.86334228515625
18-08-2009,315.0,315.0,0,315.0,315.0,287.86334228515625
19-08-2009,315.0,315.0,0,315.0,315.0,287.86334228515625
20-08-2009,330.0,330.0,7,330.0,330.0,301.57110595703125
21-08-2009,340.0,341.0,3,341.0,340.0,310.7096252441406
24-08-2009,360.0,360.0,18063,368.0,360.0,328.9866943359375
25-08-2009,358.0,361.0,9,361.0,358.0,327.15899658203125
26-08-2009,370.0,370.0,2,370.0,370.0,338.1252136230469
27-08-2009,370.0,370.0,0,370.0,370.0,338.1252136230469
28-08-2009,370.0,370.0,0,370.0,370.0,338.1252136230469
31-08-2009,370.0,370.0,0,370.0,370.0,338.1252136230469
01-09-2009,341.0,344.0,5515,360.0,341.0,311.6235046386719
02-09-2009,338.0,345.0,16,345.0,338.0,308.8819274902344
03-09-2009,345.0,347.0,21,350.0,350.0,319.84820556640625
04-09-2009,350.0,350.0,0,350.0,350.0,319.84820556640625
08-09-2009,350.0,350.0,0,350.0,350.0,319.84820556640625
09-09-2009,370.0,379.0,103,380.0,380.0,347.2637023925781
10-09-2009,375.0,375.0,8,375.0,375.0,342.6944885253906
11-09-2009,380.0,380.0,20,380.0,380.0,347.2637023925781
14-09-2009,380.0,380.0,0,380.0,380.0,347.2637023925781
15-09-2009,380.0,380.0,0,380.0,380.0,347.2637023925781
16-09-2009,380.0,380.0,45,396.0,396.0,361.8853759765625
17-09-2009,383.0,390.0,35,390.0,387.0,353.66070556640625
18-09-2009,382.0,392.0,141,392.0,390.0,356.4022216796875
21-09-2009,369.0,369.0,14,369.0,369.0,337.21136474609375
22-09-2009,358.0,370.0,8,370.0,358.0,327.15899658203125
23-09-2009,358.0,358.0,0,358.0,358.0,327.15899658203125
24-09-2009,365.0,365.0,3,365.0,365.0,333.5559387207031
25-09-2009,378.0,378.0,5,379.0,379.0,346.3498840332031
28-09-2009,379.0,379.0,0,379.0,379.0,346.3498840332031
29-09-2009,395.0,395.0,246,400.0,400.0,365.5408020019531
30-09-2009,400.0,400.0,0,400.0,400.0,365.5408020019531
01-10-2009,380.0,380.0,5,380.0,380.0,347.2637023925781
02-10-2009,380.0,380.0,0,380.0,380.0,347.2637023925781
05-10-2009,374.0,374.0,50,375.0,375.0,342.6944885253906
06-10-2009,375.0,375.0,0,375.0,375.0,342.6944885253906
07-10-2009,384.0,384.0,3,384.0,384.0,350.91912841796875
08-10-2009,392.0,392.0,134,392.0,392.0,358.2299499511719
09-10-2009,392.0,392.0,0,392.0,392.0,358.2299499511719
12-10-2009,396.0,396.0,20,400.0,400.0,365.5408020019531
13-10-2009,395.0,400.0,12,400.0,400.0,365.5408020019531
14-10-2009,402.0,402.0,69,419.0,405.0,370.1100158691406
15-10-2009,406.0,406.0,25,406.0,406.0,371.0238952636719
16-10-2009,406.0,406.0,0,406.0,406.0,371.0238952636719
19-10-2009,405.0,405.0,10,405.0,405.0,370.1100158691406
20-10-2009,400.0,400.0,35,400.0,400.0,365.5408020019531
21-10-2009,400.0,400.0,0,400.0,400.0,365.5408020019531
22-10-2009,400.0,400.0,0,400.0,400.0,365.5408020019531
23-10-2009,365.0,378.0,13,385.0,365.0,333.5559387207031
26-10-2009,355.0,358.0,127,360.0,355.0,324.4174499511719
27-10-2009,342.0,350.0,9,350.0,342.0,312.537353515625
28-10-2009,334.0,334.0,12,334.0,334.0,305.22650146484375
29-10-2009,343.0,343.0,4,343.0,343.0,313.4512023925781
30-10-2009,343.0,343.0,35,343.0,343.0,313.4512023925781
02-11-2009,335.0,335.0,37,335.0,335.0,306.140380859375
03-11-2009,330.0,330.0,11,330.0,330.0,301.57110595703125
04-11-2009,344.0,344.0,3,344.0,344.0,314.3650817871094
05-11-2009,349.0,349.0,9,350.0,349.0,318.934326171875
06-11-2009,349.0,349.0,0,349.0,349.0,318.934326171875
09-11-2009,370.0,370.0,4,370.0,370.0,338.1252136230469
10-11-2009,368.0,368.0,65,369.0,369.0,337.21136474609375
11-11-2009,369.0,369.0,0,369.0,369.0,337.21136474609375
12-11-2009,365.0,370.0,143,370.0,365.0,333.5559387207031
13-11-2009,368.0,368.0,8,375.0,375.0,342.6944885253906
16-11-2009,379.0,379.0,3,379.0,379.0,346.3498840332031
17-11-2009,367.0,367.0,20,368.0,368.0,336.2974853515625
18-11-2009,363.0,363.0,6,363.0,363.0,331.7282409667969
19-11-2009,351.0,351.0,4,351.0,351.0,320.76202392578125
20-11-2009,344.0,365.0,147,365.0,344.0,314.3650817871094
