Date,Low,Open,Volume,High,Close,Adjusted Close
15-04-1994,19.0,19.25,549900,19.625,19.5,2.5066699981689453
18-04-1994,19.25,19.625,21100,19.625,19.25,2.4745330810546875
19-04-1994,19.0,19.25,47600,19.25,19.25,2.4745330810546875
20-04-1994,19.0,19.0,11600,19.125,19.125,2.4584646224975586
21-04-1994,19.0,19.125,16300,19.125,19.0,2.442396879196167
22-04-1994,19.0,19.0,13400,19.125,19.0,2.442396879196167
25-04-1994,19.0,19.0,21700,19.125,19.125,2.4584646224975586
26-04-1994,19.0,19.0,22500,19.125,19.0,2.442396879196167
28-04-1994,19.0,19.125,15300,19.125,19.0,2.442396879196167
29-04-1994,19.0,19.0,15300,19.125,19.0,2.442396879196167
02-05-1994,19.0,19.0,12900,19.125,19.0,2.442396879196167
03-05-1994,19.0,19.125,42800,19.125,19.0,2.442396879196167
04-05-1994,19.0,19.125,6400,19.125,19.0,2.442396879196167
05-05-1994,19.0,19.0,13900,19.125,19.125,2.4584646224975586
06-05-1994,19.0,19.0,56200,19.125,19.0,2.442396879196167
09-05-1994,18.5,19.0,53100,19.0,18.875,2.4263291358947754
10-05-1994,18.75,18.875,1100,18.875,18.75,2.410261392593384
11-05-1994,18.75,18.75,1000,18.75,18.75,2.410261392593384
12-05-1994,18.125,18.5,4300,18.625,18.125,2.3299195766448975
13-05-1994,17.125,18.0,61400,18.0,17.75,2.2817137241363525
16-05-1994,17.875,17.875,11400,18.5,18.0,2.313849687576294
17-05-1994,18.0,18.25,5200,18.375,18.25,2.345987558364868
18-05-1994,18.25,18.25,3900,18.5,18.5,2.378124237060547
19-05-1994,18.375,18.5,4900,18.5,18.375,2.362055778503418
20-05-1994,18.0,18.25,16600,18.5,18.5,2.378124237060547
23-05-1994,18.25,18.5,2400,18.5,18.5,2.378124237060547
24-05-1994,18.0,18.25,5300,18.375,18.125,2.3299195766448975
25-05-1994,18.0,18.125,4800,18.375,18.0,2.313849687576294
26-05-1994,18.125,18.25,9000,18.375,18.125,2.3299195766448975
27-05-1994,18.0,18.125,13200,18.125,18.0,2.313849687576294
31-05-1994,18.0,18.0,18300,18.125,18.125,2.3299195766448975
01-06-1994,18.0,18.125,5700,18.375,18.125,2.3299195766448975
02-06-1994,18.125,18.375,5300,18.5,18.5,2.378124237060547
03-06-1994,18.25,18.25,6800,18.5,18.5,2.378124237060547
06-06-1994,18.375,18.375,5000,18.875,18.5,2.378124237060547
07-06-1994,17.875,18.5,8800,18.5,17.875,2.297780752182007
08-06-1994,18.125,18.125,3100,18.625,18.625,2.3941919803619385
09-06-1994,18.375,18.625,7200,18.75,18.75,2.410261392593384
10-06-1994,18.5,18.5,8300,19.0,18.625,2.3941919803619385
13-06-1994,18.5,18.625,3000,18.625,18.5,2.378124237060547
14-06-1994,18.25,18.375,10000,18.375,18.375,2.362055778503418
15-06-1994,18.125,18.375,5000,18.375,18.25,2.345987558364868
16-06-1994,18.25,18.375,3900,18.625,18.625,2.3941919803619385
17-06-1994,18.375,18.375,8400,18.625,18.5,2.378124237060547
20-06-1994,18.0,18.25,12800,18.25,18.25,2.4044742584228516
21-06-1994,18.25,18.25,6900,18.25,18.25,2.4044742584228516
22-06-1994,18.25,18.25,3700,18.75,18.625,2.453881025314331
23-06-1994,18.625,18.625,4500,19.125,19.0,2.5032880306243896
24-06-1994,18.625,19.25,10800,19.25,18.75,2.470350742340088
27-06-1994,18.25,18.75,6600,18.75,18.25,2.4044742584228516
28-06-1994,18.125,18.125,4700,18.75,18.75,2.470350742340088
29-06-1994,18.375,18.5,2000,18.5,18.5,2.4374120235443115
30-06-1994,18.0,18.5,5500,18.625,18.25,2.4044742584228516
01-07-1994,18.25,18.25,30100,18.25,18.25,2.4044742584228516
05-07-1994,18.125,18.125,900,18.25,18.125,2.3880062103271484
06-07-1994,18.125,18.125,0,18.125,18.125,2.3880062103271484
07-07-1994,17.875,18.375,31200,18.375,18.125,2.3880062103271484
08-07-1994,17.75,17.875,2600,18.0,17.75,2.3385982513427734
11-07-1994,17.75,18.0,2200,18.125,18.125,2.3880062103271484
12-07-1994,18.0,18.0,10600,18.25,18.25,2.4044742584228516
13-07-1994,18.0,18.0,8200,18.25,18.25,2.4044742584228516
14-07-1994,17.875,18.0,1500,18.25,18.25,2.4044742584228516
15-07-1994,17.875,18.125,2700,18.125,18.0,2.3715360164642334
18-07-1994,17.625,17.75,2100,18.0,17.875,2.3550662994384766
19-07-1994,17.875,17.875,1500,17.875,17.875,2.3550662994384766
20-07-1994,17.5,18.0,3900,18.0,17.75,2.3385982513427734
21-07-1994,17.375,17.75,1700,17.75,17.375,2.2891905307769775
22-07-1994,17.25,17.25,4500,17.375,17.375,2.2891905307769775
25-07-1994,17.0,17.375,2800,17.375,17.0,2.239783763885498
26-07-1994,16.625,17.0,3300,17.0,16.875,2.2233147621154785
27-07-1994,16.25,16.875,16400,16.875,16.75,2.2068464756011963
28-07-1994,16.5,16.75,7100,16.75,16.75,2.2068464756011963
29-07-1994,16.25,16.75,26300,16.75,16.375,2.1574387550354004
01-08-1994,16.375,16.375,13100,17.125,17.125,2.2562527656555176
02-08-1994,16.625,17.125,7100,17.125,17.0,2.239783763885498
03-08-1994,17.25,17.25,4900,17.5,17.5,2.305659532546997
04-08-1994,17.25,17.5,5500,17.5,17.25,2.272722005844116
05-08-1994,17.5,17.5,8200,17.875,17.75,2.3385982513427734
08-08-1994,17.75,17.75,700,18.0,18.0,2.3715360164642334
09-08-1994,17.375,17.75,7200,17.875,17.625,2.322129487991333
10-08-1994,17.625,17.875,3500,17.875,17.625,2.322129487991333
11-08-1994,17.625,17.75,3200,17.875,17.875,2.3550662994384766
12-08-1994,17.75,17.875,2100,17.875,17.875,2.3550662994384766
15-08-1994,17.625,17.75,3600,17.875,17.625,2.322129487991333
16-08-1994,17.625,17.875,5100,18.0,17.75,2.3385982513427734
17-08-1994,17.75,17.75,18000,18.0,17.75,2.3385982513427734
18-08-1994,17.625,17.625,2000,17.875,17.625,2.322129487991333
19-08-1994,17.75,17.75,2000,17.75,17.75,2.3385982513427734
22-08-1994,17.5,17.75,4400,17.75,17.5,2.305659532546997
23-08-1994,17.375,17.5,6400,17.625,17.625,2.322129487991333
24-08-1994,17.0,17.375,7500,17.375,17.0,2.239783763885498
25-08-1994,16.875,17.25,3500,17.375,16.875,2.2233147621154785
26-08-1994,17.125,17.125,1100,17.375,17.25,2.272722005844116
29-08-1994,17.25,17.5,5600,17.5,17.25,2.272722005844116
30-08-1994,17.0,17.0,52800,17.375,17.375,2.2891905307769775
31-08-1994,16.875,17.0,15400,17.25,17.25,2.272722005844116
01-09-1994,17.25,17.375,3300,17.5,17.5,2.305659532546997
02-09-1994,17.625,17.625,4100,17.875,17.75,2.3385982513427734
06-09-1994,17.5,17.875,7400,17.875,17.5,2.305659532546997
07-09-1994,17.5,17.625,6800,17.75,17.75,2.3385982513427734
08-09-1994,17.5,17.75,5700,17.75,17.75,2.3385982513427734
09-09-1994,17.625,17.625,5900,17.75,17.75,2.3385982513427734
12-09-1994,17.5,17.625,10500,17.625,17.625,2.322129487991333
13-09-1994,17.0,17.5,29400,17.5,17.0,2.239783763885498
14-09-1994,17.25,17.25,1500,17.25,17.25,2.272722005844116
15-09-1994,17.25,17.375,4400,17.5,17.5,2.305659532546997
16-09-1994,17.0,17.5,34000,17.5,17.0,2.239783763885498
19-09-1994,16.875,17.0,3700,17.0,17.0,2.239783763885498
20-09-1994,16.75,17.0,6800,17.0,17.0,2.239783763885498
21-09-1994,16.875,17.0,4400,17.0,17.0,2.239783763885498
22-09-1994,16.75,17.0,8800,17.0,16.875,2.2233147621154785
23-09-1994,16.875,17.0,8200,17.125,17.0,2.239783763885498
