Date,Low,Open,Volume,High,Close,Adjusted Close
20-06-1984,1.84375,0.0,2004000,1.875,1.84375,0.6535764932632446
21-06-1984,1.78125,0.0,626400,1.84375,1.78125,0.6314212083816528
22-06-1984,1.78125,0.0,229600,1.8125,1.78125,0.6314212083816528
25-06-1984,1.75,0.0,102400,1.8125,1.75,0.6203436851501465
26-06-1984,1.71875,0.0,129600,1.75,1.71875,0.6092661023139954
27-06-1984,1.75,0.0,213600,1.78125,1.75,0.6203436851501465
28-06-1984,1.75,0.0,212000,1.78125,1.75,0.6203436851501465
29-06-1984,1.8125,0.0,208000,1.875,1.8125,0.6424987316131592
02-07-1984,1.8125,0.0,144800,1.875,1.8125,0.6424987316131592
03-07-1984,1.8125,0.0,48000,1.875,1.8125,0.6424987316131592
05-07-1984,1.84375,0.0,108000,1.90625,1.84375,0.6535764932632446
06-07-1984,1.84375,0.0,2400,1.90625,1.84375,0.6535764932632446
09-07-1984,1.84375,0.0,76800,1.875,1.84375,0.6535764932632446
10-07-1984,1.84375,0.0,89600,1.90625,1.84375,0.6535764932632446
11-07-1984,1.84375,0.0,82400,1.90625,1.84375,0.6535764932632446
12-07-1984,1.8125,0.0,58400,1.875,1.8125,0.6424987316131592
13-07-1984,1.8125,0.0,323200,1.875,1.8125,0.6424987316131592
16-07-1984,1.8125,0.0,32000,1.875,1.8125,0.6424987316131592
17-07-1984,1.8125,0.0,334400,1.875,1.8125,0.6424987316131592
18-07-1984,1.8125,0.0,420800,1.875,1.8125,0.6424987316131592
19-07-1984,1.8125,0.0,404000,1.875,1.8125,0.6424987316131592
20-07-1984,1.8125,0.0,53600,1.875,1.8125,0.6424987316131592
23-07-1984,1.84375,0.0,153600,1.90625,1.84375,0.6535764932632446
24-07-1984,1.875,0.0,82400,1.96875,1.875,0.6646539568901062
25-07-1984,1.875,0.0,2400,1.96875,1.875,0.6646539568901062
26-07-1984,1.96875,0.0,147200,2.03125,1.96875,0.6978867650032043
27-07-1984,2.03125,0.0,128000,2.125,2.03125,0.7200415730476379
30-07-1984,2.03125,0.0,153600,2.125,2.03125,0.7200415730476379
31-07-1984,2.03125,0.0,131200,2.125,2.03125,0.7200415730476379
01-08-1984,2.03125,0.0,124000,2.125,2.03125,0.7200415730476379
02-08-1984,2.09375,0.0,103200,2.15625,2.09375,0.7421969175338745
03-08-1984,2.125,0.0,72000,2.21875,2.125,0.7532745003700256
06-08-1984,2.15625,0.0,52000,2.25,2.15625,0.7643516063690186
