Date,Low,Open,Volume,High,Close,Adjusted Close
07-07-1994,9.0,9.0,572400,9.375,9.3125,3.022411584854126
08-07-1994,9.1875,9.4375,109200,9.4375,9.1875,2.981842041015625
11-07-1994,9.0,9.125,149200,9.125,9.0,2.920987129211426
12-07-1994,9.0,9.125,72400,9.125,9.125,2.9615581035614014
13-07-1994,9.0625,9.125,192000,9.1875,9.1875,2.981842041015625
14-07-1994,9.125,9.125,106800,9.3125,9.25,3.002126455307007
15-07-1994,9.0625,9.125,151400,9.1875,9.0625,2.941274404525757
18-07-1994,9.0625,9.0625,62800,9.1875,9.0625,2.941274404525757
19-07-1994,9.0625,9.125,49800,9.1875,9.125,2.9615581035614014
20-07-1994,9.0,9.125,212200,9.125,9.0625,2.941274404525757
21-07-1994,9.0,9.0,18800,9.0625,9.0,2.920987129211426
22-07-1994,9.0,9.0625,194600,9.0625,9.0,2.920987129211426
25-07-1994,9.0,9.0,77800,9.0,9.0,2.920987129211426
26-07-1994,8.9375,8.9375,24000,9.0,8.9375,2.9091081619262695
27-07-1994,9.0,9.0,11200,9.0,9.0,2.9294509887695312
28-07-1994,9.0625,9.0625,198600,9.25,9.0625,2.949794292449951
29-07-1994,9.1875,9.1875,270800,9.3125,9.25,3.0108251571655273
01-08-1994,9.1875,9.25,220600,9.375,9.375,3.051511764526367
02-08-1994,9.375,9.375,174400,9.6875,9.5,3.0921976566314697
03-08-1994,9.5625,9.5625,278600,9.875,9.6875,3.1532297134399414
04-08-1994,9.6875,9.75,121000,9.875,9.75,3.173572301864624
05-08-1994,9.625,9.75,134400,9.75,9.6875,3.1532297134399414
08-08-1994,9.6875,9.6875,88400,9.875,9.875,3.214259386062622
09-08-1994,9.625,9.875,521800,10.0,9.75,3.173572301864624
10-08-1994,9.625,9.8125,323200,10.125,10.125,3.295632839202881
11-08-1994,10.1875,10.25,359000,10.75,10.3125,3.3566627502441406
12-08-1994,10.375,10.375,100000,10.875,10.875,3.5397543907165527
15-08-1994,10.875,11.125,53400,11.125,11.125,3.6211278438568115
16-08-1994,11.0,11.25,181800,11.25,11.125,3.6211278438568115
17-08-1994,11.1875,11.1875,230600,11.625,11.4375,3.722844362258911
18-08-1994,11.5,11.5,131200,11.8125,11.8125,3.8449018001556396
19-08-1994,11.75,11.75,212400,12.75,12.75,4.150055408477783
22-08-1994,11.9375,12.875,215200,13.25,12.25,3.98730731010437
23-08-1994,12.1875,12.375,85800,12.5,12.25,3.98730731010437
24-08-1994,12.0625,12.375,88200,12.375,12.3125,4.0076518058776855
25-08-1994,12.125,12.3125,190000,12.3125,12.1875,3.9669642448425293
26-08-1994,12.1875,12.3125,103800,12.3125,12.1875,3.9669642448425293
29-08-1994,12.1875,12.1875,231000,12.625,12.5,4.068681716918945
30-08-1994,12.125,12.5,186600,12.5,12.1875,3.9669642448425293
31-08-1994,12.25,12.25,76800,12.4375,12.4375,4.048339366912842
01-09-1994,12.3125,12.3125,99800,12.4375,12.4375,4.048339366912842
02-09-1994,12.3125,12.3125,269400,12.625,12.5625,4.089026927947998
06-09-1994,12.5,12.5625,6000,12.625,12.5625,4.089026927947998
07-09-1994,12.4375,12.625,97200,12.625,12.4375,4.048339366912842
08-09-1994,12.3125,12.3125,9400,12.4375,12.4375,4.048339366912842
09-09-1994,12.1875,12.4375,19000,12.4375,12.25,3.98730731010437
12-09-1994,12.0,12.125,78000,12.125,12.0625,3.9262781143188477
13-09-1994,11.5,12.0,110400,12.0,11.625,3.783874750137329
14-09-1994,11.5,11.5,50800,12.0625,12.0625,3.9262781143188477
15-09-1994,11.9375,11.9375,22800,12.1875,12.0,3.905935525894165
16-09-1994,11.875,11.875,34600,12.0625,11.9375,3.885591745376587
19-09-1994,11.75,11.875,11400,11.9375,11.75,3.8245625495910645
20-09-1994,11.6875,11.75,37800,11.75,11.6875,3.8042197227478027
21-09-1994,11.75,11.75,27000,11.8125,11.8125,3.8449018001556396
22-09-1994,11.6875,11.6875,4600,11.6875,11.6875,3.8042197227478027
23-09-1994,11.6875,11.6875,1400,11.75,11.6875,3.8042197227478027
26-09-1994,11.6875,11.75,15200,11.75,11.6875,3.8042197227478027
27-09-1994,11.6875,11.6875,0,11.6875,11.6875,3.8042197227478027
28-09-1994,11.75,11.75,34400,12.125,12.0,3.905935525894165
29-09-1994,12.0625,12.125,19000,12.1875,12.125,3.946619749069214
30-09-1994,12.0625,12.0625,22400,12.25,12.25,3.98730731010437
