Date,Low,Open,Volume,High,Close,Adjusted Close
27-05-1993,19.625,20.25,2838900,20.25,19.625,4.151682376861572
28-05-1993,19.5,19.625,603100,19.875,19.75,4.178131103515625
01-06-1993,19.5,19.625,455200,19.625,19.5,4.125239849090576
02-06-1993,19.5,19.5,616400,20.375,20.375,4.310347080230713
03-06-1993,19.75,20.25,216900,20.25,19.75,4.178131103515625
04-06-1993,19.625,19.75,58600,19.875,19.75,4.178131103515625
07-06-1993,19.5,19.75,148400,19.75,19.5,4.125239849090576
08-06-1993,19.5,19.5,169800,19.625,19.5,4.125239849090576
09-06-1993,19.5,19.5,225800,19.75,19.625,4.151682376861572
10-06-1993,19.5,19.75,78000,19.75,19.625,4.151682376861572
11-06-1993,19.5,19.625,109400,19.625,19.5,4.125239849090576
14-06-1993,19.5,19.5,72600,19.625,19.5,4.125239849090576
15-06-1993,19.5,19.5,38600,19.625,19.5,4.125239849090576
16-06-1993,19.5,19.5,109700,19.625,19.5,4.125239849090576
17-06-1993,19.5,19.625,86600,19.625,19.5,4.125239849090576
18-06-1993,19.5,19.625,96100,19.625,19.5,4.125239849090576
21-06-1993,19.5,19.625,61400,19.625,19.625,4.151682376861572
22-06-1993,19.5,19.5,64700,19.625,19.5,4.125239849090576
23-06-1993,19.5,19.5,36900,19.625,19.5,4.125239849090576
24-06-1993,19.5,19.625,62900,19.75,19.5,4.125239849090576
25-06-1993,19.5,19.5,17900,19.625,19.5,4.125239849090576
28-06-1993,19.5,19.5,61700,20.125,20.0,4.231014728546143
29-06-1993,19.75,20.0,47600,20.125,19.75,4.178131103515625
30-06-1993,19.75,19.875,99500,20.125,20.125,4.2574591636657715
01-07-1993,20.0,20.0,27400,20.125,20.0,4.231014728546143
02-07-1993,20.0,20.125,46300,20.125,20.125,4.2574591636657715
06-07-1993,19.75,20.0,96600,20.125,19.75,4.201089382171631
07-07-1993,19.625,19.625,11500,19.75,19.625,4.174502372741699
08-07-1993,19.625,19.625,14100,19.75,19.75,4.201089382171631
09-07-1993,19.5,19.75,41300,19.875,19.5,4.147914409637451
12-07-1993,19.5,19.5,20900,19.75,19.5,4.147914409637451
13-07-1993,19.625,19.625,8700,19.75,19.75,4.201089382171631
14-07-1993,19.5,19.625,47600,19.75,19.5,4.147914409637451
15-07-1993,19.5,19.5,102900,19.875,19.5,4.147914409637451
16-07-1993,19.5,19.625,16300,19.625,19.625,4.174502372741699
19-07-1993,19.5,19.625,193700,19.625,19.625,4.174502372741699
20-07-1993,19.625,19.625,83100,19.75,19.75,4.201089382171631
21-07-1993,19.625,19.875,32000,19.875,19.625,4.174502372741699
22-07-1993,19.625,19.625,40700,19.625,19.625,4.174502372741699
23-07-1993,19.625,19.625,33700,19.75,19.625,4.174502372741699
26-07-1993,19.5,19.625,7400,19.625,19.5,4.147914409637451
27-07-1993,19.5,19.5,150100,19.625,19.5,4.147914409637451
28-07-1993,19.5,19.5,73000,19.625,19.5,4.147914409637451
29-07-1993,19.5,19.5,183900,19.625,19.625,4.174502372741699
30-07-1993,19.5,19.625,107300,19.625,19.625,4.174502372741699
02-08-1993,19.5,19.625,7500,19.625,19.5,4.147914409637451
03-08-1993,19.5,19.5,22700,19.625,19.5,4.147914409637451
04-08-1993,19.5,19.5,37600,19.625,19.625,4.174502372741699
05-08-1993,19.5,19.5,86200,19.625,19.5,4.147914409637451
06-08-1993,19.5,19.5,128200,19.5,19.5,4.147914409637451
09-08-1993,19.375,19.5,660600,19.625,19.375,4.1213226318359375
10-08-1993,18.5,19.0,106700,19.0,18.5,3.935197353363037
11-08-1993,18.5,18.5,109100,19.0,19.0,4.041555881500244
12-08-1993,19.0,19.0,51700,19.125,19.0,4.041555881500244
13-08-1993,18.5,18.875,33600,18.875,18.875,4.014968395233154
16-08-1993,18.5,19.0,53300,19.0,18.5,3.935197353363037
17-08-1993,18.25,18.625,32000,18.75,18.5,3.935197353363037
18-08-1993,18.375,18.5,186200,18.625,18.5,3.935197353363037
19-08-1993,18.25,18.375,32400,18.375,18.375,3.908609628677368
20-08-1993,17.875,18.375,123600,18.5,18.125,3.855430841445923
23-08-1993,17.875,17.875,36200,18.5,18.5,3.935197353363037
24-08-1993,18.625,18.75,29800,19.0,18.875,4.014968395233154
25-08-1993,18.625,18.75,74500,19.0,19.0,4.041555881500244
26-08-1993,18.875,19.125,21400,19.125,18.875,4.014968395233154
27-08-1993,18.875,19.0,10000,19.0,19.0,4.041555881500244
30-08-1993,18.875,19.0,8800,19.0,18.875,4.014968395233154
31-08-1993,18.625,18.75,9200,19.25,19.25,4.094735145568848
