Date,Low,Open,Volume,High,Close,Adjusted Close
29-11-1999,25.0,25.75,30700,25.75,25.25,16.970752716064453
30-11-1999,25.1875,25.25,218800,25.9375,25.1875,16.928749084472656
01-12-1999,23.25,25.1875,818400,25.1875,23.5,15.794551849365234
02-12-1999,23.75,24.25,341100,24.375,24.1875,16.256641387939453
03-12-1999,24.3125,24.875,425600,24.875,24.6875,16.592693328857422
06-12-1999,24.25,24.3125,319400,24.6875,24.6875,16.592693328857422
07-12-1999,23.5625,24.3125,419900,24.3125,23.6875,15.92058277130127
08-12-1999,22.9375,23.8125,563100,23.875,22.9375,15.41650104522705
09-12-1999,22.625,23.1875,411100,23.25,22.6875,15.248470306396484
10-12-1999,22.1875,22.1875,559800,22.75,22.75,15.29047966003418
13-12-1999,21.9375,22.375,337900,22.625,22.25,14.954425811767578
14-12-1999,21.375,22.125,524700,22.125,21.625,14.534358024597168
15-12-1999,20.625,20.875,1119200,21.75,21.125,14.198302268981934
16-12-1999,20.4375,21.125,2292800,21.6875,21.6875,14.576363563537598
17-12-1999,21.5,21.6875,681800,22.0625,21.9375,14.74439525604248
20-12-1999,21.1875,21.75,639700,21.875,21.5625,14.492354393005371
21-12-1999,20.3125,21.5,423700,21.5625,20.3125,13.652214050292969
22-12-1999,20.25,20.375,313100,21.0,20.75,13.946261405944824
23-12-1999,20.875,20.875,323400,21.125,21.0625,14.156298637390137
27-12-1999,20.4375,21.1875,248100,21.25,20.4375,13.736227989196777
28-12-1999,20.375,20.375,235900,21.3125,21.25,14.282319068908691
29-12-1999,21.125,21.125,160500,22.0625,22.0,14.786396026611328
30-12-1999,21.875,21.875,307800,22.6875,22.0,14.786396026611328
31-12-1999,22.0,22.25,100000,22.5,22.4375,15.080445289611816
03-01-2000,22.125,22.3125,401800,22.5,22.1875,14.912413597106934
04-01-2000,22.3125,22.4375,572100,23.5625,22.875,15.374489784240723
05-01-2000,22.75,22.875,452800,23.75,23.625,15.878576278686523
06-01-2000,23.375,23.5,506100,23.6875,23.5,15.794551849365234
07-01-2000,23.3125,23.4375,197800,23.75,23.5,15.794551849365234
10-01-2000,23.1875,23.4375,334100,23.75,23.3125,15.668542861938477
11-01-2000,22.8125,23.0,393900,23.0625,22.8125,15.332489967346191
12-01-2000,22.625,22.9375,391400,22.9375,22.8125,15.332489967346191
13-01-2000,22.6875,23.0,373300,23.125,22.8125,15.332489967346191
14-01-2000,22.5625,22.5625,521100,23.5,23.4375,15.752556800842285
18-01-2000,22.5,23.0625,345600,23.4375,23.375,15.710550308227539
19-01-2000,22.75,23.25,236300,23.3125,22.75,15.29047966003418
20-01-2000,22.5,22.75,384500,23.0,22.5,15.122453689575195
21-01-2000,22.0625,22.875,358100,22.875,22.0625,14.828404426574707
24-01-2000,21.4375,22.75,207700,22.75,21.5,14.450345993041992
25-01-2000,21.1875,21.375,375800,21.625,21.625,14.534358024597168
26-01-2000,21.3125,21.5,188900,21.625,21.625,14.534358024597168
27-01-2000,21.3125,21.375,255400,21.75,21.4375,14.408341407775879
28-01-2000,21.125,21.3125,172900,21.5625,21.125,14.198302268981934
31-01-2000,20.75,21.0625,302500,21.25,20.875,14.030275344848633
01-02-2000,20.1875,20.8125,380100,20.8125,20.75,13.946261405944824
02-02-2000,19.5,20.625,594800,20.6875,19.5,13.106125831604004
03-02-2000,18.5,19.5625,651800,19.5625,18.875,12.686056137084961
04-02-2000,18.5,19.0625,395800,19.0625,18.625,12.51802921295166
07-02-2000,18.0,18.5625,315700,18.75,18.5625,12.476027488708496
08-02-2000,17.8125,19.0,453900,19.1875,18.1875,12.223982810974121
09-02-2000,18.0,18.1875,617600,18.75,18.3125,12.30799674987793
10-02-2000,17.8125,18.1875,259800,18.25,17.875,12.013951301574707
11-02-2000,16.625,17.5,377200,17.875,17.3125,11.635887145996094
14-02-2000,17.0,17.0625,331600,17.5625,17.3125,11.635887145996094
15-02-2000,17.25,17.375,315600,17.75,17.625,11.845924377441406
16-02-2000,17.3125,17.5,211900,17.6875,17.5,11.761910438537598
17-02-2000,17.25,17.875,258800,17.875,17.5625,11.803916931152344
18-02-2000,16.875,17.3125,332100,17.4375,17.375,11.677896499633789
22-02-2000,17.0,17.25,297300,18.1875,17.6875,11.88792896270752
23-02-2000,16.9375,17.75,437400,18.0,17.8125,11.971940994262695
24-02-2000,16.125,17.625,545600,17.625,16.8125,11.428150177001953
25-02-2000,16.4375,16.5625,296200,17.125,16.6875,11.343179702758789
28-02-2000,16.625,16.6875,242000,17.375,17.125,11.640569686889648
29-02-2000,16.6875,17.0,412600,17.0625,16.9375,11.513114929199219
01-03-2000,16.25,16.6875,314000,17.25,17.0625,11.598084449768066
02-03-2000,16.9375,17.0625,305300,17.6875,17.625,11.980437278747559
03-03-2000,17.75,17.75,478100,18.625,18.25,12.40527629852295
06-03-2000,17.75,18.1875,717700,18.1875,18.0,12.23534107208252
07-03-2000,17.625,17.9375,452000,18.0,17.6875,12.022921562194824
08-03-2000,16.75,17.5625,424400,17.5625,16.9375,11.513114929199219
09-03-2000,16.4375,16.9375,441000,16.9375,16.625,11.300695419311523
10-03-2000,16.5625,16.5625,201100,17.6875,17.6875,12.022921562194824
13-03-2000,17.0,17.9375,520800,18.125,17.0625,11.598084449768066
14-03-2000,16.9375,17.0,312100,17.4375,17.375,11.810503005981445
15-03-2000,17.1875,17.25,544400,18.125,17.9375,12.19286060333252
16-03-2000,18.0625,18.1875,580700,18.75,18.6875,12.702666282653809
17-03-2000,17.875,18.3125,501600,18.625,18.125,12.320314407348633
20-03-2000,18.3125,18.375,296800,18.9375,18.625,12.660176277160645
21-03-2000,18.125,18.125,473500,18.375,18.375,12.490246772766113
22-03-2000,17.875,18.375,300400,18.375,18.0,12.23534107208252
23-03-2000,18.125,18.25,327100,18.875,18.625,12.660176277160645
24-03-2000,18.25,18.375,408500,18.625,18.5,12.575210571289062
27-03-2000,18.0625,18.5,323200,19.0,18.0625,12.277827262878418
28-03-2000,18.0,18.1875,243700,18.9375,18.125,12.320314407348633
29-03-2000,18.0,18.0,173700,18.6875,18.3125,12.447762489318848
30-03-2000,18.4375,18.5,300600,20.1875,19.5,13.25495433807373
31-03-2000,19.25,19.25,455100,20.5625,20.0625,13.637308120727539
03-04-2000,19.875,20.0625,367500,20.3125,20.25,13.764762878417969
04-04-2000,19.5625,20.625,252900,20.6875,19.9375,13.552340507507324
05-04-2000,19.9375,20.3125,294800,20.375,20.3125,13.807242393493652
06-04-2000,19.9375,20.4375,362300,20.5,20.125,13.679791450500488
07-04-2000,19.875,20.1875,168600,20.1875,19.9375,13.552340507507324
