Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,5.15625,0.0,22400,5.1875,5.15625,2.1864075660705566
22-02-1973,5.171875,0.0,11200,5.203125,5.171875,2.193032741546631
23-02-1973,5.125,0.0,52800,5.171875,5.140625,2.179781913757324
26-02-1973,5.125,0.0,9600,5.125,5.125,2.173156261444092
27-02-1973,5.125,0.0,18400,5.140625,5.125,2.173156261444092
28-02-1973,5.125,0.0,29600,5.140625,5.125,2.173156261444092
01-03-1973,5.0625,0.0,24000,5.125,5.0625,2.1499576568603516
02-03-1973,5.03125,0.0,36800,5.0625,5.03125,2.136686325073242
05-03-1973,5.0,0.0,48000,5.046875,5.015625,2.1300506591796875
06-03-1973,5.015625,0.0,12800,5.078125,5.078125,2.1565940380096436
07-03-1973,5.0625,0.0,97600,5.125,5.125,2.1765005588531494
08-03-1973,5.09375,0.0,8000,5.109375,5.109375,2.1698665618896484
09-03-1973,5.09375,0.0,100800,5.125,5.09375,2.1632297039031982
12-03-1973,5.0625,0.0,57600,5.09375,5.0625,2.1499576568603516
13-03-1973,5.03125,0.0,114400,5.03125,5.03125,2.136686325073242
14-03-1973,5.0625,0.0,226400,5.125,5.109375,2.1698665618896484
15-03-1973,5.125,0.0,74400,5.21875,5.1875,2.2030434608459473
16-03-1973,5.15625,0.0,116000,5.1875,5.1875,2.2030434608459473
19-03-1973,5.171875,0.0,53600,5.234375,5.234375,2.222949504852295
20-03-1973,5.203125,0.0,40000,5.28125,5.25,2.229586601257324
21-03-1973,5.265625,0.0,65600,5.34375,5.28125,2.2428574562072754
22-03-1973,5.125,0.0,69600,5.265625,5.125,2.1765005588531494
23-03-1973,5.109375,0.0,20000,5.140625,5.125,2.1765005588531494
26-03-1973,5.15625,0.0,28800,5.21875,5.1875,2.2030434608459473
27-03-1973,5.15625,0.0,12000,5.1875,5.171875,2.1964075565338135
28-03-1973,5.15625,0.0,38400,5.3125,5.3125,2.2561299800872803
29-03-1973,5.34375,0.0,516000,5.53125,5.53125,2.349029302597046
30-03-1973,5.4375,0.0,50400,5.5,5.46875,2.32248592376709
02-04-1973,5.4375,0.0,12000,5.5,5.5,2.335757255554199
03-04-1973,5.46875,0.0,53600,5.5625,5.5625,2.3623006343841553
04-04-1973,5.53125,0.0,32800,5.609375,5.609375,2.382207155227661
05-04-1973,5.546875,0.0,21600,5.609375,5.546875,2.3556647300720215
06-04-1973,5.375,0.0,79200,5.578125,5.375,2.2826714515686035
09-04-1973,5.34375,0.0,48000,5.375,5.375,2.2826714515686035
10-04-1973,5.296875,0.0,125600,5.375,5.296875,2.249492883682251
11-04-1973,5.0,0.0,34400,5.265625,5.0,2.12341570854187
12-04-1973,5.015625,0.0,92800,5.109375,5.109375,2.1698665618896484
13-04-1973,5.078125,0.0,13600,5.109375,5.09375,2.1632297039031982
16-04-1973,5.078125,0.0,26400,5.109375,5.078125,2.1565940380096436
17-04-1973,5.078125,0.0,7200,5.09375,5.078125,2.1565940380096436
18-04-1973,5.0,0.0,31200,5.0625,5.015625,2.1300506591796875
19-04-1973,5.0,0.0,18400,5.015625,5.015625,2.1300506591796875
23-04-1973,5.0,0.0,29600,5.015625,5.0,2.12341570854187
24-04-1973,5.0,0.0,40800,5.03125,5.0,2.12341570854187
25-04-1973,4.796875,0.0,52800,4.96875,4.796875,2.03715181350708
26-04-1973,4.625,0.0,48800,4.75,4.671875,1.9840655326843262
27-04-1973,4.6875,0.0,68000,4.71875,4.6875,1.9907031059265137
30-04-1973,4.65625,0.0,73600,4.75,4.75,2.017245054244995
01-05-1973,4.78125,0.0,56800,4.90625,4.875,2.0703306198120117
02-05-1973,4.859375,0.0,27200,4.875,4.875,2.0703306198120117
03-05-1973,4.859375,0.0,33600,4.984375,4.953125,2.1035094261169434
04-05-1973,4.984375,0.0,56000,5.125,5.125,2.1765005588531494
07-05-1973,5.0,0.0,51200,5.09375,5.09375,2.1632297039031982
08-05-1973,5.0625,0.0,5600,5.09375,5.0625,2.1499576568603516
09-05-1973,5.09375,0.0,12800,5.21875,5.21875,2.2163150310516357
10-05-1973,5.1875,0.0,59200,5.265625,5.1875,2.2030434608459473
11-05-1973,5.078125,0.0,61600,5.1875,5.078125,2.1565940380096436
14-05-1973,5.03125,0.0,27200,5.0625,5.03125,2.136686325073242
15-05-1973,4.921875,0.0,12000,5.0,4.921875,2.090237617492676
16-05-1973,4.890625,0.0,11200,4.9375,4.890625,2.0769660472869873
17-05-1973,4.78125,0.0,34400,4.875,4.796875,2.03715181350708
18-05-1973,4.5625,0.0,18400,4.765625,4.5625,1.9376176595687866
21-05-1973,4.515625,0.0,32000,4.5625,4.53125,1.9243450164794922
22-05-1973,4.5625,0.0,68000,4.75,4.75,2.017245054244995
23-05-1973,4.75,0.0,24000,4.78125,4.78125,2.0305166244506836
24-05-1973,4.765625,0.0,36000,4.90625,4.90625,2.0836024284362793
25-05-1973,4.84375,0.0,56800,5.09375,5.09375,2.1632297039031982
29-05-1973,5.015625,0.0,44800,5.09375,5.015625,2.1300506591796875
30-05-1973,4.9375,0.0,10400,5.03125,4.9375,2.0968730449676514
31-05-1973,4.84375,0.0,20800,4.890625,4.84375,2.057058572769165
01-06-1973,4.875,0.0,29600,4.96875,4.875,2.0703306198120117
04-06-1973,4.84375,0.0,11200,4.875,4.84375,2.057058572769165
05-06-1973,4.78125,0.0,67200,4.84375,4.796875,2.03715181350708
06-06-1973,4.78125,0.0,8000,4.8125,4.8125,2.0437886714935303
07-06-1973,4.8125,0.0,20800,4.921875,4.921875,2.090237617492676
08-06-1973,4.921875,0.0,43200,4.96875,4.96875,2.1101434230804443
11-06-1973,4.9375,0.0,5600,4.9375,4.9375,2.0968730449676514
12-06-1973,4.96875,0.0,7200,5.03125,5.03125,2.136686325073242
13-06-1973,4.984375,0.0,20800,5.03125,5.0,2.12341570854187
14-06-1973,4.984375,0.0,32800,5.046875,5.046875,2.143322706222534
15-06-1973,4.890625,0.0,68800,5.03125,4.890625,2.0769660472869873
18-06-1973,4.859375,0.0,8800,4.875,4.859375,2.0636956691741943
19-06-1973,4.8125,0.0,105600,4.875,4.8125,2.0437886714935303
