Date,Low,Open,Volume,High,Close,Adjusted Close
08-03-1996,6.5,6.5,54000,6.6875,6.6875,4.728065013885498
11-03-1996,6.875,6.875,400,6.875,6.875,4.860626697540283
12-03-1996,6.875,6.875,0,6.875,6.875,4.860626697540283
13-03-1996,6.8125,6.8125,10000,6.8125,6.8125,4.816439151763916
14-03-1996,6.875,6.875,10200,6.875,6.875,4.860626697540283
15-03-1996,6.875,6.875,0,6.875,6.875,4.860626697540283
18-03-1996,6.875,6.875,0,6.875,6.875,4.860626697540283
19-03-1996,7.0,7.0,2400,7.0,7.0,4.949001312255859
20-03-1996,7.0,7.0,9600,7.0625,7.0625,4.993191242218018
21-03-1996,7.25,7.25,2000,7.25,7.25,5.125751495361328
22-03-1996,7.25,7.25,0,7.25,7.25,5.125751495361328
25-03-1996,7.375,7.375,2000,7.375,7.375,5.214127063751221
26-03-1996,7.25,7.375,11600,7.375,7.375,5.214127063751221
27-03-1996,7.125,7.3125,56000,7.3125,7.3125,5.169940948486328
28-03-1996,7.3125,7.3125,0,7.3125,7.3125,5.169940948486328
29-03-1996,7.3125,7.3125,2200,7.3125,7.3125,5.169940948486328
01-04-1996,7.125,7.3125,230000,7.3125,7.25,5.125751495361328
02-04-1996,7.25,7.25,0,7.25,7.25,5.125751495361328
03-04-1996,7.0625,7.0625,3600,7.0625,7.0625,4.993191242218018
04-04-1996,6.875,6.875,1600,6.875,6.875,4.860626697540283
08-04-1996,6.875,6.875,0,6.875,6.875,4.860626697540283
09-04-1996,6.875,6.875,0,6.875,6.875,4.860626697540283
10-04-1996,6.875,6.875,0,6.875,6.875,4.860626697540283
11-04-1996,6.9375,6.9375,4000,6.9375,6.9375,4.904814720153809
12-04-1996,6.9375,6.9375,0,6.9375,6.9375,4.904814720153809
15-04-1996,6.875,6.875,600,6.875,6.875,4.860626697540283
16-04-1996,6.5625,6.875,172600,7.0625,6.5625,4.639688968658447
17-04-1996,6.4375,6.5625,166600,6.75,6.75,4.772251129150391
18-04-1996,6.5625,6.5625,74000,6.5625,6.5625,4.639688968658447
19-04-1996,6.75,6.75,50000,6.8125,6.8125,4.816439151763916
22-04-1996,6.8125,6.8125,0,6.8125,6.8125,4.816439151763916
23-04-1996,6.8125,6.8125,0,6.8125,6.8125,4.816439151763916
24-04-1996,7.3125,7.3125,30000,7.3125,7.3125,5.169940948486328
25-04-1996,7.5,7.5,21000,7.5,7.5,5.302501201629639
26-04-1996,7.4375,7.5,22000,7.5,7.4375,5.258315086364746
29-04-1996,7.4375,7.4375,0,7.4375,7.4375,5.258315086364746
30-04-1996,7.375,7.4375,155600,7.75,7.75,5.479251861572266
01-05-1996,7.75,7.75,0,7.75,7.75,5.479251861572266
02-05-1996,7.6875,7.6875,10000,7.6875,7.6875,5.435062885284424
03-05-1996,7.6875,7.6875,0,7.6875,7.6875,5.435062885284424
06-05-1996,7.6875,7.6875,0,7.6875,7.6875,5.435062885284424
07-05-1996,7.6875,7.6875,0,7.6875,7.6875,5.435062885284424
08-05-1996,7.8125,7.8125,30000,7.8125,7.8125,5.523440361022949
09-05-1996,7.8125,7.8125,0,7.8125,7.8125,5.523440361022949
10-05-1996,7.8125,7.8125,0,7.8125,7.8125,5.523440361022949
13-05-1996,7.75,7.75,2000,7.75,7.75,5.479251861572266
14-05-1996,7.875,7.875,110600,8.0625,7.875,5.567627906799316
15-05-1996,8.0,8.0,50000,8.0,8.0,5.656001567840576
16-05-1996,8.0,8.0,0,8.0,8.0,5.656001567840576
17-05-1996,8.0,8.0,1200,8.0,8.0,5.656001567840576
20-05-1996,7.8125,7.8125,170000,7.8125,7.8125,5.523440361022949
21-05-1996,7.875,7.875,20000,7.875,7.875,5.567627906799316
22-05-1996,7.875,7.875,0,7.875,7.875,5.567627906799316
23-05-1996,7.75,7.75,112000,7.75,7.75,5.479251861572266
24-05-1996,7.625,7.625,20000,7.625,7.625,5.3908772468566895
28-05-1996,7.625,7.625,0,7.625,7.625,5.3908772468566895
29-05-1996,7.625,7.625,0,7.625,7.625,5.3908772468566895
30-05-1996,7.75,7.75,8600,7.875,7.75,5.479251861572266
31-05-1996,7.75,7.75,6400,7.75,7.75,5.479251861572266
03-06-1996,7.75,7.75,0,7.75,7.75,5.479251861572266
04-06-1996,7.75,7.75,0,7.75,7.75,5.479251861572266
05-06-1996,7.75,7.75,0,7.75,7.75,5.479251861572266
06-06-1996,7.75,7.75,0,7.75,7.75,5.479251861572266
07-06-1996,7.75,7.75,0,7.75,7.75,5.479251861572266
10-06-1996,7.75,7.75,0,7.75,7.75,5.479251861572266
11-06-1996,7.75,7.75,0,7.75,7.75,5.479251861572266
12-06-1996,7.75,7.75,0,7.75,7.75,5.479251861572266
13-06-1996,7.75,7.75,0,7.75,7.75,5.479251861572266
14-06-1996,7.9375,7.9375,100000,8.0,8.0,5.656001567840576
17-06-1996,8.0625,8.0625,40000,8.0625,8.0625,5.700191497802734
18-06-1996,8.125,8.125,100000,8.1875,8.125,5.744378089904785
19-06-1996,8.1875,8.1875,50000,8.1875,8.1875,5.7885637283325195
20-06-1996,8.125,8.1875,112400,8.25,8.25,5.832752227783203
21-06-1996,8.25,8.25,0,8.25,8.25,5.832752227783203
