Date,Low,Open,Volume,High,Close,Adjusted Close
16-10-1996,7.0,7.0,39000,8.25,8.125,3.936337471008301
17-10-1996,8.25,8.25,23600,8.625,8.375,4.0574564933776855
18-10-1996,8.625,8.75,79000,8.75,8.625,4.17857551574707
21-10-1996,8.625,8.6875,16800,8.6875,8.6875,4.208852767944336
22-10-1996,8.1875,8.625,72400,8.625,8.1875,3.9666168689727783
23-10-1996,7.75,7.875,27200,8.0,7.875,3.8152196407318115
24-10-1996,7.5,7.8125,79400,7.8125,7.5625,3.6638216972351074
25-10-1996,7.5,7.5,96400,7.5625,7.5625,3.6638216972351074
28-10-1996,7.5,7.5,48400,7.625,7.625,3.6941027641296387
29-10-1996,7.625,7.625,16000,7.75,7.75,3.754662275314331
30-10-1996,7.75,7.875,28200,7.875,7.75,3.754662275314331
31-10-1996,7.5,7.75,361600,7.8125,7.625,3.6941027641296387
01-11-1996,7.1875,7.5625,1305000,7.625,7.25,3.512425184249878
04-11-1996,7.25,7.25,1030400,7.375,7.3125,3.5427050590515137
05-11-1996,7.3125,7.3125,927400,7.625,7.5,3.633542537689209
06-11-1996,7.5,7.5625,659800,7.875,7.6875,3.7243807315826416
07-11-1996,7.625,7.6875,1180800,7.8125,7.75,3.754662275314331
08-11-1996,7.6875,7.8125,990800,7.8125,7.6875,3.7243807315826416
11-11-1996,7.625,7.625,1018800,8.0,7.9375,3.8455004692077637
12-11-1996,7.6875,8.0,211200,8.0,7.75,3.754662275314331
13-11-1996,7.5,7.8125,952200,7.8125,7.5625,3.6638216972351074
14-11-1996,7.4375,7.5625,891000,7.5625,7.5,3.633542537689209
15-11-1996,7.5625,7.5625,1254400,7.75,7.75,3.754662275314331
18-11-1996,7.625,7.875,547800,7.9375,7.625,3.6941027641296387
19-11-1996,7.75,7.75,669000,7.875,7.8125,3.784940719604492
20-11-1996,7.8125,7.8125,477000,7.9375,7.8125,3.784940719604492
21-11-1996,7.5,7.875,279000,7.9375,7.5625,3.6638216972351074
22-11-1996,7.375,7.5625,709000,7.75,7.4375,3.603264808654785
25-11-1996,7.125,7.5625,1209000,7.5625,7.1875,3.4821455478668213
26-11-1996,6.875,7.1875,1263000,7.1875,7.0,3.391306161880493
27-11-1996,7.0,7.0625,2561000,7.625,7.5625,3.6638216972351074
29-11-1996,7.5,7.5,309000,7.6875,7.6875,3.7243807315826416
02-12-1996,7.5,7.625,679000,7.8125,7.75,3.754662275314331
03-12-1996,7.75,7.75,1158600,8.125,8.125,3.936337471008301
04-12-1996,7.875,8.125,474600,8.125,8.0625,3.9060590267181396
05-12-1996,8.0625,8.125,547600,8.1875,8.1875,3.9666168689727783
06-12-1996,7.875,7.9375,340200,8.0625,8.0625,3.9060590267181396
09-12-1996,8.0,8.0625,548600,8.1875,8.125,3.936337471008301
10-12-1996,8.0,8.0625,861400,8.1875,8.0,3.87577748298645
11-12-1996,7.8125,7.9375,722400,8.0,8.0,3.87577748298645
12-12-1996,8.0,8.0,192800,8.0625,8.0,3.87577748298645
13-12-1996,7.8125,7.9375,783200,8.0,7.8125,3.784940719604492
16-12-1996,7.6875,7.875,652600,7.875,7.75,3.754662275314331
17-12-1996,7.75,7.75,343000,8.0,8.0,3.87577748298645
18-12-1996,7.9375,8.0,479200,8.1875,8.1875,3.9666168689727783
19-12-1996,8.125,8.1875,416800,8.25,8.125,3.936337471008301
20-12-1996,7.9375,8.25,556600,8.25,8.1875,3.9666168689727783
