Date,Low,Open,Volume,High,Close,Adjusted Close
22-07-1988,10.0,0.0,337500,10.0,10.0,0.27668270468711853
25-07-1988,10.0,0.0,47300,10.0,10.0,0.27668270468711853
26-07-1988,10.0,0.0,63600,10.0,10.0,0.27668270468711853
27-07-1988,10.0,0.0,51600,10.0,10.0,0.27668270468711853
28-07-1988,10.0,0.0,15300,10.0,10.0,0.27668270468711853
29-07-1988,10.0,0.0,4900,10.0,10.0,0.27668270468711853
01-08-1988,10.0,0.0,28900,10.0,10.0,0.27668270468711853
02-08-1988,10.0,0.0,15200,10.0,10.0,0.27668270468711853
03-08-1988,10.0,0.0,69300,10.0,10.0,0.27668270468711853
04-08-1988,10.0,0.0,9000,10.0,10.0,0.27668270468711853
05-08-1988,10.0,0.0,15800,10.0,10.0,0.27668270468711853
08-08-1988,10.0,0.0,54100,10.0,10.0,0.27668270468711853
09-08-1988,10.0,0.0,29000,10.0,10.0,0.27668270468711853
10-08-1988,10.0,0.0,29000,10.0,10.0,0.27668270468711853
11-08-1988,10.0,0.0,20500,10.0,10.0,0.27668270468711853
12-08-1988,9.875,0.0,196100,10.0,10.0,0.27668270468711853
15-08-1988,9.875,0.0,13800,10.0,10.0,0.27668270468711853
16-08-1988,9.875,0.0,16700,10.0,9.875,0.2732243239879608
17-08-1988,9.875,0.0,37900,10.0,9.875,0.2732243239879608
18-08-1988,9.875,0.0,97300,9.875,9.875,0.2732243239879608
19-08-1988,9.875,0.0,18400,10.0,9.875,0.2732243239879608
22-08-1988,9.875,0.0,18500,10.0,9.875,0.2732243239879608
23-08-1988,9.875,0.0,56600,10.0,10.0,0.27668270468711853
24-08-1988,9.875,0.0,12600,10.0,9.875,0.2732243239879608
25-08-1988,9.75,0.0,7000,9.875,9.75,0.2716919779777527
26-08-1988,9.875,0.0,400,9.875,9.875,0.2751748859882355
29-08-1988,9.875,0.0,47200,9.875,9.875,0.2751748859882355
30-08-1988,9.875,0.0,13400,9.875,9.875,0.2751748859882355
31-08-1988,9.875,0.0,14500,9.875,9.875,0.2751748859882355
01-09-1988,9.875,0.0,10400,10.0,9.875,0.2751748859882355
02-09-1988,9.875,0.0,8500,10.0,9.875,0.2751748859882355
06-09-1988,9.875,0.0,12800,10.0,9.875,0.2751748859882355
07-09-1988,9.875,0.0,19000,10.0,9.875,0.2751748859882355
08-09-1988,9.875,0.0,19600,9.875,9.875,0.2751748859882355
09-09-1988,9.875,0.0,22600,10.0,9.875,0.2751748859882355
12-09-1988,9.875,0.0,13600,9.875,9.875,0.2751748859882355
13-09-1988,9.75,0.0,47300,10.0,9.75,0.2716919779777527
14-09-1988,9.625,0.0,17300,9.875,9.75,0.2716919779777527
15-09-1988,9.625,0.0,11600,9.75,9.75,0.2716919779777527
16-09-1988,9.5,0.0,8400,9.625,9.5,0.26472553610801697
19-09-1988,9.25,0.0,31100,9.5,9.375,0.2612418234348297
20-09-1988,9.0,0.0,38500,9.25,9.25,0.25775855779647827
21-09-1988,9.125,0.0,7800,9.25,9.125,0.25427553057670593
22-09-1988,9.125,0.0,13800,9.375,9.375,0.2612418234348297
23-09-1988,9.125,0.0,30300,9.375,9.25,0.25775855779647827
26-09-1988,9.125,0.0,10100,9.375,9.125,0.25649386644363403
27-09-1988,9.125,0.0,20700,9.25,9.25,0.2600073218345642
28-09-1988,9.125,0.0,11100,9.25,9.25,0.2600073218345642
29-09-1988,9.125,0.0,9600,9.25,9.25,0.2600073218345642
30-09-1988,9.125,0.0,22700,9.25,9.25,0.2600073218345642
03-10-1988,9.125,0.0,14700,9.25,9.125,0.25649386644363403
04-10-1988,9.25,0.0,8700,9.375,9.375,0.26352089643478394
05-10-1988,9.25,9.25,31900,9.5,9.375,0.26352089643478394
06-10-1988,9.25,9.375,5200,9.375,9.25,0.2600073218345642
07-10-1988,9.25,9.25,4900,9.375,9.375,0.26352089643478394
10-10-1988,9.5,9.5,5500,9.625,9.625,0.2705484926700592
11-10-1988,9.5,9.625,6400,9.625,9.5,0.26703497767448425
12-10-1988,9.5,9.5,6200,9.625,9.625,0.2705484926700592
13-10-1988,9.5,9.5,6100,9.5,9.5,0.26703497767448425
14-10-1988,9.5,9.625,25800,9.625,9.625,0.2705484926700592
17-10-1988,9.5,9.625,7300,9.625,9.5,0.26703497767448425
18-10-1988,9.5,9.5,14300,9.625,9.625,0.2705484926700592
19-10-1988,9.5,9.625,10400,9.625,9.5,0.26703497767448425
20-10-1988,9.5,9.5,31000,9.625,9.5,0.26703497767448425
21-10-1988,9.5,9.5,21800,9.625,9.5,0.26703497767448425
24-10-1988,9.5,9.625,7900,9.625,9.5,0.26703497767448425
25-10-1988,9.375,9.375,12900,9.5,9.5,0.26930275559425354
26-10-1988,9.375,9.5,14300,9.5,9.375,0.26575908064842224
27-10-1988,9.25,9.375,24400,9.5,9.5,0.26930275559425354
28-10-1988,9.375,9.5,9800,9.5,9.5,0.26930275559425354
31-10-1988,9.375,9.375,15100,9.5,9.5,0.26930275559425354
01-11-1988,9.375,9.5,20600,9.625,9.625,0.27284595370292664
02-11-1988,9.5,9.625,17800,9.75,9.5,0.26930275559425354
03-11-1988,9.5,9.625,7500,9.625,9.625,0.27284595370292664
04-11-1988,9.375,9.5,19800,9.625,9.5,0.26930275559425354
07-11-1988,9.25,9.375,23900,9.5,9.5,0.26930275559425354
08-11-1988,9.25,9.375,6400,9.5,9.375,0.26575908064842224
09-11-1988,9.0,9.25,6000,9.375,9.375,0.26575908064842224
10-11-1988,9.25,9.375,9000,9.375,9.25,0.2622155249118805
11-11-1988,9.25,9.375,7100,9.375,9.375,0.26575908064842224
14-11-1988,9.25,9.25,19800,9.5,9.5,0.26930275559425354
15-11-1988,9.25,9.375,32200,9.625,9.375,0.26575908064842224
16-11-1988,9.25,9.5,29400,9.5,9.25,0.2622155249118805
17-11-1988,9.125,9.375,42000,9.375,9.125,0.2586720585823059
18-11-1988,9.125,9.125,4000,9.375,9.375,0.26575908064842224
21-11-1988,9.125,9.375,12900,9.375,9.125,0.2586720585823059
22-11-1988,9.125,9.25,11200,9.25,9.125,0.2586720585823059
23-11-1988,9.0,9.125,7500,9.125,9.125,0.2616252899169922
25-11-1988,9.125,9.25,7500,9.25,9.25,0.26520925760269165
28-11-1988,9.0,9.125,4000,9.125,9.125,0.2616252899169922
29-11-1988,8.875,9.125,27700,9.125,9.0,0.2580414116382599
30-11-1988,9.0,9.0,16500,9.125,9.125,0.2616252899169922
01-12-1988,9.125,9.25,13800,9.25,9.125,0.2616252899169922
02-12-1988,9.125,9.25,800,9.25,9.125,0.2616252899169922
05-12-1988,9.125,9.125,6700,9.25,9.25,0.26520925760269165
06-12-1988,9.125,9.125,10500,9.25,9.125,0.2616252899169922
07-12-1988,8.875,9.125,28800,9.125,9.0,0.2580414116382599
08-12-1988,8.75,9.0,22900,9.0,9.0,0.2580414116382599
09-12-1988,9.0,9.0,28800,9.25,9.25,0.26520925760269165
12-12-1988,9.125,9.125,21300,9.375,9.375,0.26879313588142395
13-12-1988,9.125,9.25,35300,9.375,9.125,0.2616252899169922
14-12-1988,9.25,9.25,17700,9.5,9.375,0.26879313588142395
15-12-1988,9.25,9.5,26400,9.5,9.25,0.26520925760269165
16-12-1988,9.0,9.25,24200,9.25,9.0,0.2580414116382599
19-12-1988,8.75,9.125,28700,9.125,8.75,0.2508735656738281
20-12-1988,8.75,8.875,22300,9.0,9.0,0.2580414116382599
21-12-1988,8.75,9.0,27800,9.0,8.875,0.2544575035572052
22-12-1988,8.75,9.0,33400,9.125,8.875,0.2544575035572052
23-12-1988,8.875,9.125,14800,9.125,9.0,0.260981947183609
27-12-1988,8.875,9.0,19900,9.125,8.875,0.2573573887348175
28-12-1988,8.875,9.0,14100,9.125,9.125,0.2646070718765259
29-12-1988,9.0,9.125,50700,9.25,9.0,0.260981947183609
30-12-1988,9.125,9.125,16200,9.25,9.25,0.26823148131370544
03-01-1989,9.25,9.375,4000,9.375,9.25,0.26823148131370544
04-01-1989,9.25,9.25,11600,9.375,9.25,0.26823148131370544
05-01-1989,9.25,9.25,13700,9.375,9.375,0.27185630798339844
06-01-1989,9.375,9.375,8000,9.5,9.375,0.27185630798339844
09-01-1989,9.25,9.375,11100,9.375,9.25,0.26823148131370544
10-01-1989,9.25,9.25,14300,9.375,9.375,0.27185630798339844
11-01-1989,9.25,9.375,6400,9.375,9.25,0.26823148131370544
12-01-1989,9.25,9.375,9900,9.375,9.25,0.26823148131370544
13-01-1989,9.25,9.25,7500,9.375,9.25,0.26823148131370544
16-01-1989,9.25,9.25,13200,9.375,9.375,0.27185630798339844
17-01-1989,9.25,9.375,10300,9.375,9.375,0.27185630798339844
18-01-1989,9.25,9.25,13700,9.5,9.5,0.2754810154438019
19-01-1989,9.25,9.5,18700,9.5,9.375,0.27185630798339844
20-01-1989,9.25,9.25,28100,9.5,9.375,0.27185630798339844
23-01-1989,9.375,9.375,6300,9.5,9.5,0.2754810154438019
24-01-1989,9.375,9.5,16800,9.5,9.375,0.27185630798339844
25-01-1989,9.25,9.25,18600,9.5,9.25,0.2711234390735626
26-01-1989,9.25,9.25,18200,9.375,9.375,0.27478736639022827
27-01-1989,9.0,9.375,25600,9.375,9.25,0.2711234390735626
30-01-1989,9.125,9.375,10600,9.375,9.25,0.2711234390735626
31-01-1989,9.125,9.25,14100,9.375,9.25,0.2711234390735626
01-02-1989,9.125,9.375,14700,9.375,9.25,0.2711234390735626
02-02-1989,9.25,9.25,26900,9.5,9.5,0.2784511148929596
03-02-1989,9.375,9.5,12000,9.5,9.5,0.2784511148929596
06-02-1989,9.375,9.375,8800,9.5,9.5,0.2784511148929596
07-02-1989,9.375,9.375,9500,9.5,9.375,0.27478736639022827
08-02-1989,9.375,9.375,10400,9.625,9.5,0.2784511148929596
09-02-1989,9.375,9.5,8700,9.5,9.5,0.2784511148929596
10-02-1989,9.375,9.375,3600,9.5,9.5,0.2784511148929596
13-02-1989,9.375,9.375,11000,9.625,9.625,0.28211501240730286
14-02-1989,9.5,9.5,7500,9.625,9.5,0.2784511148929596
15-02-1989,9.375,9.625,17100,9.625,9.5,0.2784511148929596
16-02-1989,9.375,9.375,6600,9.5,9.375,0.27478736639022827
17-02-1989,9.375,9.5,9700,9.5,9.5,0.2784511148929596
21-02-1989,9.375,9.5,15600,9.5,9.375,0.27478736639022827
22-02-1989,9.125,9.25,21500,9.375,9.25,0.2740466892719269
23-02-1989,9.25,9.375,16000,9.375,9.375,0.27775001525878906
24-02-1989,9.125,9.25,19700,9.375,9.125,0.27034327387809753
27-02-1989,9.125,9.125,5300,9.25,9.25,0.2740466892719269
28-02-1989,9.125,9.25,15400,9.25,9.25,0.2740466892719269
01-03-1989,9.0,9.25,15200,9.25,9.125,0.27034327387809753
02-03-1989,9.125,9.25,33700,9.5,9.375,0.27775001525878906
03-03-1989,9.25,9.25,22200,9.375,9.25,0.2740466892719269
06-03-1989,9.0,9.375,20300,9.375,9.125,0.27034327387809753
07-03-1989,9.125,9.25,12100,9.375,9.125,0.27034327387809753
08-03-1989,9.125,9.125,15600,9.375,9.125,0.27034327387809753
09-03-1989,9.125,9.375,14700,9.375,9.25,0.2740466892719269
10-03-1989,9.125,9.25,14300,9.25,9.25,0.2740466892719269
13-03-1989,9.125,9.375,19800,9.375,9.25,0.2740466892719269
14-03-1989,9.125,9.125,77600,9.375,9.375,0.27775001525878906
15-03-1989,9.25,9.25,16900,9.5,9.5,0.281453400850296
16-03-1989,9.375,9.375,11200,9.625,9.625,0.2851565480232239
17-03-1989,9.375,9.5,15900,9.5,9.375,0.27775001525878906
20-03-1989,9.25,9.25,15600,9.5,9.5,0.281453400850296
21-03-1989,9.25,9.375,18100,9.375,9.25,0.2740466892719269
22-03-1989,9.25,9.25,14500,9.375,9.25,0.2740466892719269
23-03-1989,9.25,9.25,15800,9.375,9.375,0.27775001525878906
27-03-1989,9.25,9.25,26400,9.375,9.25,0.27700138092041016
28-03-1989,9.25,9.375,5400,9.375,9.25,0.27700138092041016
29-03-1989,9.125,9.25,16400,9.375,9.25,0.27700138092041016
30-03-1989,9.125,9.125,3500,9.25,9.125,0.27325817942619324
31-03-1989,9.125,9.125,6200,9.25,9.25,0.27700138092041016
03-04-1989,9.125,9.125,12400,9.25,9.25,0.27700138092041016
04-04-1989,9.125,9.25,21400,9.375,9.25,0.27700138092041016
05-04-1989,9.25,9.375,18700,9.375,9.375,0.2807442247867584
06-04-1989,9.25,9.25,10800,9.375,9.25,0.27700138092041016
07-04-1989,9.125,9.125,28100,9.25,9.125,0.27325817942619324
10-04-1989,9.125,9.25,16800,9.25,9.125,0.27325817942619324
11-04-1989,9.125,9.125,22200,9.25,9.125,0.27325817942619324
12-04-1989,9.125,9.125,4700,9.25,9.125,0.27325817942619324
13-04-1989,9.125,9.25,13400,9.25,9.125,0.27325817942619324
14-04-1989,9.125,9.125,16900,9.25,9.25,0.27700138092041016
17-04-1989,9.0,9.25,35500,9.25,9.125,0.27325817942619324
18-04-1989,9.0,9.25,20100,9.25,9.0,0.26951467990875244
19-04-1989,9.0,9.125,13300,9.125,9.0,0.26951467990875244
20-04-1989,9.0,9.0,28300,9.25,9.25,0.27700138092041016
21-04-1989,9.0,9.25,36700,9.25,9.125,0.27325817942619324
24-04-1989,9.0,9.25,13900,9.25,9.25,0.2800704538822174
25-04-1989,9.0,9.25,25300,9.25,9.0,0.2725014090538025
26-04-1989,9.0,9.125,17400,9.125,9.125,0.27628564834594727
27-04-1989,9.0,9.125,15000,9.25,9.0,0.2725014090538025
28-04-1989,9.0,9.125,20600,9.125,9.125,0.27628564834594727
01-05-1989,9.125,9.125,8200,9.25,9.125,0.27628564834594727
02-05-1989,9.125,9.25,12900,9.25,9.125,0.27628564834594727
03-05-1989,9.0,9.125,17000,9.25,9.0,0.2725014090538025
04-05-1989,9.0,9.125,7000,9.125,9.0,0.2725014090538025
05-05-1989,9.125,9.125,12000,9.25,9.25,0.2800704538822174
08-05-1989,9.125,9.25,14200,9.25,9.125,0.27628564834594727
09-05-1989,9.125,9.125,20500,9.25,9.25,0.2800704538822174
10-05-1989,9.125,9.125,11500,9.25,9.125,0.27628564834594727
11-05-1989,9.125,9.125,19800,9.25,9.25,0.2800704538822174
12-05-1989,9.125,9.25,24500,9.25,9.125,0.27628564834594727
15-05-1989,9.125,9.125,7300,9.25,9.125,0.27628564834594727
16-05-1989,9.0,9.0,16200,9.25,9.125,0.27628564834594727
17-05-1989,9.0,9.125,28400,9.125,9.0,0.2725014090538025
18-05-1989,9.0,9.0,34900,9.125,9.125,0.27628564834594727
19-05-1989,9.0,9.125,30900,9.25,9.25,0.2800704538822174
22-05-1989,9.25,9.25,22300,9.375,9.25,0.2800704538822174
23-05-1989,9.25,9.25,17000,9.375,9.375,0.2838553488254547
24-05-1989,9.125,9.25,22700,9.375,9.25,0.28309011459350586
25-05-1989,9.125,9.25,29600,9.375,9.25,0.28309011459350586
26-05-1989,9.25,9.25,8500,9.375,9.25,0.28309011459350586
30-05-1989,9.125,9.25,11800,9.25,9.125,0.27926453948020935
31-05-1989,9.25,9.25,12300,9.375,9.375,0.28691592812538147
01-06-1989,9.25,9.375,18300,9.375,9.375,0.28691592812538147
02-06-1989,9.25,9.25,14100,9.375,9.375,0.28691592812538147
05-06-1989,9.25,9.375,18300,9.5,9.25,0.28309011459350586
06-06-1989,9.25,9.25,21400,9.5,9.5,0.29074129462242126
07-06-1989,9.375,9.5,19400,9.5,9.5,0.29074129462242126
08-06-1989,9.375,9.5,24200,9.5,9.375,0.28691592812538147
09-06-1989,9.375,9.375,8700,9.5,9.375,0.28691592812538147
12-06-1989,9.375,9.5,24400,9.5,9.5,0.29074129462242126
13-06-1989,8.625,9.375,17500,9.5,9.5,0.29074129462242126
14-06-1989,8.75,9.5,18800,9.5,9.375,0.28691592812538147
15-06-1989,9.375,9.375,22700,9.5,9.5,0.29074129462242126
16-06-1989,9.375,9.5,21200,9.5,9.5,0.29074129462242126
19-06-1989,9.375,9.375,14500,9.625,9.625,0.2945670485496521
20-06-1989,9.5,9.5,26100,9.625,9.5,0.29074129462242126
21-06-1989,9.5,9.625,16100,9.625,9.5,0.29074129462242126
