Date,Low,Open,Volume,High,Close,Adjusted Close
18-10-1999,10.625,12.0,70700,12.4375,10.625,9.63888168334961
19-10-1999,10.3125,10.875,39300,10.875,10.375,9.412086486816406
20-10-1999,9.9375,10.25,113400,10.25,10.25,9.298690795898438
21-10-1999,10.125,10.1875,82100,10.25,10.1875,9.241985321044922
22-10-1999,10.0625,10.125,74600,11.0,10.8125,9.808982849121094
25-10-1999,10.625,10.875,47900,10.875,10.625,9.63888168334961
26-10-1999,9.0,10.5625,84400,10.5625,9.0,8.164702415466309
27-10-1999,9.0,9.0,57300,9.5,9.375,8.504899024963379
28-10-1999,8.9375,9.3125,38000,9.3125,9.25,8.391499519348145
29-10-1999,9.0,9.3125,103300,9.5,9.5,8.618292808532715
01-11-1999,9.5625,9.625,34700,10.0,10.0,9.071891784667969
02-11-1999,9.75,10.125,145900,10.125,9.75,8.845091819763184
03-11-1999,9.375,9.75,235600,9.75,9.5,8.618292808532715
04-11-1999,9.5,9.5,147900,9.9375,9.625,8.731695175170898
05-11-1999,9.5,9.5625,78700,9.75,9.6875,8.7883939743042
08-11-1999,9.5625,9.6875,33700,10.0,9.9375,9.015191078186035
09-11-1999,9.6875,9.9375,27000,10.0,9.875,8.958490371704102
10-11-1999,9.6875,9.75,64900,10.0,9.75,8.845091819763184
11-11-1999,9.75,10.0625,39600,10.125,9.875,8.958490371704102
12-11-1999,9.875,9.875,20300,10.0,9.9375,9.015191078186035
15-11-1999,10.0,10.1875,47800,10.25,10.25,9.298690795898438
16-11-1999,10.0,10.375,52700,10.375,10.0,9.071891784667969
17-11-1999,10.0,10.0,46100,10.125,10.0625,9.128589630126953
18-11-1999,10.0,10.125,23000,10.1875,10.1875,9.241985321044922
19-11-1999,10.0,10.0625,25600,10.1875,10.0625,9.128589630126953
22-11-1999,10.0,10.125,18900,10.125,10.125,9.185291290283203
23-11-1999,10.125,10.125,45100,10.375,10.1875,9.241985321044922
24-11-1999,10.0625,10.1875,29500,10.375,10.375,9.412086486816406
26-11-1999,10.25,10.3125,6200,10.3125,10.3125,9.355384826660156
29-11-1999,10.0,10.25,87100,10.8125,10.8125,9.808982849121094
30-11-1999,10.5625,10.8125,40600,10.875,10.875,9.865679740905762
01-12-1999,10.9375,10.9375,55100,11.125,11.0,9.97907829284668
