Date,Low,Open,Volume,High,Close,Adjusted Close
09-08-1996,14.25,14.25,1601500,16.75,16.5,14.77983570098877
12-08-1996,16.375,16.5,260900,16.75,16.5,14.77983570098877
13-08-1996,16.375,16.5,162800,16.75,16.375,14.667860984802246
14-08-1996,16.375,16.375,59500,16.625,16.375,14.667860984802246
15-08-1996,16.375,16.625,62300,16.625,16.625,14.891798973083496
16-08-1996,16.375,16.375,40600,16.625,16.375,14.667860984802246
19-08-1996,16.375,16.375,381500,16.75,16.75,15.003769874572754
20-08-1996,16.5,16.75,115000,17.25,17.25,15.451642036437988
21-08-1996,17.0,17.25,167600,17.625,17.625,15.78754997253418
22-08-1996,17.375,17.625,42400,17.875,17.875,16.011489868164062
23-08-1996,17.625,17.625,80300,19.0,18.75,16.79526138305664
26-08-1996,18.5,18.75,117800,19.5,19.125,17.13117218017578
27-08-1996,19.25,19.5,318700,19.75,19.5,17.467071533203125
28-08-1996,19.0,19.75,202600,19.875,19.0,17.01921272277832
29-08-1996,18.5,19.0,35600,19.25,18.5,16.571321487426758
30-08-1996,18.125,18.875,127500,18.875,18.25,16.34739112854004
03-09-1996,17.5,18.25,89900,18.25,17.75,15.899520874023438
04-09-1996,17.75,18.0,64100,18.5,18.25,16.34739112854004
05-09-1996,17.375,18.5,41800,18.5,17.625,15.78754997253418
06-09-1996,17.5,17.625,30200,17.875,17.75,15.899520874023438
09-09-1996,17.5,17.5,50100,18.0,18.0,16.123456954956055
10-09-1996,17.625,18.0,36400,18.5,18.125,16.23541831970215
11-09-1996,17.875,18.375,8200,18.375,18.0,16.123456954956055
12-09-1996,17.875,17.875,42100,18.625,18.375,16.459360122680664
13-09-1996,18.25,18.625,106400,18.875,18.75,16.79526138305664
16-09-1996,18.5,18.5,71700,19.625,19.625,17.57904815673828
17-09-1996,19.375,19.75,171300,21.0,20.75,18.586761474609375
18-09-1996,21.125,21.5,121600,22.75,22.75,20.378250122070312
19-09-1996,21.5,22.5,275800,22.625,21.5,19.258567810058594
20-09-1996,19.25,21.25,289400,21.25,19.5,17.467071533203125
23-09-1996,18.625,19.625,59900,19.625,19.0,17.01921272277832
24-09-1996,18.625,19.0,134900,19.0,18.625,16.683292388916016
25-09-1996,18.625,18.625,91600,19.125,19.0,17.01921272277832
26-09-1996,18.875,19.125,85300,19.75,18.875,16.90723991394043
27-09-1996,18.75,19.25,36800,19.25,19.0,17.01921272277832
30-09-1996,18.75,19.25,254700,19.25,19.25,17.243139266967773
01-10-1996,19.0,19.25,54000,19.625,19.25,17.243139266967773
02-10-1996,19.25,19.25,10000,19.75,19.625,17.57904815673828
03-10-1996,19.25,19.75,19300,19.75,19.25,17.243139266967773
04-10-1996,19.25,19.75,45400,19.75,19.75,17.691015243530273
