Date,Low,Open,Volume,High,Close,Adjusted Close
28-07-1998,5.375,5.5,14124000,5.515625,5.375,1.1163127422332764
29-07-1998,5.375,5.375,585200,5.390625,5.390625,1.1195578575134277
30-07-1998,5.375,5.40625,266800,5.40625,5.375,1.1163127422332764
31-07-1998,5.3125,5.390625,649200,5.390625,5.3125,1.1033321619033813
03-08-1998,5.3125,5.3125,253600,5.328125,5.3125,1.1033321619033813
04-08-1998,5.125,5.3125,754800,5.3125,5.125,1.064391016960144
05-08-1998,4.8125,5.0625,475600,5.0625,4.8125,0.9994890093803406
06-08-1998,4.796875,4.8125,480400,4.9375,4.90625,1.0189595222473145
07-08-1998,4.90625,4.9375,244400,5.125,4.96875,1.0319396257400513
10-08-1998,4.890625,4.984375,140000,5.125,4.890625,1.0157148838043213
11-08-1998,4.65625,4.828125,361200,4.859375,4.75,0.9865083694458008
12-08-1998,4.75,4.75,486000,4.90625,4.890625,1.0157148838043213
13-08-1998,4.78125,4.875,228400,4.96875,4.796875,0.9962438941001892
14-08-1998,4.625,4.828125,380800,4.875,4.65625,0.9670378565788269
17-08-1998,4.59375,4.640625,266400,4.71875,4.6875,0.9735277891159058
18-08-1998,4.671875,4.671875,313600,4.84375,4.78125,0.9929987192153931
19-08-1998,4.75,4.8125,130000,4.90625,4.84375,1.0059789419174194
20-08-1998,4.8125,4.875,112000,4.921875,4.84375,1.0059789419174194
21-08-1998,4.4375,4.828125,364800,4.84375,4.75,0.9865083694458008
24-08-1998,4.484375,4.8125,400400,4.90625,4.6875,0.9735277891159058
25-08-1998,4.53125,4.71875,212000,4.71875,4.578125,0.9508123993873596
26-08-1998,4.5,4.53125,344000,4.59375,4.546875,0.9443221688270569
27-08-1998,4.3125,4.515625,393600,4.53125,4.484375,0.9313420057296753
28-08-1998,4.21875,4.46875,445600,4.53125,4.21875,0.876175045967102
31-08-1998,3.65625,4.25,718800,4.3125,4.3125,0.8956462740898132
01-09-1998,4.0,4.21875,535200,4.4375,4.296875,0.8924008011817932
02-09-1998,4.3125,4.3125,342000,4.59375,4.46875,0.9280965924263
03-09-1998,4.1875,4.25,184400,4.375,4.3125,0.8956462740898132
04-09-1998,4.15625,4.34375,159200,4.34375,4.25,0.8826654553413391
08-09-1998,4.25,4.25,362000,4.4375,4.34375,0.9021364450454712
09-09-1998,4.125,4.34375,268800,4.34375,4.3125,0.8956462740898132
10-09-1998,4.0,4.21875,270000,4.21875,4.125,0.856704592704773
11-09-1998,4.03125,4.15625,347600,4.21875,4.21875,0.876175045967102
14-09-1998,4.125,4.1875,210800,4.40625,4.34375,0.9021364450454712
15-09-1998,4.28125,4.40625,194400,4.46875,4.34375,0.9021364450454712
16-09-1998,4.34375,4.34375,165600,4.484375,4.484375,0.9313420057296753
17-09-1998,4.28125,4.4375,144000,4.4375,4.3125,0.8956462740898132
18-09-1998,4.234375,4.296875,150400,4.40625,4.375,0.9086260795593262
21-09-1998,4.3125,4.34375,108800,4.484375,4.4375,0.9216063022613525
22-09-1998,4.3125,4.4375,207600,4.46875,4.375,0.9086260795593262
23-09-1998,4.3125,4.4375,244800,4.4375,4.34375,0.9021364450454712
24-09-1998,4.34375,4.40625,211600,4.5,4.4375,0.9216063022613525
25-09-1998,4.40625,4.40625,150400,4.484375,4.484375,0.9313420057296753
28-09-1998,4.46875,4.5,289200,4.625,4.53125,0.9410772323608398
29-09-1998,4.46875,4.5625,138000,4.5625,4.46875,0.9280965924263
30-09-1998,4.421875,4.484375,148000,4.5625,4.53125,0.9410772323608398
01-10-1998,4.359375,4.59375,241600,4.59375,4.40625,0.9151168465614319
02-10-1998,4.28125,4.4375,84400,4.4375,4.34375,0.9021364450454712
05-10-1998,3.953125,4.40625,534400,4.40625,4.15625,0.8631948232650757
06-10-1998,4.09375,4.21875,307200,4.3125,4.203125,0.8729304075241089
07-10-1998,4.0625,4.1875,163600,4.25,4.15625,0.8631948232650757
08-10-1998,3.8125,4.125,260000,4.1875,4.03125,0.8372344374656677
09-10-1998,4.03125,4.09375,174000,4.21875,4.15625,0.8631948232650757
12-10-1998,4.125,4.21875,127200,4.28125,4.1875,0.8696852326393127
13-10-1998,4.125,4.25,185600,4.28125,4.21875,0.876175045967102
14-10-1998,4.125,4.21875,134800,4.28125,4.125,0.856704592704773
15-10-1998,4.0625,4.15625,122800,4.296875,4.15625,0.8631948232650757
16-10-1998,4.09375,4.21875,318000,4.28125,4.25,0.8826654553413391
19-10-1998,4.28125,4.28125,300000,4.46875,4.46875,0.9280965924263
20-10-1998,4.28125,4.5,449600,4.53125,4.46875,0.9280965924263
21-10-1998,4.34375,4.40625,227600,4.5625,4.40625,0.9151168465614319
22-10-1998,4.34375,4.40625,208000,4.484375,4.46875,0.9280965924263
23-10-1998,4.3125,4.4375,169600,4.46875,4.453125,0.924852192401886
26-10-1998,4.40625,4.46875,167200,4.53125,4.53125,0.9410772323608398
27-10-1998,4.03125,4.46875,929600,4.46875,4.1875,0.8696852326393127
28-10-1998,3.90625,4.15625,242400,4.1875,4.1875,0.8936946392059326
29-10-1998,4.15625,4.25,162400,4.25,4.234375,0.9036989808082581
30-10-1998,4.03125,4.234375,220800,4.234375,4.15625,0.8870255351066589
02-11-1998,4.125,4.1875,173200,4.234375,4.171875,0.890360414981842
03-11-1998,4.0,4.078125,159200,4.125,4.015625,0.8570136427879333
04-11-1998,3.875,4.078125,319200,4.09375,3.96875,0.847009003162384
05-11-1998,3.953125,3.953125,262000,4.1875,4.15625,0.8870255351066589
06-11-1998,4.03125,4.125,198400,4.1875,4.140625,0.8836907744407654
09-11-1998,4.0,4.140625,166000,4.15625,4.03125,0.8603482842445374
10-11-1998,3.9375,3.96875,257200,4.15625,4.03125,0.8603482842445374
11-11-1998,3.90625,4.0625,214000,4.09375,4.03125,0.8603482842445374
12-11-1998,4.0,4.0625,206400,4.171875,4.125,0.8803560733795166
13-11-1998,4.0,4.09375,238400,4.1875,4.109375,0.8770213723182678
16-11-1998,4.0,4.078125,215200,4.171875,4.0625,0.8670172691345215
17-11-1998,3.953125,4.046875,302000,4.171875,4.078125,0.8703519701957703
