Date,Low,Open,Volume,High,Close,Adjusted Close
28-10-1998,10.0,10.0,595300,10.0625,10.0,1.9256391525268555
29-10-1998,10.0,10.0,55800,10.0625,10.0625,1.937671422958374
30-10-1998,10.0,10.0625,43200,10.0625,10.0,1.9256391525268555
02-11-1998,10.0,10.0,85400,10.0625,10.0,1.9256391525268555
03-11-1998,10.0,10.0,111400,10.0625,10.0625,1.937671422958374
04-11-1998,10.0,10.0625,97500,10.0625,10.0,1.9256391525268555
05-11-1998,10.0,10.0,90900,10.0625,10.0625,1.937671422958374
06-11-1998,10.0,10.0,95900,10.0625,10.0,1.9256391525268555
09-11-1998,10.0,10.0625,73300,10.125,10.0625,1.937671422958374
10-11-1998,10.0,10.0625,51400,10.125,10.0,1.9256391525268555
11-11-1998,10.0,10.0625,100400,10.125,10.0625,1.937671422958374
12-11-1998,10.0,10.0625,39300,10.0625,10.0625,1.937671422958374
13-11-1998,10.0,10.0625,60900,10.0625,10.0,1.9256391525268555
16-11-1998,10.0,10.0,41900,10.0625,10.0,1.9256391525268555
17-11-1998,10.0,10.0625,28800,10.125,10.0625,1.937671422958374
18-11-1998,10.0,10.0625,24900,10.125,10.0625,1.937671422958374
19-11-1998,10.0,10.0,239000,10.0625,10.0,1.9256391525268555
20-11-1998,10.0,10.0,161700,10.0625,10.0,1.9256391525268555
23-11-1998,10.0,10.0,200600,10.0625,10.0625,1.937671422958374
24-11-1998,10.0,10.0,135600,10.0625,10.0,1.9256391525268555
25-11-1998,10.0,10.0,49300,10.0625,10.0,1.9256391525268555
27-11-1998,10.0,10.0,53900,10.0625,10.0,1.9256391525268555
30-11-1998,10.0,10.0625,190700,10.0625,10.0625,1.937671422958374
01-12-1998,10.0,10.0625,64000,10.0625,10.0625,1.937671422958374
02-12-1998,10.0,10.0,54300,10.0625,10.0,1.9256391525268555
03-12-1998,10.0,10.0,63000,10.0625,10.0625,1.937671422958374
04-12-1998,10.0,10.0,76700,10.0625,10.0,1.9256391525268555
07-12-1998,10.0,10.0625,103400,10.0625,10.0,1.9256391525268555
08-12-1998,10.0,10.0625,83000,10.0625,10.0,1.9256391525268555
09-12-1998,10.0,10.0625,85200,10.0625,10.0625,1.937671422958374
10-12-1998,10.0,10.0,55500,10.0625,10.0625,1.937671422958374
11-12-1998,10.0,10.0,105400,10.0625,10.0,1.9256391525268555
14-12-1998,10.0,10.0,55100,10.0625,10.0,1.9256391525268555
15-12-1998,10.0,10.0,97200,10.0625,10.0,1.9256391525268555
16-12-1998,10.0,10.0,169200,10.0625,10.0,1.9256391525268555
17-12-1998,9.9375,10.0,266100,10.0625,10.0,1.9256391525268555
18-12-1998,9.75,10.0,163800,10.0,9.75,1.8774967193603516
21-12-1998,9.75,9.8125,80200,9.9375,9.8125,1.8895320892333984
22-12-1998,9.75,9.75,93800,9.875,9.75,1.8774967193603516
23-12-1998,9.75,9.8125,132100,9.875,9.8125,1.8895320892333984
24-12-1998,9.75,9.8125,31800,9.875,9.875,1.9015671014785767
28-12-1998,9.625,9.875,175100,9.875,9.8125,1.8895320892333984
29-12-1998,9.625,9.75,95200,9.8125,9.75,1.9019179344177246
30-12-1998,9.5,9.6875,97400,9.6875,9.625,1.877535104751587
31-12-1998,9.25,9.5625,161700,9.5625,9.4375,1.8409583568572998
04-01-1999,9.3125,9.4375,127900,9.5,9.375,1.8287684917449951
05-01-1999,9.3125,9.375,196900,9.8125,9.8125,1.9141111373901367
06-01-1999,9.375,9.8125,371100,10.0625,9.5,1.8531534671783447
07-01-1999,9.4375,9.5,104200,9.625,9.625,1.877535104751587
08-01-1999,9.5625,9.6875,172600,9.75,9.625,1.877535104751587
11-01-1999,9.5,9.6875,134000,9.6875,9.5,1.8531534671783447
12-01-1999,9.4375,9.5,177300,9.625,9.625,1.877535104751587
13-01-1999,9.4375,9.5625,85900,9.5625,9.5,1.8531534671783447
14-01-1999,9.4375,9.5,138200,9.625,9.625,1.877535104751587
15-01-1999,9.5,9.5625,105100,9.6875,9.5,1.8531534671783447
19-01-1999,9.3125,9.5625,345500,9.5625,9.3125,1.8165773153305054
20-01-1999,9.25,9.3125,189600,9.4375,9.3125,1.8165773153305054
21-01-1999,9.3125,9.3125,106800,9.375,9.375,1.8287684917449951
22-01-1999,9.375,9.375,147100,9.4375,9.375,1.8287684917449951
25-01-1999,9.375,9.4375,137100,9.5625,9.5625,1.8653441667556763
26-01-1999,9.4375,9.5625,172800,9.5625,9.5,1.8531534671783447
27-01-1999,9.4375,9.4375,120800,9.5,9.4375,1.8409583568572998
28-01-1999,9.4375,9.4375,102800,9.5,9.5,1.8531534671783447
29-01-1999,9.4375,9.5625,32000,9.5625,9.5,1.8531534671783447
01-02-1999,9.5,9.5,49600,9.5625,9.5625,1.8653441667556763
02-02-1999,9.5,9.5,95600,9.5625,9.5625,1.8653441667556763
03-02-1999,9.5,9.5,101400,9.5625,9.5,1.8531534671783447
04-02-1999,9.5,9.5,89100,9.5625,9.5625,1.8653441667556763
05-02-1999,9.5,9.5625,161800,9.6875,9.5625,1.8653441667556763
