Date,Low,Open,Volume,High,Close,Adjusted Close
04-11-1992,15.0,15.0,1300,15.125,15.125,2.8512558937072754
05-11-1992,15.0,15.0,8500,15.0,15.0,2.8276894092559814
06-11-1992,15.125,15.125,600,15.125,15.125,2.8512558937072754
09-11-1992,15.125,15.125,700,15.125,15.125,2.8512558937072754
10-11-1992,15.0,15.125,700,15.125,15.0,2.8276894092559814
11-11-1992,15.0,15.0,0,15.0,15.0,2.8276894092559814
12-11-1992,15.125,15.125,1600,15.125,15.125,2.8512558937072754
13-11-1992,15.0,15.0,300,15.0,15.0,2.8276894092559814
16-11-1992,15.125,15.125,4100,15.125,15.125,2.8512558937072754
17-11-1992,15.0,15.125,5600,15.25,15.25,2.874819755554199
18-11-1992,15.125,15.125,2900,15.125,15.125,2.8512558937072754
19-11-1992,15.0,15.0,9100,15.375,15.125,2.8512558937072754
20-11-1992,15.25,15.25,1900,15.375,15.375,2.8983848094940186
23-11-1992,15.375,15.375,0,15.375,15.375,2.8983848094940186
24-11-1992,15.375,15.375,6800,15.5,15.375,2.8983848094940186
25-11-1992,15.25,15.5,4300,15.5,15.5,2.921947479248047
27-11-1992,15.5,15.5,0,15.5,15.5,2.921947479248047
30-11-1992,15.25,15.5,5700,15.5,15.25,2.874819755554199
01-12-1992,15.25,15.375,6800,15.375,15.25,2.874819755554199
02-12-1992,15.0,15.125,7000,15.125,15.0,2.8276894092559814
03-12-1992,15.125,15.125,800,15.125,15.125,2.8512558937072754
04-12-1992,15.25,15.25,3700,15.25,15.25,2.874819755554199
07-12-1992,15.375,15.375,2900,15.5,15.375,2.8983848094940186
08-12-1992,15.375,15.375,0,15.375,15.375,2.8983848094940186
09-12-1992,15.5,15.5,5100,15.75,15.5,2.921947479248047
10-12-1992,15.375,15.375,700,15.375,15.375,2.8983848094940186
11-12-1992,15.5,15.5,3300,15.75,15.5,2.921947479248047
14-12-1992,15.375,15.375,1000,15.375,15.375,2.8983848094940186
15-12-1992,15.25,15.25,4500,15.5,15.5,2.921947479248047
16-12-1992,15.25,15.375,1400,15.375,15.25,2.874819755554199
17-12-1992,15.125,15.125,3700,15.125,15.125,2.8512558937072754
18-12-1992,15.25,15.25,500,15.25,15.25,2.874819755554199
21-12-1992,15.25,15.25,200,15.25,15.25,2.874819755554199
22-12-1992,15.125,15.125,700,15.125,15.125,2.8512558937072754
23-12-1992,15.125,15.125,0,15.125,15.125,2.8512558937072754
24-12-1992,15.125,15.125,1600,15.25,15.25,2.874819755554199
28-12-1992,15.25,15.25,0,15.25,15.25,2.874819755554199
29-12-1992,15.25,15.25,800,15.25,15.25,2.874819755554199
30-12-1992,15.25,15.25,0,15.25,15.25,2.874819755554199
31-12-1992,15.375,15.375,900,15.375,15.375,2.8983848094940186
04-01-1993,15.125,15.125,3000,15.375,15.375,2.8983848094940186
05-01-1993,15.125,15.5,2900,15.5,15.125,2.8512558937072754
06-01-1993,15.0,15.0,1500,15.125,15.125,2.8512558937072754
07-01-1993,15.125,15.125,4900,15.125,15.125,2.8512558937072754
08-01-1993,15.25,15.25,1200,15.375,15.375,2.8983848094940186
11-01-1993,15.25,15.25,1500,15.375,15.375,2.8983848094940186
12-01-1993,15.375,15.375,2000,15.5,15.5,2.9493794441223145
13-01-1993,15.5,15.75,5000,15.75,15.625,2.973165273666382
14-01-1993,15.125,15.5,16100,15.5,15.125,2.878024101257324
15-01-1993,15.25,15.25,300,15.25,15.25,2.901808738708496
18-01-1993,15.375,15.375,2000,15.625,15.625,2.973165273666382
19-01-1993,15.375,15.5,12500,15.625,15.625,2.973165273666382
20-01-1993,15.5,15.5,11200,15.625,15.5,2.9493794441223145
21-01-1993,15.375,15.5,8900,15.5,15.375,2.925595283508301
22-01-1993,15.375,15.375,11400,15.5,15.5,2.9493794441223145
25-01-1993,15.25,15.375,30200,15.375,15.375,2.925595283508301
26-01-1993,15.375,15.375,7200,15.5,15.5,2.9493794441223145
27-01-1993,15.25,15.375,4000,15.5,15.25,2.901808738708496
28-01-1993,15.25,15.375,6400,15.375,15.25,2.901808738708496
29-01-1993,15.375,15.375,4500,15.5,15.5,2.9493794441223145
01-02-1993,15.5,15.625,8000,15.625,15.5,2.9493794441223145
02-02-1993,15.5,15.5,6100,15.625,15.625,2.973165273666382
03-02-1993,15.5,15.625,11600,15.625,15.5,2.9493794441223145
04-02-1993,15.625,15.625,14200,15.75,15.625,2.973165273666382
05-02-1993,15.375,15.625,10200,15.625,15.375,2.925595283508301
08-02-1993,15.375,15.5,800,15.5,15.375,2.925595283508301
09-02-1993,15.375,15.375,6000,15.75,15.625,2.9887142181396484
10-02-1993,15.5,15.75,26800,15.875,15.75,3.012624979019165
11-02-1993,15.625,15.625,7100,15.625,15.625,2.9887142181396484
12-02-1993,15.625,15.625,1200,15.75,15.75,3.012624979019165
16-02-1993,15.625,15.75,3700,15.75,15.625,2.9887142181396484
17-02-1993,15.5,15.5,3600,15.625,15.625,2.9887142181396484
18-02-1993,15.75,15.75,10600,15.875,15.75,3.012624979019165
19-02-1993,15.75,15.75,25600,16.0,15.75,3.012624979019165
22-02-1993,15.875,15.875,10900,16.0,16.0,3.0604441165924072
23-02-1993,15.375,16.125,20800,16.125,15.75,3.012624979019165
24-02-1993,15.75,15.875,19100,15.875,15.75,3.012624979019165
25-02-1993,15.75,15.875,49000,16.25,16.25,3.108262062072754
26-02-1993,15.875,16.125,25400,16.125,16.0,3.0604441165924072
01-03-1993,15.75,16.0,12200,16.0,16.0,3.0604441165924072
02-03-1993,15.875,16.0,43200,16.125,15.875,3.0365335941314697
03-03-1993,15.875,16.0,12300,16.125,16.125,3.084353446960449
04-03-1993,15.75,16.0,7700,16.0,16.0,3.0604441165924072
05-03-1993,15.875,16.0,3000,16.0,16.0,3.0604441165924072
08-03-1993,15.875,16.0,2800,16.0,15.875,3.0365335941314697
09-03-1993,15.75,15.75,2100,16.0,16.0,3.0604441165924072
10-03-1993,15.875,15.875,19900,16.125,16.0,3.0604441165924072
11-03-1993,15.75,16.0,11100,16.0,15.875,3.0365335941314697
12-03-1993,15.75,16.0,12500,16.0,15.75,3.012624979019165
15-03-1993,15.375,15.5,9600,15.5,15.375,2.9553451538085938
16-03-1993,15.375,15.5,5000,15.5,15.375,2.9553451538085938
17-03-1993,15.375,15.375,10400,15.625,15.625,3.0033979415893555
18-03-1993,15.25,15.625,6500,15.625,15.5,2.979372501373291
19-03-1993,15.5,15.5,4800,15.875,15.75,3.0274264812469482
22-03-1993,15.75,15.75,0,15.75,15.75,3.0274264812469482
23-03-1993,15.875,16.0,1900,16.0,15.875,3.0514519214630127
24-03-1993,15.875,15.875,2300,16.0,16.0,3.075479507446289
25-03-1993,16.0,16.0,3500,16.0,16.0,3.075479507446289
26-03-1993,15.875,15.875,300,15.875,15.875,3.0514519214630127
29-03-1993,15.875,15.875,8100,15.875,15.875,3.0514519214630127
30-03-1993,15.625,15.75,8400,15.75,15.75,3.0274264812469482
31-03-1993,15.625,15.625,4200,15.875,15.875,3.0514519214630127
01-04-1993,15.75,15.75,2800,15.875,15.875,3.0514519214630127
02-04-1993,15.75,15.75,1000,15.75,15.75,3.0274264812469482
05-04-1993,15.75,15.875,6000,15.875,15.75,3.0274264812469482
06-04-1993,15.75,15.75,0,15.75,15.75,3.0274264812469482
07-04-1993,15.625,15.75,2000,15.75,15.75,3.0274264812469482
08-04-1993,15.5,15.625,11000,15.625,15.625,3.0033979415893555
12-04-1993,15.625,15.625,2200,15.625,15.625,3.0033979415893555
13-04-1993,15.5,15.5,1000,15.5,15.5,2.9939355850219727
14-04-1993,15.5,15.5,1300,15.5,15.5,2.9939355850219727
15-04-1993,15.5,15.625,3700,15.625,15.625,3.018078327178955
16-04-1993,15.5,15.625,7100,15.625,15.5,2.9939355850219727
19-04-1993,15.5,15.5,6600,15.625,15.625,3.018078327178955
20-04-1993,15.5,15.5,11300,15.625,15.625,3.018078327178955
21-04-1993,15.5,15.625,6100,15.625,15.625,3.018078327178955
22-04-1993,15.5,15.625,6200,15.625,15.5,2.9939355850219727
23-04-1993,15.25,15.5,17900,15.5,15.25,2.945643424987793
