Date,Low,Open,Volume,High,Close,Adjusted Close
02-03-1998,15.0,15.0,11000,15.0,15.0,3.9134819507598877
03-03-1998,15.0,15.0,0,15.0,15.0,3.9134819507598877
04-03-1998,15.125,15.125,1200,15.125,15.125,3.9461002349853516
05-03-1998,15.0625,15.0625,4100,15.1875,15.1875,3.96239972114563
06-03-1998,15.25,15.25,2300,15.375,15.375,4.011322498321533
09-03-1998,15.25,15.25,600,15.25,15.25,3.9787087440490723
10-03-1998,15.25,15.25,0,15.25,15.25,3.9787087440490723
11-03-1998,15.375,15.375,400,15.375,15.375,4.011322498321533
12-03-1998,15.25,15.25,8900,15.5,15.375,4.011322498321533
13-03-1998,15.5,15.5,600,15.5,15.5,4.043928146362305
16-03-1998,15.5,15.625,1800,15.625,15.5,4.043928146362305
17-03-1998,15.5625,15.625,1300,15.625,15.5625,4.060237884521484
18-03-1998,15.5625,15.5625,1000,15.5625,15.5625,4.060237884521484
19-03-1998,15.5625,15.5625,0,15.5625,15.5625,4.060237884521484
20-03-1998,15.5625,15.5625,2100,15.5625,15.5625,4.060237884521484
23-03-1998,15.5625,15.5625,0,15.5625,15.5625,4.060237884521484
24-03-1998,15.75,15.75,3600,15.75,15.75,4.109156608581543
25-03-1998,15.375,15.625,6100,15.625,15.375,4.011322498321533
26-03-1998,15.125,15.25,3500,15.25,15.25,3.9787087440490723
27-03-1998,15.125,15.125,3400,15.3125,15.3125,3.995013475418091
30-03-1998,15.3125,15.3125,0,15.3125,15.3125,3.995013475418091
31-03-1998,15.25,15.25,100,15.25,15.25,3.9787087440490723
01-04-1998,15.375,15.375,1600,15.4375,15.4375,4.027623653411865
02-04-1998,15.4375,15.5625,8900,15.6875,15.5,4.043928146362305
03-04-1998,15.5,15.5,0,15.5,15.5,4.043928146362305
06-04-1998,15.25,15.375,2300,15.375,15.25,3.9787087440490723
07-04-1998,15.25,15.25,600,15.25,15.25,3.9787087440490723
08-04-1998,15.25,15.25,2600,15.25,15.25,3.9787087440490723
09-04-1998,15.125,15.125,1300,15.1875,15.1875,3.96239972114563
13-04-1998,15.0,15.0625,6700,15.125,15.0625,3.9297902584075928
14-04-1998,15.125,15.125,8100,15.125,15.125,3.9461002349853516
15-04-1998,15.25,15.25,4000,15.25,15.25,3.9787087440490723
16-04-1998,15.125,15.1875,2700,15.1875,15.125,3.9461002349853516
