Date,Low,Open,Volume,High,Close,Adjusted Close
09-03-1999,15.0,15.0,10000,15.5,15.5,4.050478935241699
10-03-1999,15.125,15.375,11700,15.375,15.3125,4.0014848709106445
11-03-1999,15.3125,15.3125,700,15.3125,15.3125,4.0014848709106445
12-03-1999,15.0625,15.0625,3400,15.1875,15.1875,3.968815565109253
15-03-1999,15.0,15.0,7100,15.25,15.25,3.985150098800659
16-03-1999,15.0,15.25,5000,15.25,15.0,3.9198200702667236
17-03-1999,14.875,15.0,400,15.0,14.875,3.887155532836914
18-03-1999,15.0,15.0,1600,15.0,15.0,3.9198200702667236
19-03-1999,15.0,15.125,9200,15.1875,15.1875,3.968815565109253
22-03-1999,15.0,15.125,15200,15.3125,15.0,3.9198200702667236
23-03-1999,15.25,15.25,3300,15.25,15.25,3.985150098800659
24-03-1999,15.125,15.1875,2000,15.1875,15.125,3.952486753463745
25-03-1999,15.25,15.25,100,15.25,15.25,3.985150098800659
26-03-1999,15.25,15.25,0,15.25,15.25,3.985150098800659
29-03-1999,15.25,15.25,600,15.25,15.25,3.985150098800659
30-03-1999,15.0625,15.125,4700,15.1875,15.0625,3.9361495971679688
31-03-1999,14.875,15.0,12100,15.0,14.875,3.887155532836914
01-04-1999,14.875,14.875,2000,15.0625,15.0625,3.9361495971679688
05-04-1999,15.0,15.0,8000,15.125,15.125,3.952486753463745
06-04-1999,15.0625,15.0625,1000,15.0625,15.0625,3.9361495971679688
07-04-1999,15.0,15.0,4600,15.0,15.0,3.9198200702667236
08-04-1999,14.875,15.0625,5800,15.0625,14.875,3.887155532836914
09-04-1999,14.25,14.625,6400,14.625,14.25,3.723825693130493
12-04-1999,13.8125,14.5,6300,14.5,13.8125,3.609502077102661
13-04-1999,13.75,13.75,8600,14.1875,14.0625,3.674832344055176
14-04-1999,13.5,13.875,16300,14.0625,14.0625,3.674832344055176
15-04-1999,14.0,14.0625,20400,14.125,14.125,3.6911652088165283
16-04-1999,14.125,14.25,7400,14.375,14.375,3.7564916610717773
19-04-1999,14.375,14.4375,3400,14.5,14.5,3.789156675338745
20-04-1999,14.5625,14.625,1900,14.625,14.5625,3.8054921627044678
21-04-1999,14.25,14.25,18700,15.375,15.25,3.985150098800659
22-04-1999,15.0,15.125,15900,15.1875,15.0,3.9198200702667236
23-04-1999,14.875,14.875,800,14.875,14.875,3.887155532836914
26-04-1999,14.125,14.5,8200,14.5,14.125,3.6911652088165283
27-04-1999,14.0,14.0,4400,14.25,14.25,3.723825693130493
28-04-1999,14.25,14.25,6800,14.625,14.625,3.821824073791504
29-04-1999,14.625,14.625,0,14.625,14.625,3.821824073791504
30-04-1999,14.5,14.5,600,14.5,14.5,3.789156675338745
03-05-1999,14.375,14.375,100,14.375,14.375,3.7564916610717773
04-05-1999,14.375,14.5,1800,14.5,14.375,3.7564916610717773
05-05-1999,14.3125,14.3125,1600,14.3125,14.3125,3.7401607036590576
06-05-1999,14.25,14.25,9800,14.5,14.3125,3.7401607036590576
07-05-1999,14.1875,14.1875,2400,14.4375,14.4375,3.772827386856079
10-05-1999,13.5625,14.25,10300,14.25,13.8125,3.609502077102661
11-05-1999,13.75,13.8125,4700,13.9375,13.875,3.6258318424224854
12-05-1999,13.5625,14.0,23200,14.375,13.625,3.560499429702759
13-05-1999,13.6875,13.875,21000,14.125,14.125,3.6911652088165283
14-05-1999,13.5,13.5,16100,13.75,13.5625,3.5441689491271973
17-05-1999,13.625,13.625,13600,14.0,13.75,3.593167781829834
18-05-1999,13.5,13.875,19100,14.0,13.75,3.593167781829834
19-05-1999,13.6875,13.6875,10400,13.75,13.75,3.6317315101623535
20-05-1999,13.5625,13.625,14300,13.9375,13.9375,3.6812539100646973
21-05-1999,13.75,14.0,2800,14.0,13.75,3.6317315101623535
24-05-1999,13.625,13.625,5500,13.75,13.625,3.598712921142578
25-05-1999,13.5625,13.5625,5600,13.6875,13.6875,3.6152236461639404
26-05-1999,13.625,13.625,2000,13.625,13.625,3.598712921142578
27-05-1999,13.5,13.625,3100,13.625,13.5,3.565699338912964
28-05-1999,13.5,13.5,7100,13.625,13.5625,3.5822079181671143
01-06-1999,13.625,13.6875,44700,14.125,13.625,3.598712921142578
