Date,Low,Open,Volume,High,Close,Adjusted Close
17-06-1987,10.0,10.0,18038200,10.125,10.0,1.5230751037597656
18-06-1987,10.0,10.0,1380000,10.125,10.0,1.5230751037597656
19-06-1987,10.0,10.0,1210000,10.125,10.0,1.5230751037597656
22-06-1987,9.875,10.0,1030000,10.0,9.875,1.5040347576141357
23-06-1987,9.875,9.875,407300,10.0,9.875,1.5040347576141357
24-06-1987,9.875,9.875,299600,10.0,9.875,1.5040347576141357
25-06-1987,9.875,9.875,303000,10.0,10.0,1.5230751037597656
26-06-1987,9.875,9.875,258700,10.0,10.0,1.5230751037597656
29-06-1987,9.875,10.0,329700,10.0,9.875,1.5040347576141357
30-06-1987,9.875,10.0,239900,10.0,10.0,1.5230751037597656
01-07-1987,9.875,9.875,259700,10.0,9.875,1.5040347576141357
02-07-1987,9.875,10.0,159400,10.0,10.0,1.5230751037597656
06-07-1987,9.875,9.875,227000,10.0,9.875,1.5040347576141357
07-07-1987,9.875,9.875,213800,10.0,10.0,1.5230751037597656
08-07-1987,9.875,10.0,246100,10.0,10.0,1.5230751037597656
09-07-1987,9.875,10.0,211700,10.0,9.875,1.5040347576141357
10-07-1987,9.875,10.0,166000,10.0,10.0,1.5230751037597656
13-07-1987,9.875,10.0,254500,10.0,9.875,1.5040347576141357
14-07-1987,9.875,9.875,225200,10.0,9.875,1.5040347576141357
15-07-1987,9.875,10.0,162100,10.0,10.0,1.5230751037597656
16-07-1987,9.875,10.0,200200,10.0,10.0,1.5230751037597656
17-07-1987,9.875,10.0,249400,10.0,10.0,1.5230751037597656
20-07-1987,9.875,10.0,153700,10.0,9.875,1.5040347576141357
21-07-1987,9.875,10.0,166900,10.0,10.0,1.5230751037597656
22-07-1987,9.875,10.0,164600,10.0,10.0,1.5230751037597656
23-07-1987,9.875,9.875,122100,10.0,10.0,1.5230751037597656
24-07-1987,9.875,9.875,197500,10.0,10.0,1.5230751037597656
27-07-1987,9.875,10.0,132200,10.0,10.0,1.5230751037597656
28-07-1987,9.875,10.0,175000,10.0,10.0,1.5230751037597656
29-07-1987,9.875,10.0,157600,10.0,9.875,1.5040347576141357
30-07-1987,9.875,10.0,132100,10.0,10.0,1.5230751037597656
31-07-1987,9.875,10.0,123000,10.0,10.0,1.5230751037597656
03-08-1987,9.875,10.0,108700,10.0,9.875,1.5040347576141357
04-08-1987,9.875,9.875,200900,10.0,10.0,1.5230751037597656
05-08-1987,9.875,10.0,241400,10.0,10.0,1.5230751037597656
06-08-1987,10.0,10.0,142200,10.125,10.0,1.5230751037597656
07-08-1987,9.875,10.0,130200,10.125,10.125,1.542112946510315
10-08-1987,10.0,10.125,387500,10.125,10.125,1.5482292175292969
11-08-1987,9.875,10.0,160000,10.125,10.0,1.5291153192520142
12-08-1987,9.875,10.0,120200,10.0,10.0,1.5291153192520142
13-08-1987,9.875,10.0,133800,10.0,10.0,1.5291153192520142
