Date,Low,Open,Volume,High,Close,Adjusted Close
19-09-1988,10.0,0.0,55700,10.0,10.0,1.1295560598373413
20-09-1988,10.0,0.0,17700,10.0,10.0,1.1295560598373413
21-09-1988,10.0,0.0,27000,10.0,10.0,1.1295560598373413
22-09-1988,10.0,0.0,13200,10.0,10.0,1.1295560598373413
23-09-1988,10.0,0.0,16700,10.0,10.0,1.1295560598373413
26-09-1988,10.0,0.0,1100,10.0,10.0,1.1295560598373413
27-09-1988,10.125,0.0,8500,10.125,10.125,1.1436750888824463
28-09-1988,10.125,0.0,10800,10.125,10.125,1.1436750888824463
29-09-1988,10.125,0.0,11200,10.125,10.125,1.1436750888824463
30-09-1988,10.125,0.0,4900,10.125,10.125,1.1436750888824463
03-10-1988,10.0,0.0,48800,10.125,10.125,1.1436750888824463
04-10-1988,10.0,0.0,17500,10.125,10.0,1.1295560598373413
05-10-1988,10.0,10.0,18500,10.125,10.0,1.1295560598373413
06-10-1988,10.0,10.125,12900,10.125,10.125,1.1436750888824463
07-10-1988,10.0,10.0,5200,10.125,10.125,1.1436750888824463
10-10-1988,10.0,10.0,9600,10.125,10.125,1.1436750888824463
11-10-1988,10.0,10.125,27000,10.125,10.125,1.1436750888824463
12-10-1988,10.0,10.0,13100,10.125,10.125,1.1436750888824463
13-10-1988,10.0,10.0,19600,10.125,10.125,1.1436750888824463
14-10-1988,10.0,10.0,10400,10.125,10.0,1.1295560598373413
17-10-1988,10.0,10.0,15300,10.125,10.0,1.1295560598373413
18-10-1988,10.0,10.0,13300,10.125,10.125,1.1436750888824463
19-10-1988,10.0,10.125,12500,10.125,10.125,1.1436750888824463
20-10-1988,10.0,10.125,32000,10.25,10.125,1.1436750888824463
21-10-1988,10.125,10.125,24400,10.25,10.25,1.1577954292297363
24-10-1988,10.0,10.125,34100,10.25,10.25,1.1577954292297363
25-10-1988,10.125,10.25,18800,10.25,10.25,1.1577954292297363
26-10-1988,10.125,10.125,32800,10.25,10.125,1.1436750888824463
27-10-1988,10.125,10.125,14700,10.25,10.125,1.1436750888824463
28-10-1988,10.0,10.25,9400,10.25,10.25,1.1577954292297363
31-10-1988,10.125,10.125,20000,10.25,10.125,1.1436750888824463
01-11-1988,10.25,10.25,20500,10.375,10.375,1.1719144582748413
02-11-1988,10.25,10.25,16700,10.375,10.25,1.1577954292297363
03-11-1988,10.125,10.25,24200,10.375,10.25,1.1577954292297363
04-11-1988,10.25,10.25,29200,10.375,10.25,1.1623313426971436
07-11-1988,10.125,10.25,27800,10.25,10.125,1.1481558084487915
08-11-1988,10.125,10.25,15800,10.25,10.125,1.1481558084487915
09-11-1988,10.125,10.25,18000,10.25,10.25,1.1623313426971436
10-11-1988,10.125,10.25,22700,10.25,10.125,1.1481558084487915
11-11-1988,10.125,10.25,24600,10.25,10.25,1.1623313426971436
14-11-1988,10.125,10.125,21200,10.25,10.125,1.1481558084487915
15-11-1988,10.0,10.25,25200,10.25,10.125,1.1481558084487915
16-11-1988,10.0,10.125,25200,10.25,10.125,1.1481558084487915
17-11-1988,10.125,10.125,11800,10.25,10.125,1.1481558084487915
18-11-1988,10.0,10.25,23600,10.25,10.0,1.1339815855026245
21-11-1988,10.0,10.0,15300,10.125,10.125,1.1481558084487915
22-11-1988,10.125,10.25,31100,10.25,10.25,1.1623313426971436
23-11-1988,10.25,10.25,15900,10.375,10.25,1.1623313426971436
25-11-1988,10.25,10.25,3300,10.375,10.375,1.176505208015442
28-11-1988,10.125,10.25,32900,10.375,10.125,1.1481558084487915
29-11-1988,10.125,10.25,14300,10.375,10.125,1.1481558084487915
30-11-1988,10.125,10.25,18100,10.375,10.25,1.1623313426971436
01-12-1988,10.125,10.125,42700,10.375,10.125,1.1481558084487915
02-12-1988,10.125,10.25,22900,10.25,10.25,1.1623313426971436
05-12-1988,10.125,10.25,11800,10.25,10.25,1.1623313426971436
06-12-1988,10.125,10.375,18000,10.375,10.125,1.1481558084487915
07-12-1988,10.125,10.125,16100,10.375,10.25,1.1623313426971436
08-12-1988,10.125,10.125,8700,10.25,10.125,1.1481558084487915
09-12-1988,10.125,10.25,10100,10.25,10.125,1.1481558084487915
12-12-1988,10.125,10.25,13300,10.375,10.125,1.1527100801467896
13-12-1988,10.125,10.25,11700,10.25,10.125,1.1527100801467896
14-12-1988,10.125,10.125,16800,10.25,10.125,1.1527100801467896
15-12-1988,10.125,10.25,8400,10.25,10.25,1.1669420003890991
