Date,Low,Open,Volume,High,Close,Adjusted Close
01-07-1998,5.03125,5.03125,180000,5.15625,5.15625,2.37420392036438
02-07-1998,5.046875,5.15625,153600,5.15625,5.09375,2.345425605773926
06-07-1998,5.140625,5.140625,276000,5.734375,5.734375,2.64040470123291
07-07-1998,5.65625,5.84375,498000,6.140625,5.65625,2.604430913925171
08-07-1998,5.421875,5.703125,414400,5.703125,5.453125,2.5109012126922607
09-07-1998,5.390625,5.4375,82400,5.4375,5.4375,2.503708600997925
10-07-1998,5.40625,5.484375,196800,5.484375,5.40625,2.4893181324005127
13-07-1998,5.296875,5.421875,130800,5.421875,5.375,2.474928617477417
14-07-1998,5.34375,5.375,248800,5.390625,5.390625,2.4821228981018066
15-07-1998,5.328125,5.40625,154000,5.40625,5.34375,2.4605395793914795
16-07-1998,5.3125,5.375,181200,5.375,5.328125,2.4533448219299316
17-07-1998,5.25,5.328125,189600,5.34375,5.265625,2.4245667457580566
20-07-1998,5.1875,5.234375,121600,5.25,5.25,2.4173717498779297
21-07-1998,5.125,5.21875,285200,5.21875,5.140625,2.367008924484253
22-07-1998,4.9375,5.15625,144000,5.171875,4.96875,2.2878692150115967
23-07-1998,4.8125,4.9375,1820400,4.9375,4.875,2.2447025775909424
24-07-1998,5.03125,5.03125,179600,5.171875,5.109375,2.352623701095581
27-07-1998,5.09375,5.09375,25200,5.140625,5.140625,2.367008924484253
28-07-1998,5.109375,5.140625,485600,5.171875,5.15625,2.37420392036438
29-07-1998,5.140625,5.21875,66400,5.21875,5.140625,2.367008924484253
30-07-1998,5.109375,5.15625,541200,5.15625,5.125,2.359815835952759
31-07-1998,5.125,5.140625,89200,5.171875,5.15625,2.37420392036438
03-08-1998,5.171875,5.171875,36800,5.25,5.21875,2.4029836654663086
04-08-1998,5.09375,5.1875,126800,5.1875,5.140625,2.367008924484253
05-08-1998,5.109375,5.15625,47600,5.15625,5.109375,2.352623701095581
06-08-1998,5.046875,5.109375,13200,5.109375,5.078125,2.338233709335327
07-08-1998,5.0625,5.140625,37600,5.140625,5.0625,2.331038236618042
10-08-1998,5.0625,5.078125,23600,5.125,5.125,2.359815835952759
11-08-1998,4.96875,5.0625,549600,5.0625,4.984375,2.2950661182403564
12-08-1998,4.90625,5.0,136800,5.015625,5.0,2.3022594451904297
13-08-1998,4.9375,4.984375,17600,5.015625,4.9375,2.2734804153442383
14-08-1998,4.640625,4.890625,42400,4.890625,4.671875,2.1511740684509277
17-08-1998,4.5625,4.640625,275200,4.703125,4.6875,2.158369541168213
18-08-1998,4.71875,4.71875,100000,4.953125,4.90625,2.259091377258301
19-08-1998,4.875,4.9375,222400,4.9375,4.890625,2.2518980503082275
20-08-1998,4.84375,4.890625,510800,4.90625,4.84375,2.2303152084350586
21-08-1998,4.546875,4.8125,244800,4.8125,4.640625,2.1367852687835693
24-08-1998,4.65625,4.65625,379200,4.734375,4.734375,2.1799519062042236
25-08-1998,4.75,4.75,22800,4.8125,4.8125,2.215924024581909
26-08-1998,4.6875,4.75,109600,4.765625,4.75,2.1871466636657715
27-08-1998,4.3125,4.71875,172800,4.734375,4.5,2.0720326900482178
28-08-1998,4.4375,4.5,175600,4.546875,4.53125,2.0864222049713135
31-08-1998,4.1875,4.546875,513600,4.546875,4.234375,1.9497268199920654
01-09-1998,4.171875,4.3125,305600,4.34375,4.21875,1.9425321817398071
02-09-1998,4.1875,4.25,144800,4.3125,4.234375,1.9497268199920654
03-09-1998,4.265625,4.265625,8800,4.34375,4.34375,2.0000882148742676
04-09-1998,4.34375,4.34375,34400,4.5,4.484375,2.0648396015167236
08-09-1998,4.375,4.515625,10400,4.515625,4.375,2.0144782066345215
09-09-1998,4.21875,4.40625,17600,4.40625,4.21875,1.9425321817398071
10-09-1998,3.90625,4.1875,184400,4.1875,4.0,1.8418080806732178
11-09-1998,4.0,4.125,73600,4.125,4.0625,1.8705854415893555
14-09-1998,4.0625,4.0625,102800,4.15625,4.15625,1.9137530326843262
15-09-1998,4.21875,4.21875,146000,4.46875,4.359375,2.0072834491729736
16-09-1998,4.359375,4.375,137200,4.4375,4.375,2.0144782066345215
17-09-1998,4.234375,4.484375,323200,4.484375,4.234375,1.9497268199920654
18-09-1998,4.1875,4.34375,541200,4.34375,4.28125,1.9713083505630493
21-09-1998,4.25,4.25,12000,4.28125,4.28125,1.9713083505630493
22-09-1998,4.25,4.28125,189200,4.296875,4.296875,1.9785038232803345
23-09-1998,4.296875,4.3125,50800,4.328125,4.328125,1.9928927421569824
24-09-1998,4.28125,4.328125,223200,4.328125,4.28125,1.9713083505630493
25-09-1998,4.203125,4.28125,26400,4.28125,4.203125,1.9353370666503906
28-09-1998,4.21875,4.234375,62000,4.25,4.25,1.9569207429885864
29-09-1998,4.265625,4.265625,6000,4.34375,4.296875,1.9785038232803345
30-09-1998,4.1875,4.265625,34800,4.265625,4.1875,1.9281424283981323
01-10-1998,4.046875,4.15625,4800,4.15625,4.046875,1.8633917570114136
02-10-1998,3.9375,4.046875,250000,4.109375,4.078125,1.8777819871902466
05-10-1998,3.890625,4.046875,27600,4.046875,3.890625,1.791445255279541
06-10-1998,3.859375,3.859375,32400,3.9375,3.9375,1.8130306005477905
07-10-1998,3.921875,3.921875,12000,4.0,3.96875,1.827418327331543
08-10-1998,3.75,3.9375,79200,3.9375,3.765625,1.7338883876800537
09-10-1998,3.75,3.75,15200,3.859375,3.859375,1.777056097984314
12-10-1998,3.84375,3.859375,11200,3.859375,3.84375,1.7698615789413452
13-10-1998,3.84375,3.84375,64400,3.9375,3.9375,1.8130306005477905
14-10-1998,3.921875,3.921875,3600,3.9375,3.9375,1.8130306005477905
15-10-1998,3.9375,3.9375,372800,4.109375,4.109375,1.8921700716018677
16-10-1998,4.109375,4.125,193600,4.28125,4.265625,1.9641143083572388
19-10-1998,4.25,4.265625,57200,4.28125,4.25,1.9569207429885864
20-10-1998,4.28125,4.28125,149600,4.5625,4.5,2.0720326900482178
21-10-1998,4.46875,4.5,30400,4.640625,4.625,2.1295886039733887
22-10-1998,4.625,4.625,87200,4.828125,4.8125,2.215924024581909
23-10-1998,4.84375,4.84375,200000,5.21875,5.0625,2.331038236618042
26-10-1998,5.0625,5.09375,124000,5.125,5.125,2.359815835952759
27-10-1998,4.96875,5.078125,21200,5.078125,5.03125,2.3166494369506836
28-10-1998,4.84375,4.984375,56400,5.015625,5.015625,2.311751127243042
29-10-1998,4.890625,4.984375,21200,4.984375,4.890625,2.2541379928588867
30-10-1998,4.828125,4.859375,55200,5.125,5.0,2.304548978805542
02-11-1998,4.953125,4.953125,69600,5.21875,5.125,2.362164258956909
03-11-1998,5.109375,5.125,21600,5.234375,5.203125,2.3981709480285645
04-11-1998,5.234375,5.25,394400,5.265625,5.234375,2.4125757217407227
05-11-1998,5.140625,5.171875,33200,5.265625,5.21875,2.405374526977539
06-11-1998,5.171875,5.21875,11200,5.21875,5.1875,2.3909714221954346
09-11-1998,5.171875,5.203125,35200,5.21875,5.21875,2.405374526977539
10-11-1998,5.125,5.1875,8000,5.1875,5.125,2.362164258956909
11-11-1998,5.109375,5.125,5600,5.140625,5.140625,2.369363307952881
12-11-1998,5.046875,5.1875,91600,5.1875,5.046875,2.3261547088623047
13-11-1998,4.9375,5.046875,40000,5.046875,4.953125,2.2829458713531494
16-11-1998,5.0,5.0,52000,5.09375,5.09375,2.3477602005004883
17-11-1998,5.09375,5.09375,135200,5.15625,5.15625,2.376566171646118
18-11-1998,5.171875,5.171875,246800,5.25,5.234375,2.4125757217407227
19-11-1998,5.1875,5.265625,108800,5.34375,5.3125,2.44858455657959
20-11-1998,5.234375,5.328125,74800,5.328125,5.296875,2.4413816928863525
23-11-1998,5.28125,5.328125,40000,5.34375,5.328125,2.4557857513427734
24-11-1998,5.25,5.28125,80800,5.28125,5.265625,2.426978588104248
25-11-1998,5.28125,5.28125,7200,5.3125,5.3125,2.44858455657959
