Date,Low,Open,Volume,High,Close,Adjusted Close
28-05-1993,5.875,5.90625,8848000,6.28125,6.25,1.1434491872787476
01-06-1993,6.15625,6.25,1505200,6.375,6.1875,1.1320141553878784
02-06-1993,6.1875,6.1875,483600,6.46875,6.375,1.1663174629211426
03-06-1993,6.375,6.375,266400,6.5625,6.375,1.1663174629211426
04-06-1993,6.1875,6.34375,420800,6.40625,6.34375,1.1606005430221558
07-06-1993,6.1875,6.3125,321600,6.34375,6.1875,1.1320141553878784
08-06-1993,6.0625,6.1875,322000,6.1875,6.09375,1.1148632764816284
09-06-1993,5.96875,6.0625,176400,6.125,5.96875,1.0919934511184692
10-06-1993,6.0,6.0,101200,6.09375,6.03125,1.1034284830093384
11-06-1993,6.03125,6.09375,97200,6.15625,6.125,1.1205803155899048
14-06-1993,6.125,6.125,92400,6.21875,6.1875,1.1320141553878784
15-06-1993,6.09375,6.15625,99600,6.1875,6.125,1.1205803155899048
16-06-1993,6.15625,6.1875,152800,6.21875,6.1875,1.1320141553878784
17-06-1993,6.15625,6.15625,208400,6.25,6.1875,1.1320141553878784
18-06-1993,6.1875,6.1875,102800,6.28125,6.1875,1.1320141553878784
21-06-1993,6.15625,6.1875,101600,6.28125,6.25,1.1434491872787476
22-06-1993,6.25,6.25,75600,6.40625,6.3125,1.1548831462860107
23-06-1993,6.28125,6.3125,75600,6.3125,6.28125,1.1491665840148926
24-06-1993,6.21875,6.3125,84000,6.34375,6.21875,1.1377325057983398
25-06-1993,6.21875,6.28125,80400,6.28125,6.21875,1.1377325057983398
28-06-1993,6.25,6.28125,39200,6.28125,6.28125,1.1491665840148926
29-06-1993,6.1875,6.25,134000,6.28125,6.21875,1.1377325057983398
30-06-1993,6.21875,6.25,64800,6.375,6.375,1.1663174629211426
01-07-1993,6.4375,6.4375,366400,6.59375,6.59375,1.2063391208648682
02-07-1993,6.53125,6.5625,130800,6.59375,6.5625,1.2006213665008545
06-07-1993,6.53125,6.53125,63200,6.65625,6.65625,1.217773675918579
